store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Place Vertu,,3131 Cote Vertu,,St-Laurent,QC,H4R 1Y8,Canada,514-333-0264,45.4981498,-73.7051605,-73.7051605,,0
Galeries St-Laurent,,2065 boul Marcel-Laurin,,St-Laurent,QC,H4R 1K4,Canada,514-332-7400,45.5183257,-73.7010965,-73.7010965,,0
Cavendish Mall,,5800 boul. Cavendish,,Cote-St-Luc,QC,H4W 2T5,Canada,514-482-0350,45.4758768,-73.6660792,-73.6660792,,0
Decarie Square,,6900 Boul. Decarie,,Cote Saint-Luc,QC,H3X 2T8,Canada,514-904-0031,45.4909521,-73.6506788,-73.6506788,,0
Plaza Cote-des-Neiges,,6700 Cote-des-Neiges,,Montréal,QC,H3S 2B2,Canada,514-344-0991,45.5023311,-73.6378368,-73.6378368,,0
Les Galeries Normandie,,2798 de Salaberry,,Montréal,QC,H3M 1L3,Canada,514-331-4372,45.5364716,-73.7014805,-73.7014805,,0
Centre Cote St-Luc,,7017 Chemin Cote St-Luc,,Cote-St-Luc,QC,H4V 1J2,Canada,514-487-9656,45.4659284,-73.653525,-73.653525,,0
,,5858 Cote-des-Neiges,,Montreal,QC,H3S 1Z1,Canada,514-904-0721,45.4995227,-73.6300231,-73.6300231,,0
Marché Central,,1035 rue du Marché Central,,Montréal,QC,H4N 1J8,Canada,514-387-3910,45.534279,-73.657858,-73.657858,,0
,,4964 Chemin Queen Mary,,Montreal,QC,H3W 1X2,Canada,,45.486258,-73.6268923,-73.6268923,,0
Centre Commercial Wilderton,,2715 Ave. Van Horne,,Montréal,QC,H3S 1P6,Canada,514-733-1022,45.5088269,-73.6247118,-73.6247118,,0
,,6495 Somerled Ave,,Montréal,QC,H4V 1S6,Canada,514-487-6145,45.4681439,-73.6382836,-73.6382836,,0
,,5716-34 rue Sherbrooke O,,Montréal,QC,H4A 1W8,Canada,514-904-1447,45.4703209,-73.6155809,-73.6155809,,0
