store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Hardee's,1506102,659 SOMERSET ST,,SOMERSET,NJ,08873,United States,(732) 448-0200,40.485643,-74.473126,Sun:7AM - 10PM;Mon:7AM - 10PM;Tues:7AM - 10PM;Wed:7AM - 10PM;Thurs:7AM - 10PM;Fri:7AM - 11PM;Sat:7AM - 11PM;,,0
Hardee's,1506020,350 ROUTE 211 EAST,,MIDDLETOWN,NY,10940,United States,(845) 343-1645,41.455002,-74.395171,Sun:7AM - 9PM;Mon:7AM - 10PM;Tues:7AM - 10PM;Wed:7AM - 10PM;Thurs:7AM - 10PM;Fri:7AM - 11PM;Sat:7AM - 11PM;,,0
Hardee's,1506155,2275 SOUTH ROAD,,POUGHKEEPSIE,NY,12601,United States,(845) 240-1208,41.644549,-73.923096,Sun:7AM - 9PM;Mon:7AM - 11PM;Tues:7AM - 11PM;Wed:7AM - 11PM;Thurs:7AM - 11PM;Fri:7AM - 11PM;Sat:7AM - 11PM;,,0
Hardee's,1506145,4368 US 130,,WILLINGBORO,NJ,08046,United States,(609) 526-4855,40.053704,-74.891084,Sun:7AM - 10PM;Mon:7AM - 11PM;Tues:7AM - 11PM;Wed:7AM - 11PM;Thurs:7AM - 11PM;Fri:7AM - 12AM;Sat:7AM - 12AM;,,0
Hardee's,1506058,1601 ULSTER AVE,,LAKE KATRINE,NY,12449,United States,(845) 336-4690,41.978163,-73.989783,Sun:7AM - 9PM;Mon:7AM - 10PM;Tues:7AM - 10PM;Wed:7AM - 10PM;Thurs:7AM - 10PM;Fri:7AM - 10PM;Sat:7AM - 10PM;,,0
Hardee's Red Burrito,1505819,1801 PULASKI HWY,,BEAR,DE,19701-1731,United States,(302) 838-2848,39.610864,-75.706215,Sun:7AM - 10PM;Mon:6AM - 10PM;Tues:6AM - 10PM;Wed:6AM - 10PM;Thurs:6AM - 10PM;Fri:6AM - 11PM;Sat:6AM - 11PM;,,0
Hardee's,1506260,881 E PULASKI HIGHWAY,,ELKTON,MD,21921,United States,(443) 941-9015,39.6023,-75.8015,Sun:7AM - 11PM;Mon:6AM - 11PM;Tues:6AM - 11PM;Wed:6AM - 11PM;Thurs:6AM - 11PM;Fri:6AM - 11PM;Sat:6AM - 11PM;,,0
Hardee's,1502937,198 W LINCOLN AVENUE,,MYERSTOWN,PA,17067-1015,United States,(717) 866-5522,40.377689,-76.309494,Sun:7AM - 11PM;Mon:5:30AM - 11PM;Tues:5:30AM - 11PM;Wed:5:30AM - 11PM;Thurs:5:30AM - 11PM;Fri:5:30AM - 11PM;Sat:5:30AM - 11PM;,,0
Hardee's Red Burrito,1505640,340 DOVE RUN DR,,MIDDLETOWN,DE,19709-7912,United States,(302) 449-2036,39.45245,-75.68959,Sun:7AM - 10PM;Mon:6AM - 10PM;Tues:6AM - 10PM;Wed:6AM - 10PM;Thurs:6AM - 10PM;Fri:6AM - 11PM;Sat:6AM - 11PM;,,0
Hardee's Red Burrito,1505551,100 JIMMY DR,,SMYRNA,DE,19977-5805,United States,(302) 653-7213,39.285065,-75.595001,Sun:7AM - 10PM;Mon:6AM - 10PM;Tues:6AM - 10PM;Wed:6AM - 10PM;Thurs:6AM - 10PM;Fri:6AM - 11PM;Sat:6AM - 11PM;,,0
Hardee's Red Burrito,1503413,519 S BAY RD,,DOVER,DE,19901-4624,United States,(302) 674-0371,39.156605,-75.508591,Sun:24 hours;Mon:24 hours;Tues:24 hours;Wed:24 hours;Thurs:24 hours;Fri:24 hours;Sat:24 hours;,,0
Hardee's,1503414,50 GREENTREE DR,,DOVER,DE,19904-2684,United States,(302) 674-8335,39.159504,-75.55471,Sun:7AM - 10PM;Mon:6AM - 10PM;Tues:6AM - 10PM;Wed:6AM - 10PM;Thurs:6AM - 10PM;Fri:6AM - 11PM;Sat:6AM - 11PM;,,0
Hardee's Red Burrito,1503409,698 N DUPONT BLVD,,MILFORD,DE,19963-1002,United States,(302) 422-6083,38.918194,-75.439873,Sun:6:30AM - 10PM;Mon:5:30AM - 10PM;Tues:5:30AM - 10PM;Wed:5:30AM - 10PM;Thurs:5:30AM - 10PM;Fri:5:30AM - 11PM;Sat:5:30AM - 11PM;,,0
Hardee's,1502936,230 NISSLEY ST,,MIDDLETOWN,PA,17057,United States,(717) 944-7717,40.197875,-76.735242,Sun:7AM - 11PM;Mon:5:30AM - 11PM;Tues:5:30AM - 11PM;Wed:5:30AM - 11PM;Thurs:5:30AM - 11PM;Fri:5:30AM - 11PM;Sat:5:30AM - 11PM;,,0
Hardee's Red Burrito,1503412,7237 MILFORD HARRINGTON HWY,,HARRINGTON,DE,19952-2304,United States,(302) 398-8343,38.923668,-75.567238,Sun:24 hours;Mon:24 hours;Tues:24 hours;Wed:24 hours;Thurs:24 hours;Fri:24 hours;Sat:24 hours;,,0
Hardee's,1502935,820 EAST MAIN STREET,,DALLASTOWN,PA,17313-9779,United States,(717) 244-6110,39.896744,-76.624275,Sun:5:30AM - 11PM;Mon:5:30AM - 11PM;Tues:5:30AM - 11PM;Wed:5:30AM - 11PM;Thurs:5:30AM - 11PM;Fri:5:30AM - 11PM;Sat:5:30AM - 11PM;,,0
Hardee's,1502932,1617 NORTH GEORGE STREET,,YORK,PA,17404-1805,United States,(717) 848-6051,39.984169,-76.73455,Sun:24 hours;Mon:24 hours;Tues:24 hours;Wed:24 hours;Thurs:24 hours;Fri:24 hours;Sat:24 hours;,,0
Hardee's,1502948,2203 PAXTON ST,,HARRISBURG,PA,17111-1037,United States,(717) 232-7873,40.254723,-76.848511,Sun:5:30AM - 11:59PM;Mon:5:30AM - 11:59PM;Tues:5:30AM - 11:59PM;Wed:5:30AM - 11:59PM;Thurs:5:30AM - 11:59PM;Fri:5:30AM - 11:59PM;Sat:5:30AM - 11:59PM;,,0
