store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Logan's Roadhouse,448,9531 N OWASSO EXPWY,,OWASSO,OK,74055,,918-272-7017,36.2930,-95.8341,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,443,209 N. RANGE LINE,,JOPLIN,MO,64801,,417-626-7181,37.0879,-94.4771,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,430,9026 EAST 71ST STREET,,TULSA,OK,74133,,918-806-2828,36.0600,-95.8749,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,495,7588 S. OLYMPIA AVE W.,,TULSA,OK,74132,,918-445-3700,36.0542,-96.0047,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,467,353 S. ROCK ROAD,,WICHITA,KS,67207,,316-685-6000,37.6861,-97.2449,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,532,530 N 47TH STREET,,ROGERS,AR,72756,,479-986-9100,36.3403,-94.1812,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,460,2424 N. MAIZE RD,,WICHITA,KS,67205,,316-729-6900,37.7227,-97.4627,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,412,3611N. SHILOH DR.,,FAYETTEVILLE,AR,72703,,479-251-7775,36.1161,-94.1508,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,441,1110 BATTLEFIELD R.,,SPRINGFIELD,MO,65807,,417-882-0494,37.1596,-93.2773,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,413,6201 ROGERS AVE,,FORT SMITH,AR,72903,,479-452-0303,35.3601,-94.3635,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,462,7221 SE 29TH ST,,MIDWEST CITY,OK,73110,,405-736-9500,35.4354,-97.4040,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,502,629 SHEDECK PARKWAY,,YUKON,OK,73098,,405-350-4100,35.4827,-97.7553,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,480,1250 24TH AVE NW,,NORMAN,OK,73069,,405-801-3994,35.2180,-97.4852,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,482,410 ELSINGER BLVD.,,CONWAY,AR,72032,,501-327-8670,35.0867,-92.4160,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,408,3700 US HWY 75 NORTH,,SHERMAN,TX,75092,,903-892-8819,33.6797,-96.6072,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,491,23115 I-30 SOUTH,,BRYANT,AR,72022,,501-653-0300,34.6184,-92.4972,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,486,560 EAST I-30,,ROCKWALL,TX,75087,,972-722-3550,32.8973,-96.4717,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,362,948 NORTH EAST LOOP 820,,HURST,TX,76053,,817-590-0261,32.8289,-97.2039,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,490,5912 QUEBEC ST.,,FORT WORTH,TX,76135,,817-237-0405,32.8077,-97.4170,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,516,700 NORTH I-35E,,LANCASTER,TX,75146,,972-274-3400,32.5964,-96.8215,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,474,325 INTERSTATE 20 E,,WEATHERFORD,TX,76086,,817-594-5455,32.7311,-97.7888,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,402,1125 NORTH BURLESON BLVD,,BURLESON,TX,76028,,817-447-3504,32.5527,-97.3200,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,481,1150 W HIGHWAY 287 BYPASS,,WAXAHACHIE,TX,75165,,972-937-4511,32.4219,-96.8440,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,521,2958 E. TEXAS ST,,BOSSIER CITY,LA,71111,,318-742-3221,32.5282,-93.7043,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,386,3012 WILLIAM ST.,,CAPE GIRARDEAU,MO,63703,,573-651-4142,37.3009,-89.5703,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,470,7519 YOUREE DR,,SHREVEPORT,LA,71105,,318-797-9855,32.4434,-93.7185,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,428,6685 AIRWAYS BLVD,,SOUTHAVEN,MS,38671,,662-772-5015,34.9563,-89.9921,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,498,5901 Poplar Avenue,,MEMPHIS,TN,38119,,901-684-2272,35.1024,-89.8636,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,317,2710 N. GERMANTOWN PKWY,,MEMPHIS,TN,38133,,901-381-5254,35.1993,-89.7920,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,416,7755 WINCHESTER RD,,MEMPHIS,TN,38125,,901-759-1430,35.0492,-89.8043,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,506,931 N SERVICE E,,RUSTON,LA,71270,,318-251-8286,32.5416,-92.6273,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,347,8310 I-40 WEST,,AMARILLO,TX,79106,,806-467-8015,35.1873,-101.9334,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,537,1305 HALFWAY ROAD,,MARION,IL,62959,,618-993-0015,37.7429,-88.9648,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,332,201 CONSTITUTION DR,,WEST MONROE,LA,71292,,318-361-9961,32.5054,-92.1588,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,308,5137 HINKLEVILLE RD,,PADUCAH,KY,42001,,270-442-1939,37.0645,-88.7379,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,305,604 CARRIAGE HOUSE DR,,JACKSON,TN,38305,,731-664-9902,35.6649,-88.8487,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,418,2806 WEST LOOP 340,,WACO,TX,76711,,254-662-2036,31.4971,-97.1587,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,446,3126 S. CLACK STREET,,ABILENE,TX,79606,,325-690-0999,32.4124,-99.7750,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
Logan's Roadhouse,464,4201 S MEDFORD DR,,LUFKIN,TX,75901,,936-632-0929,31.3123,-94.7216,Sun - Thurs: 11:00am to 10:00pm;Fri - Sat: 11:00am to 11:00pm,,0
