store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
,,"3547, boulevard St. Charles",,Kirkland,QC,H9H3C4,Canada,514-694-9515,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 6:00 PM;Tuesday:10:00 AM - 6:00 PM;Wednesday:10:00 AM - 6:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 5:00 PM;,,0
,,"50 Selkirk Drive, Unit 8A",,Thompson,MB,R8N0M7,Canada,204-778-7101,,,Sunday:12:00 PM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 7:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:10:00 AM - 7:00 PM;,,0
,,"469, avenue Taniata, local 200",,Saint-Romuald,QC,G6W5M6,Canada,418-834-2063,,,Sunday:10:00 AM - 6:00 PM;Monday:9:30 AM - 6:00 PM;Tuesday:9:30 AM - 6:00 PM;Wednesday:9:30 AM - 6:00 PM;Thursday:9:30 AM - 9:00 PM;Friday:9:30 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,,Royal Square Mall,,Ne,"Westminster,",V3L2B8,Canada,604-521-7111,,,Sunday:10:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 7:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:10:00 AM - 7:00 PM;,,0
,,25 Baseline Rd. W.,,London,ON,N6J1V1,Canada,519-432-1343,,,Sunday:11:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 8:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,,278 Lacewood Drive,,Halifax,NS,B3M3N8,Canada,902-443-0399,,,Sunday:10:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 8:00 PM;Friday:10:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,,"31 Lakewood Blvd., Unit 31",,Winnipeg,MB,R2J2M8,Canada,204-254-5763,,,Sunday:11:00 AM - 6:00 PM;Monday:9:00 AM - 7:00 PM;Tuesday:9:00 AM - 7:00 PM;Wednesday:9:00 AM - 7:00 PM;Thursday:9:00 AM - 8:00 PM;Friday:9:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
,,"7683-A, boulevard Taschereau",,Brossard,QC,J4Y1A2,Canada,450-926-9518,,,Sunday:10:00 AM - 5:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:10:00 AM - 9:00 PM;Friday:10:00 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,,"5050, boulevard Gaetan-Boucher",,Saint-Hubert,QC,J3Y7R8,Canada,450-656-2221,,,Sunday:10:00 AM - 5:00 PM;Monday:9:30 AM - 6:30 PM;Tuesday:9:30 AM - 6:30 PM;Wednesday:9:30 AM - 6:30 PM;Thursday:9:30 AM - 9:00 PM;Friday:9:30 AM - 9:00 PM;Saturday:9:00 AM - 6:00 PM;,,0
,,590 Portland St.,,Dartmouth,NS,B2W6B7,Canada,902-435-5790,,,Sunday:10:00 AM - 6:00 PM;Monday:10:00 AM - 7:00 PM;Tuesday:10:00 AM - 7:00 PM;Wednesday:10:00 AM - 7:00 PM;Thursday:9:00 AM - 8:00 PM;Friday:9:00 AM - 8:00 PM;Saturday:9:00 AM - 7:00 PM;,,0
