store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
COLLEGEVILLE,571,400 FRONT STREET SUITE #3,,COLLEGEVILLE,PA,19426,United States,(484) 961-6012,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 7:00am - 7:00pm,,0
TUALATIN,1097,7405 SW NYBERG STREET,,TUALATIN,OR,97062,United States,(503) 404-0126,,,Mon - Thu: 5:00am - Midnight; Fri: 5:00am - 10:00pm; Sat - Sun: 7:00am - 8:00pm,,0
WARWICK - BALD HILL RD.,1070,1500 BALD HILL ROAD,,WARWICK,RI,02886,United States,(401) 773-2933,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
DON MILLS (Signature),578,1380 DON MILLS ROAD,,TORONTO,ON,M3B 2X2,Canada,(416) 391-0220,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
NORTH BERGEN,793,3137 KENNEDY BOULEVARD,,NORTH BERGEN,NJ,07047,United States,(201) 974-9010,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat: 8:00am - 6:00pm; Sun: 8:00am - 5:00pm,,0
MT LAUREL,305,4300 DEARBORN CIRCLE,,MT. LAUREL,NJ,08054,United States,(856) 638-0419,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 7:00am - 7:00pm,,0
COLUMBUS-POLARIS PKWY,1005,2100 POLARIS PARKWAY,,COLUMBUS,OH,43240,United States,(614) 430-9210,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 9:00pm; Sat: 6:30am - 7:00pm; Sun: 9:00am - 7:00pm,,0
NEW BRIGHTON,499,1101 SILVER LAKE ROAD,,NEW BRIGHTON,MN,55112,United States,(651) 674-3186,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
ROCK HILL,1155,745 ARDEN LANE,,ROCK HILL,SC,29732,United States,(803) 818-3368,,,Mon - Thu: 5:00am - 10:00pm; Fri: 5:00am - 9:00pm; Sat - Sun: 8:00am - 7:00pm,,0
GARDEN CITY (Premier Plus),915,711 STEWART AVE,,GARDEN CITY,NY,11530,United States,(516) 214-9691,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
MEMPHIS RIDGEWAY RD (Signature),1170,1285 RIDGEWAY ROAD,,MEMPHIS,TN,38119,United States,(901) 291-1114,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
DALLAS UPTOWN (Signature),697,2690 N HASKELL AVE,,DALLAS,TX,75204,United States,(214) 530-0005,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
WOODBRIDGE,575,13060 WORTH AVENUE,,WOODBRIDGE,VA,22192,United States,(703) 398-1373,,,Mon - Thu: 5:00am - 11:00pm; Fri: 5:00am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
HAZEL DELL,338,7607 NE 5TH AVENUE,,VANCOUVER,WA,98665,United States,(360) 546-3400,,,Mon - Thu: 4:30am - 11:00pm; Fri: 4:30am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
GREENBELT MD,789,7415 GREENBELT ROAD,,GREENBELT,MD,20770,United States,(301) 441-8300,,,Mon - Wed: 5:30am - 10:00pm; Thu - Fri: 5:30am - 9:00pm; Sat - Sun: 8:00am - 6:00pm,,0
HYATTSVILLE,777,2970 BELCREST CENTER DRIVE,,HYATTSVILLE,MD,20782,United States,(301) 559-5031,,,Mon - Thu: 5:30am - 11:00pm; Fri: 5:30am - 10:00pm; Sat - Sun: 8:00am - 8:00pm,,0
