store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
PHX-SCOTTSDALE,,15745 N Hayden Rd,,Scottsdale,AZ,85260-1919,United States,(480) 368-8099,,,,,0
TUCSON-FOOTHILL MALL,,2270 W Ina Rd Ste 100,,Tucson,AZ,85741-2649,United States,(520) 229-3279,,,,,0
VEGAS-SILVERADO,,9893 S Eastern Ave Ste F3,,Las Vegas,NV,89123-6949,United States,(702) 616-2943,,,,,0
VEGAS-SUMMERLIN,,9765 W Charleston Blvd,,Las Vegas,NV,89117-7536,United States,(702) 940-5330,,,,,0
LA-PALM DESERT,,72513 Hwy 111,,Palm Desert,CA,92260-3306,United States,(760) 340-4692,,,,,0
S.DG-LA MESA,,8491 Fletcher Pkwy,,La Mesa,CA,91942-3005,United States,(619) 461-2110,,,,,0
S.DG-RANCHO BERNARDO,,16771 Bernardo Center Dr,,San Diego,CA,92128-2509,United States,(858) 451-3734,,,,,0
LA-TEMECULA,,26493 Ynez Rd Ste 1A,,Temecula,CA,92591-4654,United States,(951) 296-6370,,,,,0
S.DG-MISSION VALLEY,,1530 Camino De La Reina Ste C2,,San Diego,CA,92108-1527,United States,(619) 542-0152,,,,,0
LA-REDLANDS,,9950 Alabama St,,Redlands,CA,92374-2036,United States,(909) 307-6053,,,,,0
S.DG-MIDWAY,,2790 Midway Dr,,San Diego,CA,92110-3203,United States,(619) 224-2909,,,,,0
S.DG-LA JOLLA,,8827 Villa La Jolla Rd,,La Jolla,CA,92037-1949,United States,(858) 457-5908,,,,,0
S.DG-ENCINITAS,,1092 N El Camino Real Ste B,,Encinitas,CA,92024-1320,United States,(760) 942-9924,,,,,0
S.DG-SOLANO BEACH,,166 S Solana Hills Dr,,Solano Beach,CA,92075-2003,United States,(858) 724-0800,,,,,0
S.DG-OCEANSIDE,,2550 Vista Way,,Oceanside,CA,92054-6175,United States,(760) 439-5201,,,,,0
LA-RIVERSIDE,,3780 Tyler St,,Riverside,CA,92503-4161,United States,(951) 688-1598,,,,,0
LA-RANCHO SANTA MARGARITA,,30505 Avenida de las Flores,,Rancho Santa Margarita,CA,92688-3939,United States,(949) 459-1040,,,,,0
LA-LAGUNA NIGUEL,,32341 Street of the Golden Lantern Ste D,,Laguna Niguel,CA,92677-5343,United States,(949) 488-2374,,,,,0
LA-MONTCLAIR,,8831 Central Ave,,Montclair,CA,91763-1618,United States,(909) 621-7944,,,,,0
LA-ALISO VIEJO,,26775 Aliso Creek Rd,,Aliso Viejo,CA,92656-2887,United States,(949) 349-0060,,,,,0
LA-IRVINE,,3800 Barranca Pkwy Unit C,,Irvine,CA,92606-1200,United States,(949) 651-6361,,,,,0
LA-TUSTIN,,13771 Newport Ave Stes 15/16,,Tustin,CA,92780-4692,United States,(714) 734-8009,,,,,0
LA-SAN DIMAS,,840 W Arrow Hwy,,San Dimas,CA,91773-2446,United States,(909) 305-4807,,,,,0
LA-BREA,,2315 E Imperial Hwy Ste B,,Brea,CA,92821-3706,United States,(714) 256-4629,,,,,0
LA-COSTA MESA,,1714 Newport Blvd,,Costa Mesa,CA,92627-3010,United States,(949) 645-6880,,,,,0
LA-HUNTINGTON BEACH,,7041 Yorktown Ave Ste 101,,Huntington Beach,CA,92648-2463,United States,(714) 969-9904,,,,,0
LA-PASADENA/HASTINGS RANCH,,3725 E Foothill Blvd,,Pasadena,CA,91107-3110,United States,(626) 351-1144,,,,,0
LA-LONG BEACH MARKETPLACE,,6415 Pacific Coast Hwy,,Long Beach,CA,90803-4201,United States,(562) 493-7508,,,,,0
LA-PASADENA ON LAKE,,326 S Lake Ave,,Pasadena,CA,91101-3508,United States,(626) 683-8161,,,,,0
LA-LA CANADA,,475 Foothill Blvd,,La Canada,CA,91011-3555,United States,(818) 790-6832,,,,,0
LA-HOLLYWEST,,5453 Hollywood Blvd,,Los Angeles,CA,90027-3405,United States,(323) 978-0409,,,,,0
LA-TORRANCE/ROLLING HILLS,,2750 Pacific Coast Hwy,,Torrance,CA,90505-7002,United States,(310) 539-3180,,,,,0
LA-BURBANK,,1565 N Victory Pl,,Burbank,CA,91502-1647,United States,(818) 848-0247,,,,,0
LA-HOLLYWOOD ON LA BREA,,716 N La Brea Ave,,Hollywood,CA,90038-3339,United States,(323) 930-2611,,,,,0
LA-MANHATTAN BEACH,,5360 W Rosencrans Ave Ste D,,Hawthorne,CA,90250-6646,United States,(310) 536-2919,,,,,0
LA-WEST HOLLYWOOD,,8383 Santa Monica Blvd,,West Hollywood,CA,90069-4312,United States,(323) 656-2611,,,,,0
LA-HERMOSA BEACH,,1559 Pacific Coast Hwy,,Hermosa Beach,CA,90254-3214,United States,(310) 374-5363,,,,,0
LA-CULVER CITY,,5359 S Sepulveda Blvd,,Culver City,CA,90230-5215,United States,(310) 313-7203,,,,,0
LA-STUDIO CITY,,12565 Ventura Blvd,,Studio City,CA,91604-2413,United States,(818) 769-3230,,,,,0
LA-WESTWOOD,,2090 Westwood Blvd,,Los Angeles,CA,90025-6329,United States,(310) 446-3263,,,,,0
LA-SANTA MONICA,,1645 Lincoln Blvd,,Santa Monica,CA,90404-3711,United States,(310) 450-6333,,,,,0
