store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
A.C. Moore,2755,East Gate Square,1190 Nixon Drive              ,Mt. Laurel,NJ,08054,United States,(856) 316-1093,39.9395322,-74.9641558,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2756,Deptford,1120 Hurffville Road,Deptford,NJ,08096,United States,(856) 214-0725,39.836295,-75.090124,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2757,English Creek Shopping Center,3003 English Creek Avenue B-2,Egg Harbor Township,NJ,08234,United States,(609) 232-8040,39.3480422,-74.6634640,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2758,Berkshire Mall West,1101 Woodland Road,Wyomissing,PA,19610,United States,(610) 268-9799,40.3295370,-75.9652117,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2759,Allentown Plaza,2633 MacArthur Rd,Whitehall,PA,18052,United States,(610) 268-9798,40.6572331,-75.4985521,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2760,Bensalem Plaza Shopping Center,1907 Street Road,Bensalem,PA,19020,United States,(267) 223-6144,40.0965160,-74.9452918,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2761,Kirkwood Plaza Shopping Center,4433 Kirkwood Highway,Wilmington,DE,19808,United States,(302) 394-6814,39.7269070,-75.6529755,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2762,Broomall Plaza,2940 Springfield Road,Broomall,PA,19008,United States,(484) 427-2015,39.9699500,-75.3530229,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2763,Mid State Mall,314 State Highway 18 North,East Brunswick,NJ,08816,United States,(732) 243-0635,40.4564185,-74.3984756,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2764,Town Square Mall   ,2433 Vestal Pkwy East Suite C   ,Vestal,NY,13850,United States,(607) 203-0589,42.0636938,-76.0159800,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2765,Bay Harbor Plaza,55 Brick Blvd,Brick,NJ,08723,United States,(732) 243-0656,40.0246340,-74.1425390,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2767,Hamilton Plaza,1245 State Highway Route 33,Hamilton Twp,NJ,08690,United States,(609) 232-8041,40.2246660,-74.6526030,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2768,Montgomeryville Plaza,978 Bethlehem Pike,Montgomeryville,PA,18936,United States,(215) 383-0919,40.2264595,-75.2350026,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2769,New Loudon Shopping Center ,"873 New Loudon Road, Suite 6",Latham,NY,12110,United States,(518) 788-9159,42.7539447,-73.7830861,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
A.C. Moore,2770,Lancaster Shopping Center     ,1515 Lititz Pike ,Lancaster,PA,17601,United States,(717) 961-5319,40.0658363,-76.3068812,Monday: -;Tuesday -;Wednsday -;Thursday -;Friday -;Saturday-;Sunday-;,,
