store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Elmhurst,2009,665 W. North Avenue,,Elmhurst,IL,60126,United States,630-833-3900,41.9066,-87.96628,,,1
McHenry,2009,1920 N Richmond Road,,McHenry,IL,60050,United States,815-578-1006,42.35575,-88.2667542,,,1
Center Grove,2009,201 S. State Road 135,,Greenwood,IN,46142,United States,317-888-6698,39.61287,-86.1580048,,,1
Lima - Mega Store,2009,6409 Lima Road,,Fort Wayne,IN,46818,United States,260-247-7657,41.13836,-85.16262,,,1
Des Plaines,2009,1461 Ellinwood,,Des Plaines,IL,60016,United States,847-375-8686,42.0408936,-87.88803,,,1
Tinley Park,2009,15901 S. Harlem,,Tinley Park,IL,60477,United States,708-407-7506,41.60176,-87.79345,,,1
Highland,2009,134 A Indianapolis Blvd,,Schererville,IN,46375,United States,219-864-4500,41.5195923,-87.47193,,,1
Noblesville,2009,16783 Clover Drive,,Noblesville,IN,46060,United States,317-770-9300,40.03397,-85.9965744,,,1
Coldwater - Clearance Center,2009,4614A Coldwater Road,,Fort Wayne,IN,46825,United States,260-247-7658,41.1199837,-85.13484,,,1
Mt. Prospect,2009,104 W. Rand Rd,,Mt. Prospect,IL,60056,United States,1-847-481-8995,42.0822525,-87.93798,,,1
Carmel,2009,1406 S. Rangeline Rd.,,Carmel,IN,46032,United States,317-810-8333,39.9577141,-86.12772,,,1
South Elgin,2009,463 Redington Dr.,,South Elgin,IL,60177,United States,847-531-1008,41.980648,-88.34201,,,1
Algonquin 2,2009,212 N. Randall Rd,,Algonquin,IL,60156,United States,847-854-5550,42.17729,-88.3362,,,1
Lafayette,2009,210 S. Creasy Lane #2160,,Lafayette,IN,47905,United States,765-237-3329,40.413517,-86.8394852,,,1
Deerfield,2009,360 Lake Cook Rd,,Deerfield,IL,60015,United States,224-632-1110,42.15316,-87.83739,,,1
Columbus,2009,3051 Columbus Center,,Columbus,IN,47203,United States,812-314-7087,39.22114,-85.88751,,,1
North Riverside,2009,2302 S. Harlem,,North Riverside,IL,60546,United States,708-447-5959,41.84866,-87.80406,,,1
Lake Zurich,2009,531 S Rand Road,,Lake Zurich,IL,60047,United States,847-540-7200,42.1879768,-88.10471,,,1
Downers Grove - Tempur-Pedic Gallery - Clearance Center,2009,1630 75th St,,Downers Grove,IL,60516,United States,630-824-4099,41.7516327,-88.02297,,,1
Dekalb,2009,2211 Sycamore Rd,,Dekalb,IL,60115,United States,815-517-9276,41.9516335,-88.72717,,,1
Glen Ellyn,2009,856 Roosevelt Road,,Glen Ellyn,IL,60137,United States,630-942-9400,41.8602448,-88.05083,,,1
Willowbrook,2009,"6300 route 83, 204",,Willowbrook,IL,60527,United States,630-230-1696,41.7728081,-87.9472961,,,1
Arlington Heights,2009,714 E. Rand Rd,,Arlington Heights,IL,60004,United States,847-890-4001,42.1079178,-87.97261,,,1
Lincoln,2009,6001 N Lincoln Ave,,Chicago,IL,60659,United States,773-764-9800,41.99058,-87.70739,,,1
Crystal Lake,2009,7109 Pingree Rd,,Crystal Lake,IL,60014,United States,815-455-2221,42.22545,-88.29761,,,1
Hillside,2009,4004 W. Roosevelt Rd.,,Hillside,IL,60162,United States,708-540-6226,41.86359,-87.8828659,,,1
Carol Stream,2009,102  S. Schmale Rd,,Carol Stream,IL,60188,United States,630-344-0148,41.9014969,-88.10229,,,1
Jefferson Park,2009,4831 N. Milwaukee Avenue,,Jefferson Park,IL,60630,United States,773-282-2770,41.9687653,-87.76108,,,1
Central,2009,6401 N Central Avenue,,Chicago,IL,60646,United States,708-667-4000,41.99752,-87.76351,,,1
Merrillville 2,2009,254 W 81st Street,,Merrillville,IN,46410,United States,1-219-472-9055,41.4715462,-87.3397,,,1
Mishawaka,2009,6501 N. Grape Rd. #570,,Mishawaka,IN,46545,United States,574-307-7324,41.71949,-86.19101,,,1
Brownsburg,2009,578 W Northfield Drive #1000,,Brownsburg,IN,46112,United States,317-858-1102,39.86102,-86.40565,,,1
Evanston,2009,618 Davis St.,,Evanston,IL,60201,United States,847-859-5493,42.04626,-87.68084,,,1
Matteson,2009,400 Towne Center Rd,,Matteson,IL,60443,United States,708-996-1415,41.50337,-87.73263,,,1
Clybourn 2 Tempur-Pedic Gallery,2009,2112 N. Clybourn Avenue,,Chicago,IL,60614,United States,773-634-7192,41.91947,-87.66212,,,1
New Lenox,2009,751 E Lincoln Hwy,,New Lenox,IL,60451,United States,815-215-2130,41.5124969,-87.94946,,,1
Greenfield,2009,176 East New Road,,Greenfield,IN,46140,United States,317-462-3150,39.8146057,-85.76883,,,1
Canal St,2009,1101 S Canal Street #102,,Chicago,IL,60607,United States,312-284-5207,41.8675232,-87.63879,,,1
Skokie 2,2009,5219 W. Touhy Ave.,,Skokie,IL,60077,United States,847-779-0800,42.01181,-87.75843,,,1
Wabash,2009,156 N Wabash,,Chicago,IL,60601,United States,312-884-5007,41.88483,-87.62649,,,1
Northbrook,2009,51 Skokie Blvd. ,,Northbrook,IL,60062,United States,847-559-2300,42.1513367,-87.79979,,,1
Streamwood -  Clearance Center ,2009,7570 Barrington Road,,Streamwood,IL,60133,United States,630-289-4300,42.0078125,-88.14511,,,1
Lemont,2009,1217 State St.,,Lemont,IL,60439,United States,630-243-1075,41.65582,-87.99926,,,1
Buffalo Grove,2009,197 McHenry Road,,Buffalo Grove,IL,60089,United States,224-676-2466,42.1563072,-87.9593353,,,1
Maysville,2009,10464 Maysville Road,,Fort Wayne,IN,46835,United States,260-247-7963,41.1316032,-85.00832,,,1
Michigan City,2009,5172 Franklin St.,,Michigan City,IN,46360,United States,219-879-7500,41.67392,-86.8934,,,1
Merrillville,2009,2871 E. US-30,,Merrillville,IN,46410,United States,219-942-6988,41.4709473,-87.3712,,,1
Oakbrook Terrace,2009,17W480 22nd St,,Oakbrook Terrace,IL,60181,United States,331-462-1846,41.84702,-87.97016,,,1
Pleasant Prairie,2009,9780 76th St.,,Pleasant Prairie,WI,53158,United States,1-262-671-0053,42.5661278,-87.9277649,,,1
Clybourn 1,2009,1953 N. Clybourn Avenue Unit 212A,,Chicago,IL,60614,United States,773-529-0800,41.91696,-87.6573,,,1
Dupont ,2009,1125 E. Dupont Rd. Suite A,,Fort Wayne,IN,46825,United States,260-247-3588,41.1787949,-85.12638,,,1
Orland Park 2,2009,13117 S LaGrange Rd ,,Orland Park ,IL,60464,United States,1-708-274-1212,41.65175,-87.85346,,,1
Willow Lake,2009,1410 W. 86th St.,,Indianapolis,IN,46260,United States,317-238-3034,39.9127235,-86.18459,,,1
Bloomingdale,2009,336 W Army Trail Road,,Bloomingdale,IL,60108,United States,630-582-8500,41.9386024,-88.10874,,,1
Stop 12 - Now Open,2009,1551 E Stop 12 Road,,Indianapolis,IN,46227,United States,317-682-0090,39.642395,-86.13076,,,1
Vernon Hills,2009,447 N. Milwaukee ,,Vernon Hills,IL,60061,United States,847-996-2256,42.23434,-87.9425659,,,1
Mundelein - Clearance Center,2009,1474 Butterfield Road,,Mundelein,IL,60060,United States,847-367-9992,42.24111,-87.97801,,,1
Avon,2009,10853 E US Hwy 36,,Avon,IN,46123,United States,317-271-5800,39.76316,-86.32956,,,1
Lansing,2009,16919 S. Torrence Ave.,,Lansing,IL,60438,United States,708-418-5700,41.5875435,-87.55824,,,1
Greenwood - Mega Store,2009,7565 US 31 South,,Indianapolis,IN,46227,United States,317-859-3000,39.65605,-86.14003,,,1
Joliet 2,2009,2575 Plainfield Rd.,,Joliet,IL,60435,United States,1-815-556-2599,41.5736771,-88.15277,,,1
Orland Park- Clearance Center,2009,15159 S. LaGrange Rd.,,Orland Park,IL,60462,United States,708-645-9951,41.61428,-87.8527451,,,1
Schaumburg,2009,35 E Golf Road,,Schaumburg,IL,60195,United States,847-882-1144,42.0493279,-88.0783844,,,1
Anderson,2009,4726 S. Scatterfield Rd.,,Anderson,IN,46013,United States,765-683-9000,40.0656853,-85.6521759,,,1
Saxony,2009,12919 Campus Parkway,,Noblesville,IN,46060,United States,317-678-0130,39.9962349,-85.93337,,,1
Glenview,2009,2840 Patriot Blvd,,Glenview,IL,60026,United States,847-503-0632,42.1071854,-87.82359,,,1
Round Lake Beach,2009,536 East Rollins Road,,Round Lake Beach,IL,60073,United States,847-740-2705,42.37906,-88.0684357,,,1
Oak Park,2009,7123 W. North Avenue,,Oak Park,IL,60302,United States,708-725-3120,41.90816,-87.8051758,,,1
Naperville 2,2009,3204 IL-59,,Naperville,IL,60564,United States,331-457-4755,41.7069473,-88.20502,,,1
Plainfield,2009,2658 E Main Street,,Plainfield,IN,46168,United States,317-837-1000,39.7188568,-86.35615,,,1
Oswego,2009,2950 Rt 34,,Oswego,IL,60543,United States,630-554-4411,41.69655,-88.31858,,,1
Evergreen Park,2009,2839 W. 95th St.,,Evergreen Park,IL,60805,United States,708-229-1160,41.7204247,-87.69351,,,1
St.Charles ,2009,"2400 E. Main St, Ste. 109",,St.Charles ,IL,60174,United States,630-513-8889,41.9211464,-88.2868042,,,1
Halsted,2009,3459 S Halsted,,Chicago,IL,60608,United States,773-346-0005,41.8308754,-87.64576,,,1
Rockford - Clearance Center ,2009,6943 East State St.,,Rockford,IL,61108,United States,815-977-9492,42.2684555,-88.98097,,,1
Skokie,2009,9406 Skokie Blvd,,Skokie ,IL,60077,United States,847-675-6000,42.05227,-87.74731,,,1
Illinois Road,2009,4916 Illinois Road Suite 100,,Fort Wayne,IN,46804,United States,260-247-7656,41.0754776,-85.20557,,,1
Wheaton,2009,1910 E Roosevelt Road,,Wheaton,IL,60187,United States,630-597-0017,41.8589478,-88.0799255,,,1
Rogers Park (Loyola),2009,6448 N. Sheridan Rd.,,Chicago,IL,60626,United States,773-943-6104,41.99954,-87.66082,,,1
E Washington,2009,9369 E Washington St,,Indianapolis,IN,46229,United States,317-895-8000,39.77325,-86.0037,,,1
Bloomington,2009,115 S. State Hwy 46,,Bloomington,IN,47408,United States,812-778-3168,39.16581,-86.4982,,,1
Geneva,2009,1575 A South Randall Road,,Geneva,IL,60134,United States,630-232-9900,41.872673,-88.33958,,,1
Carpentersville- Now Open,2009,125 S. Western Ave.,,Carpentersville,IL,60110,United States,224-293-4053,42.1045265,-88.29169,,,1
Bolingbrook,2009,220 N. Weber Rd.,,Bolingbrook,IL,60440,United States,630-378-1200,41.70184,-88.12438,,,1
Hyde Park,2009,1408 E 53rd St,,Chicago,IL,60615,United States,773-371-1031,41.7998962,-87.59142,,,1
Naperville,2009,436 S Route 59,,Naperville,IL,60540,United States,630-983-1800,41.76449,-88.2053146,,,1
Joliet ,2009,2625 W Jefferson St.,,Joliet,IL,60435,United States,779-227-1313,41.52252,-88.14815,,,1
