store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Dover, DE",,365 N Dupont Hwy,,Dover,DE,19901,United States,302-401-4506,39.1725201,-75.5217847,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Bradenton, FL",,4501 14th St W,,Bradenton,FL,34207,United States,941-209-4887,27.4594476,-82.5775595,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Brandon, FL",,1504 W Brandon Blvd,,Brandon,FL,33511,United States,813-830-9618,27.9380139,-82.3082668,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Davie,  FL",,2411 S University Dr,,Davie,FL,33324,United States,954-766-4304,26.0891501,-80.2512303,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Fort Myers, FL",,12984 S Cleveland Ave,,Fort Myers,FL,33907,United States,239-603-6700,26.553266,-81.872491,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Orange Park, FL",,8440 Blanding Blvd,,Jacksonville,FL,32244,United States,904-712-0252,37.0625,-95.677068,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Tallahassee, FL",,216 S Magnolia Dr,,Tallahassee,FL,32301,United States,850-702-3513,30.4402451,-84.2647743,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Temple Terrace USF, Tampa, FL",,13612 Bruce B Downs Blvd,,Tampa,FL,33613,United States,813-443-9443,28.0714937,-82.4289597,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Town & Country, Tampa, FL",,5602 West Waters Ave,,Tampa,FL,33634,United States,813-999-0922,28.024923,-82.537737,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
"Evansville, IN",,1530 N Green River Rd,,Evansville,IN,47715,United States,812-213-0200,37.9906378,-87.4953502,Mon-Thu: 11am to 9pm; Fri & Sat: 11am to 10pm; Sun: 11:30am to 8pm,,0
