store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Arrowhead,,16091 North Arrowhead Fountains Center Drive,,Peoria,AZ,85382,United States,623-412-9463,,,Open: 11:00AM - 10:00PM,,0
Chandler,,7111 West Ray Road,,Chandler,AZ,85226,United States,480-785-7272,,,Open: 11:00AM - 10:00PM,,0
Mesa,,1730 South Val Vista Drive,,Mesa,AZ,85204,United States,480-507-9463,,,Open: 11:00AM - 10:00PM,,0
Scottsdale,,3828 North Scottsdale Road,,Scottsdale,AZ,85251,United States,480-949-6622,,,Open: 11:00AM - 10:00PM,,0
Anaheim,,11757 Harbor Boulevard,,Garden Grove,CA,92840,United States,714-740-2822,,,Open: 11:00AM - 10:00PM,,0
Brea,,1609 East Imperial Highway,,Brea,CA,92821,United States,714-529-6262,,,Open: 11:00AM - 10:00PM,,0
Campbell,,1875 South Bascom Avenue,,Campbell,CA,95008,United States,408-377-7722,,,Open: 11:00AM - 10:00PM,,0
Carlsbad,,1921 Calle Barcelona,,Carlsbad,CA,92009,United States,760-479-2533,,,Open: 11:00AM - 10:00PM,,0
Claremont,,505 West Foothill Boulevard,,Claremont,CA,91711,United States,909-399-3287,,,Open: 11:00AM - 10:00PM,,0
Encino,,17500 Ventura Boulevard,,Encino,CA,91316,United States,818-995-3288,,,Open: 4:00PM - 10:00PM,,0
Huntington Beach,,7979 Center Avenue,,Huntington Beach,CA,92647,United States,714-891-4666,,,Open: 11:00AM - 10:00PM,,0
Los Angeles - The Original Farmers Market,,6333 W. 3rd Street,,Los Angeles,CA,90036,United States,323-370-6560,,,Open: 11:00AM - 10:00PM,,0
Mira Mesa,,10749 Westview Parkway,,Mira Mesa,CA,92126,United States,858-536-2822,,,Open: 11:00AM - 10:00PM,,0
Palo Alto,,643 Emerson Street,,Palo Alto,CA,94301,United States,650-329-0665,,,Open: 11:00AM - 10:00PM,,0
Pasadena,,80 West Green Street,,Pasadena,CA,91105,United States,626-792-7272,,,Open: 11:00AM - 10:00PM,,0
Redondo Beach,,1670 South Pacific Coast Highway,,Redondo Beach,CA,90277,United States,310-540-3246,,,Open: 4:00PM - 10:00PM,,0
Roseville,,1212 Galleria Boulevard,,Roseville,CA,95678,United States,916-771-9463,,,Open: 11:00AM - 10:00PM,,0
Sacramento,,1249 Howe Avenue,,Sacramento,CA,95825,United States,916-922-6673,,,Open: 11:00AM - 10:00PM,,0
San Diego,,705 6th Avenue,,San Diego,CA,92101,United States,619-233-7272,,,Open: 11:00AM - 10:00PM,,0
