store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Nike Factory Stores,2802,800 Steven B Tanger Blvd,Suite 810,Commerce,GA,30529,United States,(706) 335-5502,34.2508551,-83.4735802,Sun11:00AM -  7:00PM ; Mon ~ Sat 9:00AM -  9:00PM ,,0
Nike Factory Stores,2803,Tanger Mall Dr.,Suite 1520,Riverhead,NY,11901,United States,(631) 369-0706,40.919896,-72.7144462,Sun10:00AM -  8:00PM ; Mon ~ Sat 9:00AM -  9:00PM ,,0
Nike Factory Stores,2804,5005 Willows Rd.,Suite H102,Alpine,CA,91901,United States,(619) 659-3460,32.8401269,-116.7046679,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2805,100 Ocean Outlets,,Rehoboth,DE,19971,United States,(302) 226-2950,38.7020005,-75.0961549,Sun10:00AM -  7:00PM ; Mon ~ Sat 9:00AM -  9:00PM ,,0
Nike Factory Stores,2806,11656 NE Executive Dr,,Edinburgh,IN,46124,United States,(812) 526-8111,39.3112527,-85.9594031,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2807,14500 W Colfax Ave.,Space 359-B,Lakewood,CO,80401,United States,(303) 271-1928,39.730932,-105.161597,Sun11:00AM -  6:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2808,5000 Katy Mills Cir.,Suite 202,Katy,TX,77494,United States,(281) 644-4901,29.7758308,-95.8093358,Sun11:00AM -  6:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2809,5900 Sugarloaf Pkwy.,Space 528,Lawrenceville,GA,30043,United States,(678) 847-5140,33.9807833,-84.0808711,Sun12:00PM -  6:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2810,800 Hwy. 400 S,Suite 1010,Dawsonville,GA,30534,United States,(706) 216-7779,34.3578144,-84.0478628,Sun11:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2811,375 Prime Outlets Blvd.,,Hagerstown,MD,21740,United States,(301) 393-5937,39.606741,-77.733793,Sun – Thu10:00AM -  7:00PM ; Fri ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2812,6415 Lebeaux Ave. Ne,Suite A10,Albertville,MN,55301,United States,(763) 497-3888,45.2439381,-93.6617384,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2813,2650 NE Mlk Jr Blvd.,,Portland,OR,97212,United States,(503) 281-5901,45.5419368,-122.6611455,Sun11:00AM -  6:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2814,575 W.Linmar Lane,Suite A10,Johnson Creek,WI,53038,United States,(920) 699-4950,43.0890953,-88.7642349,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2815,243 Tanger Dr.,Suite 243,Williamsburg,IA,52361,United States,(319) 668-8047,41.6887368,-92.0059553,Sun10:00AM -  7:00PM ; Mon ~ Sat 9:00AM -  9:00PM ,,0
Nike Factory Stores,2816,2606 Teaster Ln.,,Pigeon Forge,TN,37863,United States,(865) 453-7907,35.8059217,-83.5734816,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2817,2573 Old Vineland Rd.,,Kissimmee,FL,34746,United States,(407) 396-0500,28.3181918,-81.4690403,,,0
Nike Factory Stores,2818,11211 120Th Ave.,Suite 80,Pleasant Prairie,WI,53158,United States,(262) 857-7333,42.5183023,-87.9466899,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2819,1111 N Roosevelt,Suite 400,Seaside,OR,97138,United States,(503) 738-3930,46.0003594,-123.9167278,Sun10:00AM -  6:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2820,7000 Arundel Mills Cir.,Suite 384,Hanover,MD,21076,United States,(410) 379-1587,39.1573631,-76.7252493,Sun11:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:30PM ,,0
Nike Stores,2821,21 Mercer Street,,New York,NY,10013,United States,(212) 226-5433,40.7207899,-74.0020457,Sun12:00PM -  7:00PM ; Mon ~ Sat11:00AM -  7:00PM ,,0
Nike Factory Stores,2822,4445 Camino De La Plaza,Suite 350,San Ysidro,CA,92173,United States,(619) 428-8849,32.5440642,-117.03849,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2823,1475 N Burkhart Rd.,Suite C-200,Howell,MI,48843,United States,(517) 552-6453,42.6224659,-83.9978302,Sun10:00AM -  7:00PM ; Mon ~ Sat 9:00AM -  9:00PM ,,0
Nike Factory Stores,2824,199 Outlet Center Dr.,,Queenstown,MD,21658,United States,(410) 827-4982,38.982325,-76.1592751,Sun10:00AM -  8:00PM ; Mon ~ Thu10:00AM -  7:00PM ,,0
Nike Factory Stores,2825,12158 Beyer Rd.,UNIT 10,Birch Run,MI,48415,United States,(989) 624-6100,43.2559883,-83.7826791,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2826,13000 Folsom Blvd.,Suite 401,Folsom,CA,95630,United States,(916) 985-7313,38.643849,-121.188752,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2827,104 Interstate Hwy. 35 Ne,Suite 196,Hillsboro,TX,76645,United States,(254) 582-7455,32.0115792,-97.0942853,Sun11:00AM -  6:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2828,8225 Arroyo Cir.,Suite 21,Gilroy,CA,95020,United States,(408) 847-4300,37.0207563,-121.5646271,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2829,48650 Seminole Dr.,Suite H234,Cabazon,CA,92230,United States,(951) 849-0466,33.9306635,-116.8190583,Sun10:00AM -  8:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2830,17600 Collier Ave.,Suite B 118,Lake Elsinore,CA,92530,United States,(951) 245-5665,33.702683,-117.3539564,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2831,1025 Outlet Center Dr.,Suite 900,Smithfield,NC,27577,United States,(919) 989-6100,35.5106201,-78.3124918,Sun11:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2832,5699-44B Richmond Rd.,Suite 16B,Williamsburg,VA,23188,United States,(757) 565-2963,37.3195856,-76.7362135,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2833,3939 Interstate 35 N,Suite 798,San Marcos,TX,78666,United States,(512) 353-8500,29.8287653,-97.9803469,Sun10:00AM -  7:00PM ; Mon ~ Sat10:00AM -  9:00PM ,,0
Nike Factory Stores,2834,1111 League Line Rd.,Suite 101,Conroe,TX,77303,United States,(936) 494-2060,30.3635142,-95.4830353,Sun11:00AM -  6:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2835,237-V Blue River Pkwy.,Suite 48,Silverthorne,CO,80498,United States,(970) 468-6040,39.6292077,-106.0728186,Sun10:00AM -  6:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Factory Stores,2836,6750 W Frontage Rd.,Suite 400,Medford,MN,55049,United States,(507) 451-9133,44.1700551,-93.2623869,Sun10:00AM -  6:00PM ; Mon ~ Sat10:00AM -  8:00PM ,,0
Nike Stores,2837,7000 NE Airport Way,Suite 2565,Portland,OR,97218,United States,(503) 284-3558,45.5893574,-122.5933326,,,0
Nike Factory Stores,2838,61334 S Hwy. 97,Suite 430,Bend,OR,97702,United States,(541) 382-7700,44.0268294,-121.3123721,Sun10:00AM -  6:00PM ; Mon ~ Sat 9:30AM -  8:00PM ,,0
Nike Factory Stores,2839,7400 S Las Vegas Blvd.,BOX 1,Las Vegas,NV,89123,United States,(702) 896-7444,36.0549747,-115.1690569,Sun 9:00AM -  8:00PM ; Mon ~ Sat 9:00AM -  9:00PM ,,0
