store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Elmer's Restaurant - Mall 205,11,Elmer's Restaurant - Mall 205,,Portland,OR,97216,United States,(503) 256-0333,45.5187074,-122.5634306,,,0
Elmer's Restaurant - Parkrose,13,Elmer's Restaurant - Parkrose,,Portland,OR,97220,United States,(503) 256-2150,45.5597054,-122.5592521,,,0
Elmer's Restaurant - Delta Park,5,Elmer's Restaurant - Delta Park,,Portland,OR,97217,United States,(503) 289-9848,45.5942432,-122.6819061,,,0
Elmer's Restaurant - Clackamas,3,Elmer's Restaurant - Clackamas,,Clackamas,OR,97015,United States,(503) 655-5656,45.406655,-122.569779,,,0
Elmer's Restaurant - San Rafael,30,Elmer's Restaurant - San Rafael,,Portland,OR,97230,United States,(503) 666-1957,45.5368195,-122.4777235,,,0
Elmer's Restaurant - Mill Plain,21,Elmer's Restaurant - Mill Plain,,Vancouver,WA,98684,United States,(360) 256-0808,45.6216422,-122.5558107,,,0
Elmer's Restaurant - Cornell Oaks,2,Elmer's Restaurant - Cornell Oaks,,Beaverton,OR,97006,United States,(503) 466-9699,45.5275713,-122.8389699,,,0
Elmer's Restaurant - Tigard,17,Elmer's Restaurant - Tigard,,Tigard,OR,97224,United States,(503) 620-6440,45.4184613,-122.7882614,,,0
Elmer's Restaurant - Andresen,20,Elmer's Restaurant - Andresen,,Vancouver,WA,98661,United States,(360) 260-1008,45.650406,-122.5997877,,,0
Elmer's Restaurant - Gresham,7,Elmer's Restaurant - Gresham,,Gresham,OR,97030,United States,(503) 665-5144,45.503406,-122.416521,,,0
Elmer's Restaurant - Hillsboro,9,Elmer's Restaurant - Hillsboro,,Hillsboro,OR,97123,United States,(503) 640-3090,45.519329,-122.9908581,,,0
Elmer's Restaurant - Woodburn,18,Elmer's Restaurant - Woodburn,,Woodburn,OR,97071,United States,(503) 982-2255,45.153018,-122.881816,,,0
Elmer's Restaurant - Salem,15,Elmer's Restaurant - Salem,,Salem,OR,97301,United States,(503) 363-3950,44.949757,-122.984802,,,0
Elmer's Restaurant - Albany,1,Elmer's Restaurant - Albany,,Albany,OR,97322,United States,(541) 928-4227,44.631496,-123.0715804,,,0
Elmer's Restaurant - Corvallis,19,Elmer's Restaurant - Corvallis,,Corvallis,OR,97330,United States,(541) 757-6690,44.5767386,-123.2609894,,,0
Elmer's Restaurant - Springfield,16,Elmer's Restaurant - Springfield,,Springfield,OR,97477,United States,(541) 726-1261,44.0826895,-123.0422933,,,0
Elmer's Restaurant - Tacoma,22,Elmer's Restaurant - Tacoma,,Tacoma,WA,98408,United States,(253) 473-0855,47.1897049,-122.460103,,,0
Elmer's Restaurant - Poulsbo,26,Elmer's Restaurant - Poulsbo,,Poulsbo,WA,98370,United States,(360) 697-2215,47.742148,-122.6392563,,,0
Elmer's Restaurant - Roseburg,14,Elmer's Restaurant - Roseburg,,Roseburg,OR,97470,United States,(541) 673-0021,43.2274498,-123.3598272,,,0
Elmer's Restaurant - Grants Pass,8,Elmer's Restaurant - Grants Pass,,Grants Pass,OR,97526,United States,(541) 474-0740,42.436987,-123.297508,,,0
Elmer's Restaurant - Medford,12,Elmer's Restaurant - Medford,,Medford,OR,97501,United States,(541) 772-2000,42.348047,-122.873981,,,0
Elmer's Restaurant - Klamath Falls,10,Elmer's Restaurant - Klamath Falls,,Klamath Falls,OR,97603,United States,(541) 882-1881,42.2086476,-121.7520811,,,0
Elmer's Restaurant - Coeur d'Alene,24,Elmer's Restaurant - Coeur d'Alene,,Coeur d'Alene,ID,83814,United States,(208) 665-7148,47.699716,-116.789816,,,0
Elmer's Restaurant - Boise,23,Elmer's Restaurant - Boise,,Boise,ID,83706,United States,(208) 343-5714,43.605075,-116.212513,,,0
Elmer's Restaurant - Pocatello,25,Elmer's Restaurant - Pocatello,,Pocatello,ID,83201,United States,(208) 232-9114,42.8605274,-112.4368753,,,0
Elmer's Restaurant - Palm Springs,6,Elmer's Restaurant - Palm Springs,,Palm Springs,CA,92264,United States,(760) 327-8419,33.801755,-116.536167,,,0
Egg N' Joe - Silverstone,27,Egg N' Joe - Silverstone,Suite A101,Scottsdale,AZ,85255,United States,(480) 265-9968,33.6976313,-111.9253159,,,0
Egg N' Joe - Fulton Ranch,29,Egg N' Joe - Fulton Ranch,,Chandler,AZ,,United States,,33.3061605,-111.8412502,,,1
Egg N' Joe - Gilbert,28,Egg N' Joe - Gilbert,Suite 101,Gilbert,AZ,85295,United States,(480) 625-3709,33.2970071,-111.748993,,,0
