store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
DuBois,939473461,Route 255 North & Shaffer Road,,DuBois,PA,15801,United States,(814) 375-8622,41.12253,-78.72918,Every Day: 6 AM - 11 PM,,0
Altoona,939473446,137 Bowling Lane,,Altoona,PA,16601,United States,(814) 943-4070,40.46796,-78.40728,Every Day: 6 AM - 11 PM,,0
Clarion,939473466,35 Perkins Rd.,,Clarion,PA,16214,United States,(814) 227-2188,41.19015,-79.39809,Every Day: 6 AM - 11 PM,,0
Johnstown - Scalp Ave.,939473445,1461 Scalp Avenue,,Johnstown,PA,15904,United States,(814) 266-5714,40.2705802182685,-78.8576214087371,Open 24 Hours,,0
Westmont,939473427,1900 Minno Drive,,Johnstown,PA,15905,United States,(814) 255-7711,40.32316,-78.95616,Every Day: 6:30 AM - 11 PM,,0
Indiana,939473458,2675 Oakland Ave,,Indiana,PA,15701,United States,(724) 465-2301,40.6031416118247,-79.1870143092402,Open 24 Hours,,0
Franklin,939473437,Route 8 & Route 62,,Franklin,PA,16323,United States,(814) 432-3352,41.41076,-79.75439,Sunday-Thursday: 7 AM - 9 PM,,0
Erie - Peach Street,939473454,7355 Peach Street,,Erie,PA,16509,United States,(814) 866-3970,42.0540077358491,-80.0865230188679,Monday-Thursday: 6AM - 9PM,,0
Erie - West 12th Street,939473451,2519 West 12th Street,,Erie,PA,16505,United States,(814) 838-9125,42.1029707948887,-80.1369727455839,Open 24 Hours,,0
Somerset,939473447,926 North Center Avenue,,Somerset,PA,15501,United States,(814) 443-4579,40.0163747219935,-79.0781361966164,Open 24 Hours,,0
Latrobe,939473457,1026 Mountain Laurel Plaza,,Latrobe,PA,15650,United States,(724) 532-1966,40.2837392821369,-79.3897847662771,Open 24 Hours,,0
Natrona Heights,939473426,1626 Broadview Blvd,,Natrona Hts.,PA,15065,United States,(724) 224-2442,40.62163,-79.7275,Open 24 Hours,,0
Greensburg,939473431,995 E. Pittsburgh St,,Greensburg,PA,15601,United States,(724) 837-2759,40.30327,-79.50954,Open 24 Hours,,0
Butler - Clearview Mall,939473421,114 Clearview Circle,Clearview Mall,Butler,PA,16001,United States,(724) 282-7674,40.8955414285714,-79.9065314285714,Open 24 Hours,,0
Butler,939473433,214 New Castle Road,,Butler,PA,16001,United States,(724) 287-0153,40.8700856115647,-79.9295760433676,Open 24 Hours,,0
Murrysville,939473443,4584 William Penn Hwy.,,Murrysville,PA,15668,United States,(724) 327-7270,40.4253458033909,-79.6709990169545,Monday - Saturday: 6 AM - 10 PM,,0
New Kensington,939473434,380 Freeport Street,,New Kensington,PA,15068,United States,(724) 335-3361,40.5566318367347,-79.7605326530612,Every Day: 6 AM - 11 PM,,0
Pittsburgh Mills,939473480,3005 Pittsburgh Mills,,Tarentum,PA,15084,United States,(724) 275-1014,40.569643,-79.79966,Monday - Thursday: 6 AM - 11 PM,,0
Grove City,939473465,1911 Leesburg - Grove City Rd. P.O. Box 1016,Prime Outlets - Grove City,Grove City,PA,16127,United States,(724) 748-5911,41.1433841666667,-80.1587958333333,Open 24 Hours,,0
New Stanton,939473438,111 W Byers Ave,,New Stanton,PA,15672,United States,(724) 925-1060,40.2184395773508,-79.6096428353177,Open 24 Hours,,0
North Huntington,939473467,8891 Rt. 30,,N. Huntingdon,PA,15642,United States,(724) 864-8031,40.3193772972973,-79.6892640540541,Open 24 Hours,,0
