store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"DES MOINES, IA",900,100 Euclid Avenue,,DES MOINES,IA,50313,United States,(515) 282-9912,41.6277,-93.6193,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"DES MOINES, IA",975,3000 S.E. 22nd Street,,DES MOINES,IA,50320,United States,(515) 288-3588,41.5565,-93.5785,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WEST DES MOINES, IA",153,329 Grand Avenue,,WEST DES MOINES,IA,50265,United States,(515) 274-9415,41.5827,-93.7069,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"Pleasant Hill, IA",138,5500 E. University Ave.,,PLEASANT HILL,IA,50327,United States,(515) 262-5951,41.5992,-93.5047,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"JOHNSTON, IA",167,6005 Merle Hay Road,,JOHNSTON,IA,50131,United States,(515) 252-9962,41.6701,-93.6966,Monday - Saturday; (closed on Sundays & holidays); 7:00am - 9:00pm,,0
"ANKENY, IA",909,109 S.E. Oralabor Rd.,,ANKENY,IA,50021,United States,(515) 964-7659,41.7021,-93.5996,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"URBANDALE, IA",933,8450 Meredith Drive,,URBANDALE,IA,50322,United States,(515) 270-1325,41.6429,-93.7342,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CLIVE, IA",106,10151 University Avenue,,CLIVE,IA,50325,United States,(515) 223-0164,41.6031,-93.7569,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"HUXLEY, IA",155,911 Highway 69,,HUXLEY,IA,50124,United States,(515) 597-3663,41.9039,-93.6099,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"ADEL, IA",124,804 Nile Kinnick Drive,,ADEL,IA,50003,United States,(515) 993-3660,41.61,-94.018,Monday - Saturday; (closed on Sundays & holidays); 7:00am - 9:00pm,,0
"ALTOONA, IA",925,620 S.E. 8th Street,,ALTOONA,IA,50009,United States,(515) 967-0705,41.6434,-93.4581,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WINTERSET, IA",683,719 West Highway 92,,WINTERSET,IA,50273,United States,(515) 462-2216,41.3447,-94.0064,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"NORWALK, IA",077,1711 Sunset Drive,,NORWALK,IA,50211,United States,(515) 981-4420,41.4841,-93.6769,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"AMES, IA",386,619 Burnett Avenue,,AMES,IA,50010,United States,(515) 232-3543,42.0274,-93.6168,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CARLISLE, IA",147,1115 Bluestem Drive,,CARLISLE,IA,50047,United States,(515) 989-2083,41.4984,-93.4994,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"NEWTON, IA",848,120 North Third Avenue E.,,NEWTON,IA,50208,United States,(641) 792-7950,41.702,-93.0527,Monday - Saturday; (closed Sundays & holidays); 7:30am - 9:00pm,,0
"GRIMES, IA",983,351 Gateway Drive,,GRIMES,IA,50111,United States,(515) 986-2023,41.6866,-93.7788,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"NEVADA, IA",426,1505 South B Avenue,,NEVADA,IA,50201,United States,(515) 382-2875,42.0106,-93.4395,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ANKENY, IA",061,3205 North Ankeny Blvd.,,ANKENY,IA,50023,United States,(515) 965-7551,41.7571,-93.5992,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"PERRY, IA",470,1315 Willis Avenue,,PERRY,IA,50220,United States,(515) 465-3411,41.8377,-94.1029,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"POLK CITY, IA",137,1101 S. 5th Street,,POLK CITY,IA,50226,United States,(515) 984-9505,41.7639,-93.7187,Monday - Saturday; (closed on Sundays & holidays); 7:00am - 9:00pm,,0
"AMES, IA",093,3619 Stange Road,,AMES,IA,50010,United States,(515) 233-3851,42.0571,-93.6466,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"WAUKEE, IA",989,200 SE Laurel Street,,WAUKEE,IA,50263,United States,(515) 987-8073,41.6135,-93.8614,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"INDIANOLA, IA",657,1309 W. 2nd Street,,INDIANOLA,IA,50125,United States,(515) 961-5643,41.3558,-93.5795,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"CRESTON, IA",597,105 East Adams Street,,CRESTON,IA,50801,United States,(641) 782-5612,41.058,-94.3608,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"OSKALOOSA, IA",625,311 3rd Avenue West,,OSKALOOSA,IA,52577,United States,(641) 673-7288,41.293,-92.6483,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ELDORA, IA",882,1232 14th Street,,ELDORA,IA,50627,United States,(641) 858-2472,42.361,-93.1011,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"TOLEDO, IA",792,1005 South County Line Rd,,TOLEDO,IA,52342,United States,(641) 484-3006,41.9972,-92.5835,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WEBSTER CITY, IA",395,942 2nd Street,,WEBSTER CITY,IA,50595,United States,(515) 832-5040,42.4693,-93.8278,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"IOWA FALLS, IA",559,500 Iowa Street,,IOWA FALLS,IA,50126,United States,(641) 648-2394,42.5224,-93.2631,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"FORT DODGE, IA",508,1231 1st Avenue South,,FORT DODGE,IA,50501,United States,(515) 576-0341,42.5044,-94.1812,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CENTERVILLE, IA",827,305 South 18th Street,,CENTERVILLE,IA,52544,United States,(641) 437-7064,40.731,-92.8665,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"CARROLL, IA",409,709 Monterey Drive,,CARROLL,IA,51401,United States,(712) 792-2517,42.0656,-94.8514,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"OTTUMWA, IA",648,1325 Albia Road,,OTTUMWA,IA,52501,United States,(641) 684-5520,41.0104,-92.4403,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"ATLANTIC, IA",940,301 Poplar Street,,ATLANTIC,IA,50022,United States,(712) 243-4291,41.4081,-95.0154,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"EAGLE GROVE, IA",551,205 N.W. 1st Street,,EAGLE GROVE,IA,50533,United States,(515) 448-3241,42.6656,-93.9035,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"HAMPTON, IA",902,309 Central Ave. West,,HAMPTON,IA,50441,United States,(641) 456-5253,42.7424,-93.2118,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"HUMBOLDT, IA",703,710 First Avenue North,,HUMBOLDT,IA,50548,United States,(515) 332-4055,42.7214,-94.2186,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"BELMOND, IA",879,512 River Avenue North,,BELMOND,IA,50421,United States,(641) 444-3034,42.8497,-93.6168,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CEDAR FALLS, IA",974,214 N. Magnolia Drive,,CEDAR FALLS,IA,50613,United States,(319) 277-6858,42.539,-92.4759,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"KNOXVILLE, IA",980,1308 S. Lincoln Street,,KNOXVILLE,IA,50138,United States,(641) 842-5141,41.3082,-93.1105,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"BOONE, IA",384,1711 Hawkeye Drive,,BOONE,IA,50036,United States,(515) 432-7519,42.0381,-93.8676,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"PELLA, IA",995,2010 Washington Street,,PELLA,IA,50219,United States,(641) 628-9995,41.4132,-92.9418,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"OSCEOLA, IA",699,215 South Main Street,,OSCEOLA,IA,50213,United States,(641) 342-3884,41.0324,-93.7648,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"GRINNELL, IA",737,727 West Street,,GRINNELL,IA,50112,United States,(641) 236-3331,41.7414,-92.7284,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"MARSHALLTOWN, IA",467,102 West Anson Street,,MARSHALLTOWN,IA,50158,United States,(641) 752-5181,42.0375,-92.9147,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"GREENFIELD, IA",941,212 S.W. Kent,,GREENFIELD,IA,50849,United States,(641) 343-7091,41.3027,-94.4639,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"JEFFERSON, IA",888,1207 N Elm Street,,JEFFERSON,IA,50129,United States,(515) 386-4076,42.0261,-94.3776,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WATERLOO, IA",951,40 W San Marnan Drive,,WATERLOO,IA,50701,United States,(319) 236-0107,42.4588,-92.3581,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"HARLAN, IA",790,1910 23rd Street,,HARLAN,IA,51537,United States,(712) 755-2030,41.6502,-95.3387,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"VINTON, IA",462,501 A Avenue,,VINTON,IA,52349,United States,(319) 472-2861,42.166,-92.0264,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"EVANSDALE, IA",067,215 South Evans Road,,EVANSDALE,IA,50707,United States,(319) 287-5142,42.4758,-92.2864,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"RED OAK, IA",841,811 Broadway,,RED OAK,IA,51566,United States,(712) 623-2651,41.0115,-95.2327,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"DENISON, IA",015,609 Arrowhead Drive,,DENISON,IA,51442,United States,(712) 263-5565,42.0243,-95.372,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"CLARINDA, IA",048,115 Essie Davison Drive,,CLARINDA,IA,51632,United States,(712) 542-3178,40.7228,-95.0393,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WAVERLY, IA",561,222  West Bremer Ave.,,WAVERLY,IA,50677,United States,(319) 352-4319,42.7267,-92.4741,Monday - Saturday; (closed Sundays & holidays); 7:00am - 9:00pm,,0
"CEDAR RAPIDS, IA",963,4220 16th Avenue S.W.,,CEDAR RAPIDS,IA,52404,United States,(319) 396-4585,41.9648,-91.7271,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"WASHINGTON, IA",554,301 North Marion Avenue,,WASHINGTON,IA,52353,United States,(319) 653-5064,41.3022,-91.6938,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
"HIAWATHA, IA",055,885 Edgewood Road,,HIAWATHA,IA,52233,United States,(319) 378-1072,42.0465,-91.7013,Monday - Saturday; (closed Sundays & holidays); 8:00am - 9:00pm,,0
