store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Edgewater,,90 The Promenade,,Edgewater,NJ,07020,United States,201-313-9463,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 4:00 PM - 9:00 PM; ,,0
Las Vegas/Town Square,,6515 South Las Vegas Boulevard,,Las Vegas,NV,89119,United States,702-407-0019,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 4:00 PM - 10:00 PM; ,,0
Summerlin,,8721 West Charleston Boulevard,,Las Vegas,NV,89117,United States,702-838-4774,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 10:30 PM; Sunday 11:00 AM - 9:00 PM; ,,0
Omaha,,140 Regency Parkway,,Omaha,NE,68114,United States,402-393-0811,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 5:00 PM - 9:00 PM; ,,0
St. Louis,,1855 South Lindbergh Boulevard,,St. Louis,MO,63131,United States,314-567-7610,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 11:00 AM - 9:00 PM; ,,0
Livonia,,17400 Haggerty Road,,Livonia,MI,48152,United States,734-542-9463,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday 5:00 PM - 11:00 PM; Saturday 4:30 PM - 11:00 PM; Sunday 11:00 AM - 9:00 PM; ,,0
Birmingham,,323 North Old Woodward Avenue,,Birmingham,MI,48009,United States,248-723-0134,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 4:00 PM - 9:00 PM; ,,0
Boston,,217 Stuart Street,,Boston,MA,02116,United States,617-292-0808,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 4:30 PM - 11:00 PM; Sunday 4:00 PM - 9:00 PM; ,,0
Baltimore,,720 Aliceanna Street,,Baltimore,MD,21202,United States,410-332-1666,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 5:00 PM - 9:00 PM; ,,0
Baton Rouge,,7321 Corporate Boulevard,,Baton Rouge,LA,70809,United States,225-925-2710,,,Monday - Thursday 5:00 PM - 10:00 PM; Friday - Saturday 5:00 PM - 11:00 PM; Sunday 5:00 PM - 9:00 PM; ,,0
