store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Florida Mall,,8001 S Orange Blossom Trail,,Orlando,FL,32809,United States,407-240-5006,,,,,0
Windermere LA Fitness (Inside LA Fitness),,4768 The Grove Drive,,Windermere,FL,34786,United States,407-217-6944,,,,,0
2227 S. University Dr,,2227 S. University Dr,,Davie,FL,33324,United States,954-533-2062,,,,,0
LA Fitness,,6501 N Andrews Ave,,Ft Lauderdale,FL,33309,United States,561-862-8543,,,,,0
4933 Sheridan St,,4933 Sheridan St,,Hollywood,FL,33021,United States,(954) 613-5128,,,,,0
13909 SW 88th St,,13909 SW 88th St,,Miami,FL,33186,United States,(786) 773-2484,,,,,0
91256 Overseas Hwy,,91256 Overseas Hwy,,Tavernier,FL,33070,United States,,,,,,0
"6751 Constitution Loop, Bldg 4",,"6751 Constitution Loop, Bldg 4",Infantry Hall Annex,Ft. Benning,GA,31905,United States,706-682-7365,,,,,0
1206 State Gym,,1206 State Gym,,Ames,Iowa,50011,United States,,,,,,0
"100 Eglin St, #1709B",,"100 Eglin St, #1709B",,Hanscom AFB,MA,01731,United States,781-863-9900,,,,,0
Eldridge LA Fitness - Inside LA Fitness,,1555 Eldridge Pkwy,,Houston,TX,77077,United States,281-531-0011,,,,,0
2063 Town East Mall,,2063 Town East Mall,,Mesquite,TX,75150,United States,,,,,,0
Brambleton Town Center,,Brambleton Town Center,"42395 Ryan Rd, #114",Ashburn,VA,20148,United States,703-327-7901,,,,,0
Building 9025,,1431 Mahone,,Ft. Lee,VA,23801,United States,804-722-8282,,,,,0
Blue Mall Plaza,,Local P4-27,Avenida Winston Churchhill esquina Gustavo Mejia Ricart,Phone:,,,Dominican Republic,,,,,,0
"Avenida Tiradentes 27, Esquina Gustavo M Ricart",,"Avenida Tiradentes 27, Esquina Gustavo M Ricart",,Santo Domingo,,,Dominican Republic,,,,,,0
"Agana Shopping Center, Ste 101",,"Agana Shopping Center, Ste 101",,Hagatna,Guam,96910,United States,671-477-1194,,,,,0
"199 Chalan San Antonio, Food Court, Space E",,"199 Chalan San Antonio, Food Court, Space E",,Tamuning,Guam,96913,United States,671-649-1194,,,,,0
"17-18 Ave. 7 Calle, S.O. Barrio Rio de Piedras.",,"17-18 Ave. 7 Calle, S.O. Barrio Rio de Piedras.",,,,,Honduras,001(504)2510-1557,,,,,0
"Rand Gallery Mall, Salim St",,"Rand Gallery Mall, Salim St",,P.O. Box 111; Sulaymaniyah,,,Iraq,001 +964-053-3186464,,,,,0
Centro Comercial Plaza Sinfonia,,"Locales PB14 y PB37, Sonata",Lomas de Angelopolis,Puebla,,,Mexico,,,,,,0
Brisas del Golf,,Plaza Village Gallery,Local No. 06,Plaza Village Gallery,,,Panama,001 +507-394-2880,,,,,0
Albrook Mall,,Local No. 23 (Dolphin entrance),,Panama City,,,Panama,001 +507-390-6060,,,,,0
Condado del Rey,,"Plaza Altos de Panama, Local 14 L",,Panama City,,,Panama,,,,,,0
Grand Turk Cruise Center,,Grand Turk Port,,Grand Turk,,,Turks & Caicos,,,,,,0
