store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
See's Candies,358999,1901 NW Expressway,"Penn Square Mall, #1005A",Oklahoma City,OK,73118,United States,(405) 767-9046,35.524781,-97.545419,Mo-Sa 10:00-21:00; Su 12:00-19:00,,0
See's Candies,205783,7021 S Memorial Dr,Woodland Hills Mall,Tulsa,OK,74133,United States,(918) 294-0522,36.0630982,-95.8812690,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Dillard's,515485,7700 East Kellogg Dr N,Towne East Mall,Wichita,KS,67207,United States,,37.6819414,-97.2470599,Mo-Sa 10:00-21:00; Su 11:00-19:00,,0
See's Candies,205785,2601 Preston Rd,Stonebriar Centre,Frisco,TX,75034,United States,(214) 872-1715,33.0986411,-96.8110811,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Nebraska Furniture Mart,692321,5600 Nebraska Furniture Mart Dr,,The Colony,TX,75056,United States,(972) 668-3000,33.071418,-96.866460,Mo-Su 10:00-21:00,,0
Dillard's,331492,2501 Dallas Parkway,Shops @ Willowbend,Plano,TX,75093,United States,,33.0330460,-96.8306460,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
See's Candies Quantity Discount,573577,7775 N MacArthur Blvd,,Irving,TX,75063,United States,(469) 420-9076,32.9126151,-96.958795,Mo-Sa 10:00-19:00; Su 12:00-18:00,,0
See's Candies,205784,1101 Melbourne Rd,North East Mall,Hurst,TX,76053,United States,(817) 595-0121,32.8307640,-97.1994330,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Dillard's,331493,1101 Melbourne Road,Northeast Mall,Hurst,TX,76053,United States,,32.8307640,-97.1994330,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Dillard's,331496,8987 N. Central Expressway #100,Northpark,Dallas,TX,75225,United States,,32.8717731,-96.7706868,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
See's Candies,431330,8687 North Central Expressway,NorthPark Center,Dallas,TX,75225,United States,(469) 232-9279,32.8684679,-96.7737794,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Dillard's,331495,4850 Overton Ridge Blvd,Hulen Mall,Fort Worth,TX,76132,United States,,32.6760466,-97.3989924,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
See's Candies,325635,2825 S. Glenstone Ave,Battlefield Mall,Springfield,MO,65804,United States,(417) 887-1047,37.1627612,-93.2657458,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Nebraska Furniture Mart,205823,1601 Village West Pkwy,,Kansas City,KS,66111,United States,(913) 288-6200,39.12421,-94.8195909,Mo-Sa 10:00-21:00; Su 11:00-20:00,,0
Dillard's,631987,6000 W Markham St,,Little Rock,AR,72205,United States,,34.7531078,-92.3428778,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
H-E-B Market,636217,7025 Village Center Drive,,Austin,TX,78731,United States,(512) 502-8445,30.407587,-97.668152,Mo-Su 06:00-00:00,,0
See's Candies,452925,10710 Research Blvd,North Hills Town Center,Austin,TX,78759,United States,(512) 372-1048,30.398683,-97.747857,Mo-Sa 10:00-19:00; Su 12:00-18:00,,0
Dillard's,631991,3211 Feathergrass Court,,Austin,TX,78758,United States,,30.3943391,-97.7275984,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
H-E-B Market,636211,3875 W. Davis St,,Conroe,TX,77304,United States,(936) 760-6810,30.3266189,-95.4995762,Mo-Su 06:00-00:00,,0
Magnolia Market H‑E‑B,698381,7988 FM 1488,,Magnolia,TX,77354,United States,(832) 934-3400,30.209379,-95.750782,Mo-Su 06:00-23:00,,0
H-E-B Market,331786,3601 FM 1488,,The Woodlands,TX,77384,United States,(936) 271-2730,30.2303132,-95.5064513,Mo-Su 06:00-23:00,,0
H-E-B Market,205791,10777 Kuykendahl Rd,,The Woodlands,TX,77382,United States,(281) 292-8006,30.1773841,-95.5366232,Mo-Su 06:00-00:00,,0
H-E-B Market,205929,9595 Six Pines Dr,,The Woodlands,TX,77380,United States,(281) 292-2080,30.1632163,-95.4644682,Mo-Su 06:00-0:00,,0
H-E-B Market,574595,26500 Kuykendahl Rd,,Tomball,TX,77375,United States,(281) 205-6500,30.1226668,-95.5540897,Mo-Su 06:00-00:00,,0
H-E-B Market,692317,3540 Rayford Rd.,,Spring,TX,77386,United States,(281) 528-2380,30.1091165,-95.3881283,Mo-Su 06:00-23:59,,0
H-E-B Market,205911,7310 Louetta Rd,,Spring,TX,77379,United States,(281) 812-4357,30.0196153,-95.5265205,Mo-Th 06:00-00:00; Fr 08:00-00:00; Sa-Su 06:00-00:00,,0
H-E-B Market,636205,10919 Louetta Road,,Houston,TX,77070,United States,(281) 257-4600,29.9952905,-95.5756992,Mo-Su 06:00-00:00,,0
H-E-B Market,205846,24224 Northwest Fwy,,Cypress,TX,77429,United States,(281) 256-6339,29.956829,-95.673203,Mo-Su 06:00-0:00,,0
See's Candies,247940,2000 Willowbrook Mall,,Houston,TX,77070,United States,(281) 807-1331,29.9594198,-95.5389847,Mo-Sa 10:00-21:00; Su 12:00-18:00,,0
Nebraska Furniture Mart,205905,700 S 72nd St,,Omaha,NE,68114,United States,(402) 397-6100,41.2535405,-96.0247805,Mo-Sa 10:00-21:00; Su 10:00-18:00,,0
H-E-B Market,632001,24165 W IH-10,,San Antonio,TX,78257,United States,(210) 687-1007,29.6650899,-98.6331291,Mo-Su 06:00-00:00,,0
H-E-B Market,631997,1150 NW Loop 1604,,San Antonio,TX,78248,United States,(210) 408-1641,29.606315,-98.510932,Mo-Su 06:00-00:00,,0
H-E-B Market,636203,9710 Katy Freeway,,Houston,TX,77055,United States,(713) 647-5900,29.7866391,-95.531909,Mo-Su 06:00-00:00,,0
H-E-B Market,205900,6711 S Fry Rd,,Katy,TX,77494,United States,(281) 392-9500,29.7132050,-95.7755600,Mo-Su 06:00-00:00,,0
H-E-B Market,574669,5895 San Felipe St.,,Houston,TX,77057,United States,(713) 278-8450,29.7496005,-95.4851233,Mo-Su 06:00-00:00,,0
