store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Anchorage,,4001 Lake Otis Pkwy # 200 ,,Anchorage ,AK,99508,United States,907-222-0400,,,Mon - Thurs: 10 am - 6:30 pm; Friday: 9 am - 5 pm; Saturday: By appointment only,,0
Renton,,3900 East Valley Rd. Suite 203 ,,Renton ,WA,98057,United States,425-264-0044,,,Monday : 9:30am - 5:00pm; Tue & Thur : 10am - 7pm; Friday : 8am - 3:00pm,,0
Puyallup,,10317 122nd Street E Suite D ,,Puyallup ,WA,98374,United States,253-435-5656,,,Mon - Wed: 10am - 6:30pm; Thur & Fri: 8am - 4:30pm,,0
Tumwater/Olympia,,6015 Capitol Boulevard ,,Southwest Tumwater ,WA,98501,United States,360-943-5420,,,Mon & Tues: 8am - 4:30pm; Wed & Thurs: 10am - 6:30pm; Friday: 8am - 4:30pm,,0
Federal Way,,30640 Pacific Hwy So Suite A ,,Federal Way ,WA,98003,United States,253-946-3895,,,Mon - Fri : 9am - 5pm,,0
Spokane (North),,755 E. Holland Ave. ,,Spokane ,WA,99218,United States,509-467-8000,,,Mon - Fri: 7am - 7pm,,0
Spokane Valley,,20 N Evergreen # 101 ,,Spokane ,WA,99216,United States,509-926-1500,,,Mon - Fri : 7am - 7pm; Saturday : 7am - 3pm,,0
Tacoma,,3402 South 18th St. ,,Tacoma ,WA,98405,United States,253-471-2655,,,Mon - Thu : 10am - 6:30pm; Friday : 8am - 4:30pm,,0
Mt. Vernon,,120 South 15th Street Suite A ,,Mt. Vernon ,WA,98274,United States,360.424.7921,,,Monday - Thursday: 8 am - 7 pm; Friday: 8 am - 4:30 pm; Saturday: 9 am - 2 pm,,0
Covington / Kent,,16720 Southeast 271st Street ,,Covington ,WA,98042,United States,253-630-3500,,,Mon & Wed : 11 am - 7:30 pm; Tue & Thurs : 8 am - 4:30 pm; Fri : 9 am - 5 pm,,0
Everett,,1920 100th Street SE Suite C1 ,,Everett ,WA,98208,United States,425-438-8584,,,Mon - Thur: 10am - 6pm; Friday: 8am - 6pm; 1 Saturday a month: 9am - 4pm,,0
Burien,,15726 1st Avenue ,,So. Burien ,WA,98148,United States,206-988-0500,,,Mon - Thu : 9:30am - 6pm; Friday : 9am - 5:30pm,,0
Bellevue/Factoria,,4122 Factoria Blvd. SE # 301 ,,Bellevue ,WA,98006,United States,425-401-5000,,,Mon & Wed : 9am - 5:30pm; Tues & Thurs : 10am - 7:30pm; Fri : 9am - 3pm,,0
Arlington/Smokey Point,,16404 Smokey Point Blvd Suite 301 ,,Arlington ,WA,98223,United States,360-548-3188,,,Mon: 10am - 6:30pm; Tues: 9am - 5:30pm; Wed: 9am - 5:30pm; Thurs: 8am - 4:30pm; Fri: 7am - 3:30pm,,0
Fairbanks,,503 14th Ave. ,,Fairbanks ,AK,99701,United States,907-374-3888,,,Mon & Tue: 10 am - 6:30 pm; Wed: 8 am - 4:30 pm; Thu & Fri: 8 am - 3 pm,,0
Wasilla,,701 East Parks Hwy Suite 209 ,,Wasilla ,AK,99654,United States,907-376-3368,,,Mon - Thurs: 10 am - 6:30 pm; Friday: 9 am - 5 pm; Saturday: By appointment only,,0
