store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Atlantic Superstore - Young Street,0354,6141 Young Street ,,Halifax,NS,B3K 2A5,United States,,44.658581,-63.605533,Thursday: 12:00 AM - 12:00 AM; Friday: 12:00 AM - 12:00 AM; Saturday: 12:00 AM - 12:00 AM; Sunday: 12:00 AM - 12:00 AM; Monday: 12:00 AM - 12:00 AM; Tuesday: 12:00 AM - 12:00 AM; ,,0
Atlantic Superstore - Rothesay Ave,0353,168 Rothesay Ave ,,Saint John,NB,E2J 2B5,United States,,45.287,-66.046,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Onondago Street,0315,1150 Onondago Street ,,Oromocto,NB,E2V 1B8,United States,,45.852956,-66.473344,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 10:00 AM - 6:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Trinity Drive,0326,89 Trinity Drive ,,Moncton,NB,E1G 2J7,United States,,46.118391,-64.83239,Thursday: 12:00 AM - 12:00 AM; Friday: 12:00 AM - 12:00 AM; Saturday: 12:00 AM - 12:00 AM; Sunday: 12:00 AM - 12:00 AM; Monday: 12:00 AM - 12:00 AM; Tuesday: 12:00 AM - 12:00 AM; ,,0
Atlantic Superstore - St. Margarets Bay Road,0313,5178 St. Margarets Bay Road ,,Upper Tantallon,NS,B3Z 4G3,United States,,44.686763,-63.879383,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Madawaska Road,0396,240 Madawaska Road ,,Grand Falls,NB,E3Y 1A5,United States,,47.055809,-67.745482,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 9:00 AM - 6:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Davidson Drive,0337,21 Davidson Drive ,,Bridgewater,NS,B4V 2P9,United States,,44.381165,-64.519082,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Portland Street,0352,650 Portland Street ,,Dartmouth,NS,B2W 2M7,United States,,44.669982,-63.522576,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 7:00 AM - 11:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Main Street,0318,470 Main Street ,,Kingston,NS,B0P 1R0,United States,,44.984338,-64.952219,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 10:00 AM - 8:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Highway #7,0367,5240 Highway 7 ,,Porters Lake,NS,B3E 1J7,United States,,44.743085,-63.281598,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 10:00 AM - 8:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
Atlantic Superstore - Somerset Street,0311,680 Somerset St ,,Saint John,NB,E2K 2V7,United States,,45.288985,-66.084629,Thursday: 7:00 AM - 11:00 PM; Friday: 7:00 AM - 11:00 PM; Saturday: 7:00 AM - 11:00 PM; Sunday: 9:00 AM - 8:00 PM; Monday: 7:00 AM - 11:00 PM; Tuesday: 7:00 AM - 11:00 PM; ,,0
Atlantic Superstore - Victoria Street,0325,577 Victoria Street ,,Edmundston,NB,E3V 3L1,United States,,47.382922,-68.334763,Thursday: 8:00 AM - 10:00 PM; Friday: 8:00 AM - 10:00 PM; Saturday: 8:00 AM - 10:00 PM; Sunday: 8:00 AM - 6:00 PM; Monday: 8:00 AM - 10:00 PM; Tuesday: 8:00 AM - 10:00 PM; ,,0
