store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Florence  D.   Cuneo, AuD, FAAA",,,,,,,United States,ENT/Facial Plastic Surgery,,,,,
"Kahri  H.   Farnsworth, AuD, FAAA",,,,,,,United States,Intermountain Hearing and Balance Center,,,,,
"Alyssa  R.   Needleman, PhD, FAAA",,,,,,,United States,  ,,,,,
"Benjamin  L.   Harden, AuD, FAAA",,,,,,,United States,"7 Marymount Terrace, 07-05",,,,,
"Crystal  V.   Amantea, AuD, FAAA",,,,,,,United States,  ,,,,,
"Joshua  A.   Gilbert, AuD, FAAA",,,,,,,United States,  ,,,,,
"Kathleen  Burke, AuD, FAAA",,,,,,,United States,  ,,,,,
"Kay  L.   Wise, AuD, FAAA",,,,,,,United States,ENT Medical Group,,,,,
"Kara  J.   McMyne, AuD, FAAA",,,,,,,United States,  ,,,,,
"Gail  R.   Knecht, AuD, FAAA",,,,,,,United States,"Knecht Audiology, Inc",,,,,
"Diane  F.   Deshaies, AuD, FAAA",,,,,,,United States,  ,,,,,
"David  Citron, PhD, FAAA",,,,,,,United States,  ,,,,,
"Gail  R.   Knecht, AuD, FAAA",,,,,,,United States,  ,,,,,
"Sharon  Jill   Howard, AuD, FAAA",,,,,,,United States,  ,,,,,
"Marylou  Astorino, AuD, FAAA",,,,,,,United States,  ,,,,,
"Ellen  Howard   Burton, MA, FAAA",,,,,,,United States,  ,,,,,
"Brittney  D.   Reidy, AuD, FAAA",,,,,,,United States,  ,,,,,
"Pamela  M.   Sanderson, MS, FAAA",,,,,,,United States,  ,,,,,
"Kerry  A.   Winget, AuD, FAAA",,,,,,,United States,  ,,,,,
"Cynthia  Fannon, AuD, FAAA",,,,,,,United States,  ,,,,,
"Florence  D.   Cuneo, AuD, FAAA",,,,,,,United States,ENT/Facial Plastic Surgery,,,,,
"Kahri  H.   Farnsworth, AuD, FAAA",,,,,,,United States,Intermountain Hearing and Balance Center,,,,,
"Alyssa  R.   Needleman, PhD, FAAA",,,,,,,United States,  ,,,,,
"Benjamin  L.   Harden, AuD, FAAA",,,,,,,United States,"7 Marymount Terrace, 07-05",,,,,
"Crystal  V.   Amantea, AuD, FAAA",,,,,,,United States,  ,,,,,
"Joshua  A.   Gilbert, AuD, FAAA",,,,,,,United States,  ,,,,,
"Kathleen  Burke, AuD, FAAA",,,,,,,United States,  ,,,,,
"Kay  L.   Wise, AuD, FAAA",,,,,,,United States,ENT Medical Group,,,,,
"Kara  J.   McMyne, AuD, FAAA",,,,,,,United States,  ,,,,,
"Gail  R.   Knecht, AuD, FAAA",,,,,,,United States,"Knecht Audiology, Inc",,,,,
"Diane  F.   Deshaies, AuD, FAAA",,,,,,,United States,  ,,,,,
"David  Citron, PhD, FAAA",,,,,,,United States,  ,,,,,
"Gail  R.   Knecht, AuD, FAAA",,,,,,,United States,  ,,,,,
"Sharon  Jill   Howard, AuD, FAAA",,,,,,,United States,  ,,,,,
"Marylou  Astorino, AuD, FAAA",,,,,,,United States,  ,,,,,
"Ellen  Howard   Burton, MA, FAAA",,,,,,,United States,  ,,,,,
"Brittney  D.   Reidy, AuD, FAAA",,,,,,,United States,  ,,,,,
"Pamela  M.   Sanderson, MS, FAAA",,,,,,,United States,  ,,,,,
"Kerry  A.   Winget, AuD, FAAA",,,,,,,United States,  ,,,,,
"Cynthia  Fannon, AuD, FAAA",,,,,,,United States,  ,,,,,
