store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
SEM-LONGWOOD EA,8530136,801 E STATE ROAD 434,,LONGWOOD,FL,32750-5306,United States,(407)260-5144,28.698,-81.3332,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday: CLOSED; Sunday: CLOSED; ,,0
SEM CASSELBERRY,8530132,894 STATE ROAD 436,,CASSELBERRY,FL,32707-5304,United States,(407)339-2265,28.6498,-81.3259,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday: CLOSED; Sunday: CLOSED; ,,0
SEM-LONGWOOD W,8530130,2127 W STATE ROAD 434,,LONGWOOD,FL,32779-4983,United States,(407)862-2265,28.6887,-81.3933,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday: CLOSED; Sunday: CLOSED; ,,0
SEM-LAKE MARY B,8530133,4699 W LAKE MARY BLVD,,LAKE MARY,FL,32746-4301,United States,(407)444-2265,28.7557,-81.3581,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday: CLOSED; Sunday: CLOSED; ,,0
LAKE HOWELL,8530103,2525 HOWELL BRANCH RD,,CASSELBERRY,FL,32707-6573,United States,(407)671-1440,28.6258,-81.3171,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday: CLOSED; Sunday: CLOSED; ,,0
LEHIGHTON GIANT,2820212,1241 BLAKESLEE BOULEVARD DR E,,LEHIGHTON,PA,18235-2401,United States,(570)386-8291,40.8147,-75.7321,Monday:9AM-6PM; Tuesday:9AM-6PM; Wednesday:9AM-6PM; Thursday:9AM-6PM; Friday:9AM-6PM; Saturday:9AM-3PM; Sunday:9AM-1PM; ,,0
LEBANON,2090158,1850 E MAIN ST,,LEBANON,VA,24266-3437,United States,(276)889-4815,36.907,-82.0478,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday:9AM-12PM; Sunday: CLOSED; ,,0
MAITLAND HORATI,8530119,360 E HORATIO AVE,,MAITLAND,FL,32751-4517,United States,(407)628-4626,28.6272,-81.3625,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday: CLOSED; Sunday: CLOSED; ,,0
NEW EGYPT,2810919,8 JACOBSTOWN RD,,NEW EGYPT,NJ,08533-1019,United States,(609)758-7400,40.0679,-74.5361,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday:9AM-12PM; Sunday: CLOSED; ,,0
ALTAMONTE SPRGS,8530107,151 N STATE ROAD 434,,ALTAMONTE SPRINGS,FL,32714-2946,United States,(407)869-7070,28.664,-81.4185,Monday:9AM-5PM; Tuesday:9AM-5PM; Wednesday:9AM-5PM; Thursday:9AM-5PM; Friday:9AM-6PM; Saturday:9AM-12PM; Sunday: CLOSED; ,,0
