store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Pete's Tire Barns,232804,591 W. Broadway,,Gardner,MA,01440-2829,United States,9786327697,42.56434,-72.0056,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Pete's Tire Barns,303522,114 New Athol Rd.,,Orange,MA,01364-9618,United States,9782494710,42.584089,-72.266329,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Petes Tire Barns,784815,45 Jones St,,Orange,MA,01364-0000,United States,9785448811,42.5904743270772,-72.2975780694936,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Pete's Tire Barns,232802,275 E. Main St.,,Orange,MA,01364-1250,United States,9785448811,42.58847,-72.29752,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Pete's Tire Barns,232803,275 E. Main St.,,Orange,MA,01364-1250,United States,9785448811,42.58847,-72.29752,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Rick's Tire Service,771459,59898 State Route 30,,Grand Gorge,NY,12434-0033,United States,6075887501,42.360506,-74.499252,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Sorel's Garage,776763,88 Hartford Rd,,Brooklyn,CT,06234-1715,United States,8607744514,41.78489,-71.95666,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Riechers Tire,328084,4710 South Point Rd.,,Washington,MO,63090-6735,United States,6362392722,38.52962,-90.974261,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 01:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Bolzenius Tire LLC,354999,301 Pine Street,,Union,MO,63084-2231,United States,6365835111,38.44228,-91.005621,Mon:07:00 AM - 05:00 PM; Tue:07:00 AM - 05:00 PM; Wed:07:00 AM - 05:00 PM; Thu:07:00 AM - 05:00 PM; Fri:07:00 AM - 05:00 PM; Sat:07:00 AM - 01:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
Pete's Tire & Oil,779767,471 Main Street,,Webster,MA,01570-2221,United States,5089491756,42.0512092038122,-71.8795000184446,Mon:08:00 AM - 05:00 PM; Tue:08:00 AM - 05:00 PM; Wed:08:00 AM - 05:00 PM; Thu:08:00 AM - 05:00 PM; Fri:08:00 AM - 05:00 PM; Sat:08:00 AM - 05:00 PM; Sun:08:00 AM - 05:00 PM; ,,0
