store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
TX - Waco,511,2601 S. Jack Kultgen Expressway,,Waco,TX,76706,United States,254-759-8001,31.510679,-97.142563,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
TX - Corpus Christi,501,1921 S. Padre Island Drive,,Corpus Christi,TX,78416,United States,361-806-2933,27.739098,-97.436499,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
TX - Amarillo,548,2813 W. Interstate 40,,Amarillo,TX,79109,United States,806-353-0033,35.19454,-101.86786,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
TX - Longview,563,200 E Loop 281,,Longview,TX,75605,United States,903-232-1606,32.541993,-94.744108,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-12:00AM;,,0
TX - San Antonio,579,7518 NW Loop 410,,San Antonio,TX,78245,United States,210-684-0333,29.444712,-98.637492,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
TX - Midland,578,3315 W. Loop 250 North,,Midland,TX,79705,United States,432-694-2333,32.013516,-102.160893,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
TX - Odessa ,593,6153 E. Highway 191,,Odessa,TX,79762,United States,432-366-7427,31.895281,-102.323924,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,1
TX - Pasadena,555,3221 E. Sam Houston Parkway South,,Pasadena,TX,77505,United States,281-487-2233,29.661246,-95.155705,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-12:00AM;,,0
TX - Universal City,559,3136 Pat Booker Road,,Universal City,TX,78148,United States,210-566-1833,29.559627,-98.324919,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
TX - Mesquite,562,19089 IH 635,,Mesquite,TX,75150,United States,972-698-0133,32.800587,-96.627038,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-12:00AM;,,0
OH - Canton ,585,4721 Dressler Road NW,,Canton,OH,44718,United States,330-492-2233,40.8502674,-81.4346413,Mon: 4:00PM-11:00PM;Tue: 4:00PM-11:00PM;Wed: 4:00PM-11:00PM;Thu: 4:00PM-11:00PM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,1
NM - Albuquerque,505,4861 Pan American Freeway,,Albuquerque,NM,87109,United States,505-344-7427,35.137596,-106.602447,Mon: 11:00AM-11:00PM;Tue: 11:00AM-11:00PM;Wed: 11:00AM-11:00PM;Thu: 11:00AM-11:00PM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
NC - Fayetteville,461,500 Westwood Shopping Ctr.,,Fayetteville,NC,28314,United States,910-223-2601,35.067441,-78.953749,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:30AM-1:00AM;Sat: 11:30AM-1:00AM;Sun: 11:30AM-12:00AM;,,0
MI - Sterling Heights ,592,17757 Hall Road,,Macomb,MI,48044,United States,586-286-2933,42.628277,-82.949913,,,1
KS - Wichita,550,412 S. Towne East Mall Drive,,Wichita,KS,67207,United States,316-681-9111,37.687176,-97.330053,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-10:00PM;,,0
CO - Colorado Springs,526,5807 Constitution Ave.,,Colorado Springs,CO,80915,United States,719-576-1223,38.872027,-104.719644,Mon: 3:00PM-12:00AM;Tue: 3:00PM-12:00AM;Wed: 3:00PM-12:00AM;Thu: 3:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
IN - Fishers,493,9770 North by NE Blvd.,,Fishers,IN,46037,United States,317-915-7427,39.929769,-86.025605,Mon: 4:00PM-12:00AM;Tue: 4:00PM-12:00AM;Wed: 4:00PM-12:00AM;Thu: 4:00PM-12:00AM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
IN - Clarksville,549,4631 Medical Plaza Way,,Clarksville,IN,47129,United States,812-284-5933,38.333273,-85.751538,Mon: 3:00PM-11:00PM;Tue: 3:00PM-11:00PM;Wed: 3:00PM-11:00PM;Thu: 3:00PM-11:00PM;Fri: 11:00AM-12:00AM;Sat: 11:00AM-12:00AM;Sun: 11:00AM-11:00PM;,,0
