store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Albany,,136 Railroad Ave ,,Albany ,York,12205,United States,(518) 391-2777,42.70446,-73.828537,,,0
Saratoga County - Clifton Park,,1739 Route 9 ,,Clifton Park ,York,12065,United States,(518) 490-2278,42.868947,-73.772512,,,0
Bellingham,,244 Maple St ,,Bellingham ,Massachusetts,02019,United States,508-966-4111,42.102677,-71.449485,,,0
West Warwick,,3 Keyes Way ,,West Warwick Rhode ,Island,02893,United States,(401) 250-3595,41.670454,-71.506718,,,0
South Windsor,,1145 John Fitch Blvd South ,,Windsor ,Connecticut,06074,United States,860-372-4787,41.836463,-72.603816,,,0
Swansea,,,,Swansea ,Illinois,62226,United States,,38.568308,-89.982725,,,0
Allentown,,470 Business Park Ln ,,Allentown ,Pennsylvania,18109,United States,610-435-2267,40.628455,-75.456787,,,0
Philadelphia - Northeast,,2850 Comly Road ,,Philadelphia ,Pennsylvania,19154,United States,(215) 613-8223,40.100677,-74.997183,,,0
Meridian,,2134 East Franklin Road ,,Meridian ,Idaho,83642,United States,208-887-0010,43.606064,-116.367573,,,0
Boise,,3430 S Tk Ave ,,Boise ,Idaho,83705,United States,(208) 331-5091,43.571301,-116.191396,,,0
Lawrenceville NJ,,231 Bakers Basin Rd ,,Lawrence Township ,Jersey,08648,United States,609-689-3647,40.273069,-74.700469,,,0
Cherry Hill,,3 Esterbrook Ln Suite 250 ,,Cherry Hill ,Jersey,08003,United States,856-651-9663,39.913924,-74.967616,,,0
Eatontown,,284 Old Deal Rd ,,Eatontown ,Jersey,07724,United States,732-728-9663,40.281097,-74.039192,,,0
Middlesex,,288 Lincoln Blvd ,,Middlesex ,Jersey,08846,United States,(732) 560-3647,40.564107,-74.506283,,,0
Bridgewater,,10 Chimney Rock Road ,,Bound Brook ,Jersey,08805,United States,(732) 805-0888,40.570431,-74.564186,,,0
Long Island City,,47-32 Austell Pl 1st Floor ,,Long Island City ,York,11101,United States,718-392-9663,40.74304,-73.941982,,,0
Delaware - North,,301 Ruthar Dr ,,Newark ,Delaware,19711,United States,(302) 738-2267,39.69048,-75.697994,,,0
Rockland County,,101 Route 304 ,,Nanuet ,York,10954,United States,(845) 507-0068,41.101805,-73.998134,,,0
Stamford,,581 Hope St ,,Stamford ,Connecticut,06907,United States,203-504-2288,41.07931,-73.520948,,,0
Midland Park,,95 Greenwood Avenue ,,Midland Park New ,Jersey,07432,United States,(201) 882-0186,40.994597,-74.149686,,,0
Elmwood Park,,53 Midland Ave ,,Elmwood Park New ,Jersey,07407,United States,(201) 797-3647,40.896445,-74.103901,,,0
Hicksville,,174 Miller Pl ,,Hicksville ,York,11801,United States,(516) 595-7297,40.784492,-73.515916,,,0
Morris NJ,,73 East Hanover Avenue ,,Morris Township ,Jersey,07950,United States,(973) 933-2828,40.819773,-74.474607,,,0
Smyrna,,200 Weakley Lane ,,Smyrna ,Tennessee,37167,United States,(615) 625-6230,36.001779,-86.495564,,,0
McKinney,,448 N Custer Rd Suite B ,,McKinney ,Texas,75071,United States,(214) 592-0440,33.206067,-96.73133,,,0
Coppell,,769 S MacArthur Blvd Suite 233 ,,Coppell ,Texas,75019,United States,(972) 393-2267,32.954175,-96.959249,,,0
Dallas High Five,,13730 Floyd Cir ,,Dallas ,Texas,75243,United States,(214) 575-9663,32.933153,-96.747876,,,0
Lawrenceville GA,,585 Old Norcross Rd ,,Lawrenceville ,Georgia,30046,United States,(770) 995-3500,33.961478,-84.008938,,,0
Duluth,,1795 Buford Highway ,,Duluth ,Georgia,30097,United States,678-265-3436,34.025958,-84.102694,,,0
Tampa,,4624 North Grady Avenue ,,Tampa ,Florida,33614,United States,813-870-2267,27.985765,-82.510006,,,0
Tampa - North East,,P.O. Box 47556 813.935.PETS (7387) ,,Tampa ,Florida,33646,United States,,28.112641,-82.385363,,,0
Tampa - South Shore,,12218 Balm Riverview Rd ,,Riverview ,Florida,33579,United States,813-672-2267,27.81998,-82.295795,,,0
Sarasota,,2101 17th St ,,Sarasota ,Florida,34234,United States,(941) 366-2267,27.352453,-82.527882,,,0
Elmhurst,,641 IL-83 ,,Elmhurst ,Illinois,60126,United States,(630) 601-2267,41.877504,-87.960573,,,0
Oak Park,,6046 Roosevelt Rd ,,Oak Park ,Illinois,60304,United States,708-848-2267,41.865682,-87.776356,,,0
Columbia SC,,1916 Taylor St ,,Columbia ,Carolina,29201,United States,803-748-4544,34.009707,-81.023841,,,0
Elk Grove,,9263 Bendel Pl ,,Elk Grove ,California,95624,United States,916-685-4590,38.400016,-121.354729,,,0
Roseville,,,,Roseville,California,,United States,,38.752123,-121.288005,,,0
Tri-Valley / Livermore,,6430 Preston Ave Suite F ,,Livermore ,California,94551,United States,(925) 456-3294,37.708914,-121.716913,,,0
Greenville,,602 Airport Rd Suite A ,,Greenville ,Carolina,29607,United States,(864) 220-1223,34.844157,-82.344473,,,0
Shreveport,,701 E Kings Hwy ,,Shreveport ,Louisiana,71105,United States,(318) 626-7397,32.479468,-93.718611,,,0
Temecula,,42192 Sarah Way ,,Temecula ,California,92590,United States,(951) 587-2267,33.509689,-117.166359,,,0
San Clemente,,220 Calle Pintoresco ,,San Clemente ,California,92672,United States,(949) 218-7387,33.449291,-117.591135,,,0
Greensboro,,6207 Chimney Center Blvd ,,Greensboro ,Carolina,27409,United States,(336) 323-3133,36.061664,-79.922092,,,0
McHenry,,3107 Rte 120 ,,McHenry ,Illinois,60051,United States,815-385-7297,42.34369,-88.258587,,,0
Waukesha,,1707 Paramount Ct ,,Waukesha ,Wisconsin,53186,United States,262-547-9663,43.023646,-88.197588,,,0
Cary,,107 Woodwinds Industrial Ct ,,Cary ,Carolina,27511,United States,919-465-4235,35.762099,-78.819526,,,0
Durham,,2612 S Miami Blvd ,,Durham ,Carolina,27703,United States,919-321-8971,35.931533,-78.843914,,,0
Chapel Hill,,4310 Bennett Memorial Rd ,,Durham ,Carolina,27705,United States,919-309-4959,36.030462,-78.971145,,,0
Portland,,49 Blueberry Road ,,Portland ,Maine,04102,United States,(207) 541-9247,43.652928,-70.332418,,,0
Highland Heights,,31 Alpha Park ,,Highland Heights ,Ohio,44143,United States,(440) 449-1364,41.546209,-81.451222,,,0
Bedford Heights,,23380 Aurora Road ,,Bedford Heights ,Ohio,44146,United States,440-786-3647,41.416958,-81.5149,,,0
Cuyahoga Falls,,1403 Main St ,,Cuyahoga Falls ,Ohio,44221,United States,(330) 923-9663,41.123249,-81.483304,,,0
Strongsville,,14411 Foltz Pkwy ,,Strongsville ,Ohio,44149,United States,440-572-3200,41.309665,-81.870584,,,0
Westlake (Cleveland),,863 Bradley Rd ,,Westlake ,Ohio,44145,United States,(440) 899-9100,41.475014,-81.959463,,,0
Lincoln,,5930 S. 57th St. ,,Lincoln ,Nebraska,68516,United States,(402) 474-9663,40.756064,-96.651785,,,0
Hilliard,,5100 Nike Dr Suite B ,,Hilliard ,Ohio,43026,United States,(614) 527-2267,39.994421,-83.144947,,,0
Columbus - Grandview Heights,,1006 Dublin Rd ,,Columbus ,Ohio,43215,United States,(614) 887-7871,39.971333,-83.039848,,,0
Lil' Campers St. Clair Shores,,23720 Greater Mack Ave ,,Saint Clair Shores ,Michigan,48080,United States,(586) 445-9663,42.467588,-82.896658,,,0
Shelby Township,,50600 Central Industrial Drive ,,Shelby Township ,Michigan,48315,United States,(586) 488-1193,42.667156,-83.000056,,,0
Troy,,801 Stephenson Highway ,,Troy ,Michigan,48083,United States,(248) 583-9247,42.541538,-83.120531,,,0
Lil' Campers Commerce Township,,3131 Haggerty Road ,,Commerce Charter Township ,Michigan,48390,United States,(248) 926-0901,42.567425,-83.440478,,,0
Commerce Township,,4373 Plant Drive ,,Commerce charter Township ,Michigan,48390,United States,(248) 242-8000,42.572441,-83.441983,,,0
