store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Wichita Falls, TX",,2710 Jacksboro Hwy ,,Wichita Falls ,TX,76302,United States,940-763-0121,,,Mon-Sat 9AM to 6PM,,0
"Texarkana, TX",,3015 Summerhill ,,Texarkana ,TX,75503,United States,903-792-4298,,,Mon-Sat 9AM to 6PM,,0
"Sulphur Springs, TX",,1237 South Broadway ,,Sulphur Springs ,TX,75482,United States,903-438-9500,,,Mon-Sat 9AM to 6PM,,0
"Sherman, TX",,4308 Texoma Parkway ,,Sherman ,TX,75090,United States,903-892-0700,,,Mon-Sat 9AM to 6PM,,0
"Paris, TX",,1140 N. Main ,,Paris ,TX,75460,United States,903-785-8823,,,Mon-Sat 9AM to 6PM,,0
"Palestine, TX",,5000 N. Loop 256 ,,Palestine ,TX,75801,United States,903-729-8080,,,Mon-Sat 9AM to 6PM,,0
"Nacogdoches, TX",,2819 South St. ,,Nacogdoches ,TX,75964,United States,936-564-1788,,,Mon-Sat 9AM to 6PM,,0
"Mount Pleasant, TX",,2300 W. Ferguson Road ,,Mount Pleasant ,TX,75455,United States,903-572-9400,,,Mon-Sat 9AM to 6PM,,0
"Lufkin, TX",,1517 N. Timberland Dr. ,,Lufkin ,TX,75901,United States,936-632-6238,,,Mon-Sat 9AM to 6PM,,0
"Longview, TX",,4207 W. Marshall ,,Longview ,TX,75604,United States,903-291-8000,,,Mon-Sat 9AM to 6PM,,0
"Greenville, TX",,5107 East I-30 ,,Greenville ,TX,75402,United States,903-458-9900,,,Mon-Sat 9AM to 6PM,,0
"Corsicana, TX",,711 South 7th Street ,,Corsicana ,TX,75110,United States,903-872-4560,,,Mon-Sat 9AM to 6PM,,0
"Burlington, IA",,1233 N. Roosevelt Ave. ,,Burlington ,IA,52601,United States,319-576-6018,,,Mon-Sat 9AM to 6PM,,0
"Winchester, KY",,1020 Bypass Road ,,Winchester ,KY,40391,United States,859-745-5254,,,Mon-Sat 9AM to 6PM,,0
"Woodstock, GA",,7336 Highway 92 ,,Woodstock ,GA,30189,United States,678-331-5444,,,Mon-Sat 9AM to 6PM,,0
"Valdosta, GA",,3270 N. Valdosta Rd. ,,Valdosta ,GA,31602,United States,(229) 253-0370,,,Mon-Sat 9AM to 6PM,,0
"Milledgeville, GA",,131 Roberson Mill Road ,,Milledgeville ,GA,31061,United States,478-451-0055,,,Mon-Sat 9AM to 6PM,,0
"Rome, GA",,1401 Martha Berry Blvd ,,Rome ,GA,30165,United States,706-584-2040,,,Mon-Sat 9AM to 6PM,,0
"Macon, GA",,1711 Key St ,,Macon ,GA,31204,United States,478-738-6272,,,Mon-Sat 9AM to 6PM,,0
"Dalton, GA",,936 North Glenwood Ave ,,Dalton ,GA,30721,United States,706-229-8948,,,Mon-Sat 9AM to 6PM,,0
"Covington, GA",,4198 Highway 278 ,,Northwest Covington ,GA,30014,United States,770-728-6053,,,Mon-Sat 9AM to 6PM,,0
"Tuscaloosa, AL",,6210 University E ,,Cottondale Tuscaloosa ,AL,35453,United States,205-507-7875,,,Mon-Sat 9AM to 6PM,,0
"Troy, AL",,217 US 231 ,,North Troy ,AL,36081,United States,334-722-1058,,,Mon-Sat 9AM to 6PM,,0
"Prattville, AL",,1026 S. Memorial Drive ,,Prattville ,AL,36067,United States,334-358-4005,,,Mon-Sat 9AM to 6PM,,0
"Phenix City, AL",,1301 Hwy 280 Bypass ,,Phenix City ,AL,36867,United States,334-298-0536,,,Mon-Sat 9AM to 6PM,,0
"Opelika, AL",,501 Columbus Parkway ,,Opelika ,AL,36801,United States,334-745-5550,,,Mon-Sat 9AM to 6PM,,0
"Muscle Shoals, AL",,1017 Hwy 72 E ,,Muscle Shoals ,AL,35674,United States,256-383-2011,,,Mon-Sat 9AM to 6PM,,0
"Gadsden, AL",,625 W. Meighan Blvd ,,Gadsden ,AL,35901,United States,256-467-2881,,,Mon-Sat 9AM to 6PM,,0
"Florence, AL",,1221 Florence Blvd ,,Florence ,AL,35630,United States,256-246-8003,,,Mon-Sat 9AM to 6PM,,0
"Dothan, AL",,3171 South Oates St. ,,Dothan ,AL,36301,United States,334-350-3391,,,Mon-Sat 9AM to 6PM,,0
