store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Herberger's Rock Springs,1871,,,Rock Springs,WY,82901,United States,(307) 382-5360,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Herberger's Minot,1875,,,Minot,ND,58701,United States,(701) 839-7777,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-20:00; Su 12:00-18:00,,0
Herberger's Dickinson,1873,,,Dickinson,ND,58601,United States,(701) 227-8784,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-18:00; Su 12:00-17:00,,0
Herberger's Fargo,1909,,,Fargo,ND,58103-2201,United States,(701) 282-4600,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Herberger's Bismarck,1855,,,Bismarck,ND,58504,United States,(701) 223-4665,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Bon-Ton Williamsville,1677,,,Williamsville,NY,14221,United States,(716) 634-4020,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton West Seneca,1681,,,West Seneca,NY,14224,United States,(716) 674-4020,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton York,1641,,,York,PA,17403,United States,(717) 845-3521,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton York,1615,,,York,PA,17402,United States,(717) 757-6274,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Bon-Ton Watertown,1669,,,Watertown,NY,13601,United States,(315) 788-0081,,,Mo 09:30-21:00; Tu 09:30-21:00; We 09:30-22:00; Th 09:30-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Saratoga Springs,1625,,,Saratoga Springs,NY,12866,United States,(518) 583-4530,,,Mo 10:00-21:30; Tu 10:00-21:30; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton Queensbury,1673,,,Queensbury,NY,12804,United States,(518) 745-7725,,,Mo 09:30-21:00; Tu 09:30-21:00; We 09:30-22:00; Th 09:30-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-17:00,,0
Herberger's Willmar,1877,,,Willmar,MN,56201,United States,(320) 214-4100,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-19:00; Su 11:00-18:00,,0
Herberger's Virginia,1835,,,Virginia,MN,55792,United States,(218) 741-4747,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-18:00; Su 12:00-17:00,,0
Herberger's St. Paul,1913,,,St. Paul,MN,55104,United States,(651) 999-2900,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's St. Cloud,1833,,,St. Cloud,MN,56301,United States,(320) 251-5202,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 11:00-18:00,,0
Herberger's Stillwater,1895,,,Stillwater,MN,55082,United States,(651) 430-9229,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's Roseville,1911,,,Roseville,MN,55113,United States,(651) 635-2600,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's Rochester,1919,,,Rochester,MN,55902,United States,(507) 535-1780,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's New Ulm,1841,,,New Ulm,MN,56073,United States,(507) 354-2155,,,Mo 09:30-20:00; Tu 09:30-20:00; We 09:30-20:00; Th 09:30-20:00; Fr 09:00-20:00; Sa 09:00-18:00; Su 12:00-17:00,,0
Herberger's Missoula,1907,,,Missoula,MT,59801,United States,(406) 327-7720,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 11:00-18:00,,0
Bon-Ton Portland,1675,,,Portland,ME,04106,United States,(207) 541-0998,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Bon-Ton LaVale,1613,,,LaVale,MD,21502,United States,(301) 729-1602,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-18:00,,0
Bon-Ton Hagerstown,1599,,,Hagerstown,MD,21740,United States,(301) 582-3900,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Herberger's Kalispell,1891,,,Kalispell,MT,59901,United States,(406) 752-2772,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 11:00-18:00,,0
Herberger's Havre,1847,,,Havre,MT,59501,United States,(406) 265-7881,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-18:00; Su 12:00-17:00,,0
Elder-Beerman Frankfort,1767,,,Frankfort,KY,40601,United States,(502) 875-0723,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-18:00,,0
Elder-Beerman Paducah,1805,,,Paducah,KY,42001,United States,(270) 444-0211,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Elder-Beerman Ashland,1825,,,Ashland,KY,41102,United States,(606) 928-6400,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Herberger's Butte,1905,,,Butte,MT,59701-4898,United States,(406) 494-5366,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Herberger's Billings,1863,,,Billings,MT,59102,United States,(406) 656-6800,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 12:00-18:00,,0
Herberger's Great Falls,1867,,,Great Falls,MT,59405,United States,(406) 268-2900,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 11:00-18:00,,0
Herberger's Moorhead,1853,,,Moorhead,MN,56560,United States,(218) 236-6086,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 11:00-18:00,,0
Bon-Ton Concord,1647,,,Concord,NH,03301,United States,(603) 227-9999,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Herberger's Clearance Center Maplewood,2127,,,Maplewood,MN,55109,United States,(651) 777-6134,,,Mo 09:00-21:00; Tu 09:00-21:00; We 09:00-21:00; Th 09:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 10:00-19:00,,0
Herberger's Mankato,1901,,,Mankato,MN,56001-4841,United States,(507) 388-8884,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
Herberger's Fergus Falls,1839,,,Fergus Falls,MN,56537,United States,(218) 739-4411,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-18:00; Su 12:00-17:00,,0
Herberger's Edina,1917,,,Edina,MN,55435,United States,(952) 926-3004,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Younkers Duluth,1983,,,Duluth,MN,55811,United States,(218) 722-8311,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-21:00; Su 11:00-18:00,,0
Herberger's Bloomington,1915,,,Bloomington,MN,55431,United States,(952) 886-2900,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's Bemidji,1903,,,Bemidji,MN,56601,United States,(218) 759-9001,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Herberger's Blaine,1893,,,Blaine,MN,55434,United States,(763) 783-2863,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-19:00,,0
Herberger's Baxter,1859,,,Baxter,MN,56425,United States,(218) 855-8400,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-21:00; Su 11:00-18:00,,0
Younkers Austin,1935,,,Austin,MN,55912,United States,(507) 434-2240,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Herberger's Alexandria,1845,,,Alexandria,MN,56308,United States,(320) 763-5105,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-19:00; Su 11:00-18:00,,0
Younkers Traverse City,1975,,,Traverse City,MI,49686,United States,(231) 932-5100,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 12:00-17:00,,0
Herberger's Albert Lea,1851,,,Albert Lea,MN,56007,United States,(507) 373-2381,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 09:00-21:00; Sa 09:00-19:00; Su 12:00-18:00,,0
Carson's Rochester Hills,2115,,,Rochester Hills,MI,48309,United States,(248) 276-6705,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-22:00; Th 10:00-22:00; Fr 09:00-22:00; Sa 09:00-22:00; Su 11:00-18:00,,0
