store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
PEARLRIDGE - HI,42,98-1005 MOANALUA ROAD ,,AIEA ,HI,96701,United States,8084863644,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 06:00 PM,,0
TOPANGA - CA,28,6600 TOPANGA CANYON BLVD ,,CANOGA PARK ,CA,91303,United States,8188845592,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
BURBANK - CA,328,201 E. MAGNOLIA BLVD ,,BURBANK ,CA,91502,United States,8185664480,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
GLENDALE - CA,35,2122 GLENDALE ,,GALLERIA GLENDALE ,CA,91210,United States,8185450486,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 07:00 PM,,0
WESTSIDE PAVILION - CA,741,10800 West Pico Blvd. ,,Los Angeles ,CA,90064,United States,3104747424,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 08:00 PM,,0
CULVER CITY - CA,782,6000 Sepulveda Blvd. ,,Culver City ,CA,90230,United States,3103915705,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
DEL AMO FASHION CENTER - CA,811,21540 HAWTHORNE BLVD. ,,TORRANCE ,CA,90503,United States,3103710515,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 08:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PROVO - UT,251,1200 SOUTH TOWNE CENTER BLVD. ,,PROVO ,UT,84601,United States,8014942004,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
VALENCIA - CA,291,24201 WEST VALENCIA BLVD. ,,VALENCIA ,CA,91355,United States,6612550476,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
FASHION PLACE - UT,195,6191 SOUTH STATE ,,MURRAY ,UT,84107,United States,8012810226,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
THE OUTLETS AT TEJON - CA,768,5701 Outlets at Tejon Parkway ,,Arvin ,CA,93203,United States,6618582875,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 09:00 PM,,0
CAMARILLO OUTLET - CA,533,500 VENTURA BLVD ,,CAMARILLO ,CA,93010,United States,8054849848,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 10:00 AM - 08:00 PM,,0
BAKERSFIELD - CA,40,2701 MING AVENUE ,,BAKERSFIELD ,CA,93304,United States,6618361053,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PUERTO RICO OUTLETS - PR,523,1 PRIME OUTLETS BLVD. KM 54.8 ,,BARCELONETA ,PR,00617,United States,7878467457,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
LAS CATALINAS - PR,519,PR # 52 ESQ # 156 (LAS AMERICAS EXP (52) ,,CAUGUAS ,PR,00725,United States,7877462707,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PLAZA LAS AMER - PR,118,525 F.D. ROOSEVELT AVENUE ,,HATO REY ,PR,00918,United States,7877678649,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
NORTHRIDGE - CA,33,9301 TAMPA AVENUE ,,NORTHRIDGE ,CA,91324,United States,8187011892,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PACIFIC VIEW - CA,304,3301-1 EAST MAIN STREET ,,VENTURA ,CA,93003,United States,8053399477,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
PLAZA CAROLINA - PR,114,65 INFANTRY HWY & FRAGOSO AVE. ,,CAROLINA ,PR,00983,United States,7877626912,,,MONDAY 09:00 AM - 09:00 PM; TUESDAY 09:00 AM - 09:00 PM; WEDNESDAY 09:00 AM - 09:00 PM; THURSDAY 09:00 AM - 09:00 PM; FRIDAY 09:00 AM - 09:00 PM; SATURDAY 09:00 AM - 09:00 PM; SUNDAY 11:00 AM - 06:00 PM,,0
SOUTHLAND - FL,392,S 20505 DIXIE HIGHWAY ,,MIAMI ,FL,33189,United States,3052524066,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 12:00 PM - 06:00 PM,,0
DOLPHIN - FL,137,11401 NW 12TH STREET ,,MIAMI ,FL,33172,United States,3055920347,,,MONDAY 10:00 AM - 09:30 PM; TUESDAY 10:00 AM - 09:30 PM; WEDNESDAY 10:00 AM - 09:30 PM; THURSDAY 10:00 AM - 09:30 PM; FRIDAY 10:00 AM - 09:30 PM; SATURDAY 10:00 AM - 09:30 PM; SUNDAY 11:00 AM - 08:00 PM,,0
FRESNO - CA,65,675-A EAST SHAW AVENUE ,,FRESNO ,CA,93710,United States,5592214343,,,MONDAY 10:00 AM - 09:00 PM; TUESDAY 10:00 AM - 09:00 PM; WEDNESDAY 10:00 AM - 09:00 PM; THURSDAY 10:00 AM - 09:00 PM; FRIDAY 10:00 AM - 09:00 PM; SATURDAY 10:00 AM - 09:00 PM; SUNDAY 11:00 AM - 07:00 PM,,0
SAWGRASS - FL,412,2602 SAWGRASS MILLS CIRCLE ,,SUNRISE ,FL,33323,United States,9548381390,,,MONDAY 10:00 AM - 09:30 PM; TUESDAY 10:00 AM - 09:30 PM; WEDNESDAY 10:00 AM - 09:30 PM; THURSDAY 10:00 AM - 09:30 PM; FRIDAY 10:00 AM - 09:30 PM; SATURDAY 10:00 AM - 09:30 PM; SUNDAY 11:00 AM - 08:00 PM,,0
