store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Front Range Village,316538,2721 Council Tree Avenue,Suite 103,Fort Collins ,CO,80525,United States,(970) 226-0337,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 12:00-18:00,,0
Promenade  Shops at Briargate,698357,1785 Briargate Parkway,,Colorado Springs ,CO,80920,United States,(719) 266-0480,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-18:00,,0
Southlands,316513,6240 S Main Street,Suite K-105,Aurora ,CO,80016,United States,(303) 766-3561,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-18:00,,0
Park Meadows,355786,8401 Park Meadows Center Dr.,Suite B125,Lone Tree ,CO,80124,United States,(303) 790-4339,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-18:00,,0
The Streets at SouthGlenn,316653,6955 S York St,Suite B4,Centennial ,CO,80122,United States,(303) 795-0196,,,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-18:00,,0
Belmar,316565,7240 W. Alaska Drive,,Lakewood ,CO,80226,United States,(303) 922-3932,,,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-20:00; Sa 10:00-20:00; Su 11:00-18:00,,0
Twenty Ninth Street,351437,1685 29th St,Suite 1268,Boulder ,CO,80301,United States,(303) 442-0283,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-19:00,,0
The Orchard Town Center,472803,14644 Orchard Parkway,,Westminster ,CO,80023,United States,(303) 451-2476,,,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-18:00,,0
North County Fair,316636,200 E. Via Rancho Pkwy,Suite 183,Escondido ,CA,92025,United States,(760) 747-0032,,,Mo 10:00-21:00; Tu 10:00-21:00; We 10:00-21:00; Th 10:00-21:00; Fr 10:00-21:00; Sa 10:00-21:00; Su 11:00-19:00,,0
Parkway Shopping Mall,316573,335 Parkway Plaza,,El Cajon ,CA,92020,United States,(619) 579-7343,,,Mo 10:00-20:00; Tu 10:00-20:00; We 10:00-20:00; Th 10:00-20:00; Fr 10:00-20:00; Sa 10:00-20:00; Su 11:00-19:00,,0
