store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Tanger Outlet Center Foley,1499,"2601 S McKenzie St, Ste 468",,Foley,AL,36535,US,(251) 943-2321,30.3758599,-87.6799151,Sun:10:00AM -  7:00PM; ,,0
Westfield Old Orchard,1523,"4999 Old Orchard Center, Ste D4",,Skokie,IL,60077,US,(847) 673-5837,42.0591148,-87.7494007,Sun:11:00AM -  6:00PM; ,,0
The Commons Northpark,1561,"2900 W Loop 250 N, Suite 150",,Midland,TX,79705,US,(432) 683-4900,32.0080969,-102.1561348,Mon - Fri:10:00AM -  9:00PM; ,,0
Laurel Park Place,1562,37638 West 6 Mile Rd,,Livonia,MI,48152,US,(734) 432-5105,42.4111442,-83.3970286,Sun:12:00PM -  6:00PM; ,,0
Mashpee Commons,1563,20 Market St,,Mashpee,MA,02649,US,(508) 539-2573,41.6168084,-70.4908261,Sun:11:00AM -  5:00PM; ,,0
Mohegan Sun Casino,1564,"1 Mohegan Sun Blvd, Ste 108",,Uncasville,CT,06382,US,(860) 862-9700,41.4917338,-72.0909173,Sun - Thu:11:00AM - 10:00PM; ,,0
The Summit at Scottsdale,1565,"32421 N Scottsdale Rd., Ste A",,Scottsdale,AZ,85262,US,(480) 575-0363,33.78003,-111.925797,Sun:11:00AM -  6:00PM; ,,0
Marco Walk,1566,"599 S Collier Boulevard, Ste 311",,Marco Island,FL,34145,US,(239) 642-4097,25.9224634,-81.7258308,Sun:11:00AM -  6:00PM; ,,0
Del Monte Center,1567,460 Del Monte Center,,Monterey,CA,93940,US,(831) 644-9046,36.5834665,-121.8973453,Mon - Fri:10:00AM -  7:00PM; ,,0
The Mall at Wellington Green,1568,"10300 West Forest Hill Blvd, 258",,Wellington,FL,33414,US,(561) 795-1493,26.6464009,-80.208776,Sun:11:00AM -  6:00PM; ,,0
Chandler Fashion Center,1569,"3111 W Chandler Boulevard, Sp 1188",,Chandler,AZ,85226,US,(480) 722-9076,33.3021986,-111.8996053,Sun:11:00AM -  6:00PM; ,,0
Gresham Station,1570,605 NW 12th Street,,Gresham,OR,97030,US,(503) 618-8020,45.5060236,-122.438201,Sun:11:00AM -  6:00PM; ,,0
Geneva Commons,1573,326 Commons Dr,,Geneva,IL,60134,US,(630) 845-1746,41.8946543,-88.3431642,Sun:11:00AM -  6:00PM; ,,0
The Streets at SouthGlenn,1574,"6853 S York Street, Ste 125",,Centennial,CO,80122,US,(303) 730-1184,39.5920188,-104.9620063,Sun:11:00AM -  6:00PM; ,,0
Leesburg Corner Premium Outlets,1575,"241 Fort Evans Road NE, Ste 1101",,Leesburg,VA,20176,US,(703) 669-5930,39.1072996,-77.5379941,Sun:10:00AM -  7:00PM; ,,0
Casas Adobes Plaza,1612,"7003 N Oracle Rd, Sp C",,Tucson,AZ,85704,US,(520) 797-1200,32.3350526,-110.9780844,Sun:12:00PM -  6:00PM; ,,0
Saint Louis Galleria,1623,1132 St Louis Galleria,,Saint Louis,MO,63117,US,(314) 725-9099,38.6334752,-90.3437278,Sun:11:00AM -  6:00PM; ,,0
West Town Mall,1624,"7600 Kingston Pike, Ste 1538A",,Knoxville,TN,37919,US,(865) 694-8388,35.9244419,-84.0390578,Sun:12:00PM -  6:00PM; ,,0
Natick Mall,1625,"1245 Worcester Street, Ste 3016",,Natick,MA,01760,US,(508) 650-5895,42.301113,-71.3819171,Sun:11:00AM -  6:00PM; ,,0
Stuyvesant Plaza,1626,"1475 Western Ave, Ste 18C",,Albany,NY,12203,US,(518) 464-9616,42.6843615,-73.8403005,Mon - Fri:10:00AM -  6:00PM; ,,0
Woodfield.,1627,K-304 Woodfield Shopping Center,,Schaumburg,IL,60173,US,(847) 413-8233,42.0467637,-88.0460894,Sun:11:00AM -  6:00PM; ,,0
Westfield Brandon,1629,415 Brandon Town Center Mall,,Brandon,FL,33511,US,(813) 689-7231,27.9342097,-82.3253364,Sun:12:00PM -  6:00PM; ,,0
