store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Christie Dental of Williston,97,510 SW 5th Terrace,,Williston,FL,32696,United States,(352) 528-6401,29.384367,-82.454139,Wednesday: 8:30 AM-5:00 PM; Tuesday: 8:30 AM-5:00 PM; Thursday: 8:30 AM-5:00 PM; Friday: 7:30 AM-4:00 PM; Closed Mondays,,0
Christie Dental of Ocala Central,91,2710 Southeast 17th Street,,Ocala,FL,34471,United States,(352) 732-7050,29.170818,-82.1010639,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-5:00 PM; Thursday: 7:00 AM-4:00 PM; Friday: 8:00 AM-5:00 PM; ,,0
Christie Dental Ocala Southwest,90,8438 SW 103rd St,,Ocala,FL,34481,United States,(352) 237-3343,29.071548,-82.2594772,Wednesday: 8:00 AM-4:00 PM; Tuesday: 8:00 AM-5:00 PM; Thursday: 11:00 AM-7:00 PM; Friday: 8:00 AM-4:00 PM; ,,0
Christie Dental Belleview,87,5927 SE Babb Rd,,Belleview,FL,34420,United States,(352) 245-9184,29.0575229,-82.051527,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-5:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 8:00 AM-5:00 PM; ,,0
Christie Dental of Meadowcrest,99,6015 W Nordling Loop,,Crystal River,FL,34429,United States,(352) 795-5935,28.87933,-82.53473,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-5:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 7:00 AM-4:00 PM; ,,0
Christie Dental of Titusville,96,696 Country Club Dr,,Titusville,FL,32780,United States,(321) 383-7828,28.579656,-80.810725,Wednesday: 8:00 AM-5:00 PM; Tuesday: 7:00 AM-4:00 PM; Thursday: 7:00 AM-4:00 PM; Friday: 8:00 AM-5:00 PM; ,,0
Christie Dental of Cocoa Beach,98,5675 N Atlantic Ave,Ste 108,Cocoa Beach,FL,32931,United States,(321) 783-3737,28.36984,-80.6068585,Wednesday: 8:00 AM-5:00 PM; Tuesday: 10:00 AM-7:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 7:00 AM-4:00 PM; ,,0
Christie Dental of Merritt Island,88,775 E Merritt Island Causeway ,Suite 220,Merritt Island,FL,32952,United States,(321) 453-0696,28.3565261,-80.6882724,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-6:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 7:00 AM-4:00 PM; ,,0
Christie Dental of Merritt Island Specialty Center,89,775 E. Merritt Island Cswy ,Suite 115,Merritt Island,FL,32952,United States,(321) 453-7272,28.3565261,-80.6882724,,,0
Christie Dental of Viera,94,3819 Murrell Rd ,Suite G,Rockledge,FL,32955,United States,(321) 433-1717,28.2939062,-80.7212343,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-5:00 PM; Thursday: 7:00 AM-4:00 PM; Friday: 8:00 AM-1:00 PM; ,,0
Christie Dental of Suntree,105,6300 N Wickham Rd ,Suite 121,Melbourne,FL,32940,United States,(321) 259-5257,28.2144625,-80.674447,Wednesday: 8:00 AM-5:00 PM; Tuesday: 7:00 AM-4:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 7:00 AM-4:00 PM; ,,0
Christie Dental of Indian Harbour Beach,101,2000 S Patrick Dr ,Suite 1,Indian Harbour Beach,FL,32937,United States,(321) 773-1000,28.147916,-80.599726,Monday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-5:00 PM; Friday: 8:00 AM-5:00 PM; ,,0
Christie Dental of Hibiscus,103,1390 S Babcock St,,Melbourne,FL,32901,United States,(321) 728-4546,28.0873085,-80.6240018,,,0
Christie Dental of Palm Bay,92,5201 Babcock St NE,Suite 4,Palm Bay,FL,32905,United States,(321) 722-4400,28.0206116,-80.6214891,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-7:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 7:00 AM-4:00 PM; ,,0
Christie Dental Specialty Office Palm Bay,93,5201 Babcock St NE,Suite 8,Palm Bay,FL,32905,United States,(321) 821-3526,28.0206115,-80.6214891,,,0
Christie Dental of Sebastian,95,1451 Sebastian Blvd ,Suite 180,Sebastian,FL,32958,United States,(772) 581-8515,27.7657167,-80.5101396,Wednesday: 8:00 AM-5:00 PM; Tuesday: 8:00 AM-5:00 PM; Thursday: 8:00 AM-5:00 PM; Friday: 8:00 AM-5:00 PM; Saturday: 8:00 AM-2:30 PM; Saturdays 2 Times a month,,0
