store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Elk River,,19230 Freeport Street NW,,Elk River,MN,55330,United States,763-241-0908,,,Mon-Fri: 9am-9pm; Sat: 9am-7pm; Sun: 10am-6pm; ,,0
Coon Rapids,,12465 Suite C Riverdale Blvd NW,,Coon Rapids,MN,55433,United States,763-746-5156,,,Mon-Fri: 9am-9pm; Sat: 9am-7pm; Sun: 10am-6pm; ,,0
Forest Lake,,1960 Broadway Ave. West,,Forest Lake,MN,55025,United States,651-982-1897,,,Mon-Fri: 9am-9pm; Sat: 9am-7pm; Sun: 9am-5pm; ,,0
Maple Grove,,8115 Wedgewood Lane,Suite 1,Maple Grove,MN,55369,United States,763-416-4877,,,Mon-Fri: 9am-9pm; Sat: 9am-6pm; Sun: 10am-6pm; ,,0
Blaine,,4255 Pheasant Ridge Drive,Suite 304,Blaine,MN,55449,United States,763-253-4138,,,Mon-Fri: 9am-9pm; Sat: 9am-6pm; Sun: 10am-6pm; ,,0
Plymouth,,3525 Vicksburg Lane N,#300,Plymouth,MN,55447,United States,763-559-0146,,,Mon-Fri: 9am-9pm; Sat: 9am-6pm; Sun: 10am-6pm; ,,0
Wayzata,,1147 Wayzata Blvd. E,,Wayzata,MN,55391,United States,952-746-9483,,,Mon-Fri: 9am-9pm; Sat: 9am-6pm; Sun: 10am-6pm; ,,0
Roseville,,1661 County Road C West,,Roseville,MN,55113,United States,651-287-0986,,,Mon-Fri: 9am-9pm; Sat: 9am-7pm; Sun: 10am-6pm; ,,0
Minneapolis-Northeast,,335 Central Avenue SE,,Minneapolis,MN,55414,United States,612-455-0561,,,Mon-Fri: 9am-8pm; Sat: 9am-6pm; Sun: 11am-5pm; ,,0
Mahtomedi,,910 Wildwood Road,,Mahtomedi,MN,55115,United States,651-747-8709,,,Mon-Fri: 9am-9pm; Sat: 9am-6pm; Sun: 10am-5pm; ,,0
Minnetonka,,4723 County Road 101,,Minnetonka,MN,55345,United States,952-746-3733,,,Mon-Fri: 9am-9pm; Sat: 9am-6pm; Sun: 10am-6pm; ,,0
Minneapolis-Calhoun,,3246 West Lake Street,,Minneapolis,MN,55416,United States,612-926-8161,,,Mon-Fri: 9am-9pm; Sat: 9am-7pm; Sun: 9am-7pm; ,,0
Chanhassen,,7818 Market Blvd,,Chanhassen,MN,55317,United States,952-283-3503,,,Mon-Fri: 9am - 9pm; Sat: 9am - 7pm; Sun: 10am - 6pm; ,,0
