store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Chuck E. Cheese's,2061,1830 W. Fullerton Ave.,,Chicago,IL,60614,United States,(773) 871-2484,41.925201,-87.673302,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1885,7142 Carpenter,,Skokie,IL,60077,United States,(847) 679-8180,42.011398,-87.761703,Mon-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 9am-10pm ;  Sun 10am-9pm,,0
Chuck E. Cheese's,1715,1030 Winston Plaza,,Melrose Park,IL,60160,United States,(708) 343-1224,41.905998,-87.847121,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1722,5030 S. Kedzie,,Chicago,IL,60632,United States,(773) 476-0500,41.8018,-87.703796,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1702,4031 W. 95th,,Oaklawn,IL,60453,United States,(708) 425-5800,41.720299,-87.7229,Sun-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2060,200 W. Roosevelt,,Villa Park,IL,60181,United States,(630) 833-6212,41.8606,-87.9823,Sun-Thur 11am-9pm ;  Fri 10am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2062,41 W. Rand Rd.,,Arlington Heights,IL,60004,United States,(847) 577-8801,42.114206,-87.982715,Sun-Thur 11am-9pm ;  Fri - Sat 11am-10pm,,0
Chuck E. Cheese's,2059,7409 Cass Ave.,,Darien,IL,60561,United States,(630) 964-0740,41.753201,-87.973801,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1798,700 N. Milwaukee Avenue,,Vernon Hills,IL,60061,United States,(847) 327-9122,42.240299,-87.944702,Mon-Thur 10am-9pm ;  Fri 10am-10pm ; Sat 10am-10pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,1719,1000C S. Barrington Rd.,,Streamwood,IL,60107,United States,(630) 289-6700,42.012501,-88.144699,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1718,16090 S. Harlem Ave.,,Tinley Park,IL,60477,United States,(708) 429-9230,41.598701,-87.794197,Sun-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1742,506 South Route 59,,Naperville,IL,60540,United States,630-369-2012,41.761824,-88.20232,Sun-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,1729,106 Towncenter,,Matteson,IL,60443,United States,(708) 747-5666,41.503502,-87.732597,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2065,1512 Nations Drive,,Gurnee,IL,60031,United States,(847) 249-1120,42.3806,-87.940399,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1802,511 N. Randall Rd.,,Batavia,IL,60510,United States,(630) 482-2402,41.8619,-88.3405,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2054,3250 Chicagoland Circle,,Joliet,IL,60435,United States,(815) 254-0092,41.5824,-88.163,Sun-Thur 11am-9pm ;  Fri 10am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,1714,4725 Northwest Hwy.,,Crystal Lake,IL,60014,United States,(815) 455-7463,42.2257,-88.288902,Mon-Thur 10am-9pm ;  Fri 10am-10pm ; Sat 10am-10pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,1801,2961 E. 80th Ave,,Merrillville,IN,46410,United States,(219) 945-0759,41.471802,-87.299698,Mon-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 10am-10pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,2090,5612 Durand Ave.,,Racine,WI,53406,United States,(262) 554-9595,42.697399,-87.847504,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2151,2701 Chase Ave.,,Milwaukee,WI,53207,United States,(414) 483-8655,42.995399,-87.911903,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2152,2990 South 108th Ave.,,West Allis,WI,53227,United States,(414) 546-3600,42.989799,-88.046898,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2199,3600 E. State St.,,Rockford,IL,61108,United States,(815) 226-9400,42.265999,-89.041298,Mon-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 10am-10pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,2180,822 W. McKinley,,Mishawaka,IN,46545,United States,(574) 259-2449,41.6805,-86.192703,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,2150,19125 W. Blue Mound Rd.,,Brookfield,WI,53045,United States,(262) 785-1400,43.0359,-88.150902,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2091,2500 Milton Avenue,,Janesville,WI,53545,United States,(608) 754-9596,42.712601,-89.001404,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1785,6175 S Westnedge,,Portage,MI,49002,United States,(877) 581-5732,42.227501,-85.589699,Mon-Thur 10am-9pm ;  Fri-Sat 10am-10pm ;  Sun 10am-9pm,,0
Chuck E. Cheese's,2141,5600 Harvey Street,,Muskegon,MI,49444,United States,(231) 798-8121,43.142799,-86.205803,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2052,100 S. Creasy Lane #100,,Lafayette,IN,47905,United States,(765) 449-1020,40.416834,-86.838979,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2002,438 Grand Canyon Dr.,,Madison,WI,53719,United States,(608) 829-2000,43.0574,-89.496201,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1799,1701 Empire,,Bloomington,IL,61704,United States,(309) 664-2982,40.4883,-88.952599,Sun-Thur 11am-9pm ;  Fri 10am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,2140,3108 Alpine Ave,,Walker,MI,49544,United States,(616) 647-3011,43.020401,-85.688904,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1792,3671 28th St. SE,,Grand Rapids,MI,49512,United States,(616) 942-7993,42.91259,-85.57611,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1797,1919 South Reed Road,,Kokomo,IN,46902,United States,(765) 457-1930,40.464699,-86.1082,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1809,2601 W. Lake,,Peoria,IL,61615,United States,(309) 688-2873,40.738701,-89.634697,Sun-Thur 11am-9pm ;  Fri 10am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2189,711 Coliseum Blvd. W,,Ft. Wayne,IN,46808,United States,(260) 484-9668,41.117699,-85.151604,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2196,903 E. Kimberly Rd.,,Davenport,IA,52807,United States,(563) 391-2041,41.556999,-90.560303,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1784,5451 L. West Saginaw Hwy.,,Lansing,MI,48917,United States,(517) 321-1233,42.740898,-84.627098,Mon-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,1741,5501 E. 82nd St.,,Indianapolis,IN,46250,United States,(317) 849-7324,39.904701,-86.074097,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2001,4671 Michales Dr.,,Grand Chute,WI,54915,United States,(920) 832-8323,44.2673,-88.475502,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2053,9931 E. US Highway 36,,Avon,IN,46123,United States,(317) 271-7611,39.7634,-86.35755,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2186,1611 W. McGalliard Rd.,,Muncie,IN,47302,United States,(765) 287-8740,40.2188,-85.403099,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2079,10021 E. Washington Street,,Indianapolis,IN,46204,United States,(317) 897-2751,39.77481,-85.98975,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1777,1273 Lombardi Access,,Green Bay,WI,54304,United States,(920) 497-0338,44.506699,-88.073196,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1800,8804 US 31 South,,Indianapolis,IN,46227,United States,(317) 887-0646,39.6381,-86.128899,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1710,2369 McArthur Ave,,Springfield,IL,62704,United States,(217) 793-0230,39.7742,-89.668297,Sun-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,2252,2809 Elida Road,,Lima,OH,45805,United States,(419) 879-8002,40.766405,-84.156845,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1791,2655 Oak Valley Dr.,,Ann Arbor,MI,48103,United States,(734) 222-1003,42.24592,-83.77015,Sun-Thur 11am-9pm ;  Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1956,5455 Airport Hwy Ste 9-I,,Toledo,OH,43615,United States,(419) 382-0222,41.616402,-83.670898,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1958,5077 Monroe,,Toledo,OH,43623,United States,(419) 841-9133,41.69945,-83.64612,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2051,1455 N. National Road,,Columbus,IN,47201,United States,(812) 375-9690,39.213902,-85.880798,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1781,3489 Miller Rd.,,Flint,MI,48507,United States,(810) 733-7404,42.988998,-83.739197,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1793,5105 Bay Rd.,,Saginaw,MI,48604,United States,(989) 791-1116,43.481098,-83.975304,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1788,44275 Twelve Mile Road- D134,,Novi,MI,48377,United States,(248) 344-1560,42.4953,-83.484299,Mon-Thur 10am-9pm ;  Fri-Sat 10am-10pm ;  Sun 10am-9pm,,0
Chuck E. Cheese's,1732,42001 Ford Rd.,,Canton,MI,48187,United States,(734) 981-0333,42.322701,-83.454803,Mon-Thur 10am-9pm ;  Fri-Sat 10am-10pm ;  Sun 10am-9pm,,0
Chuck E. Cheese's,2088,4444 State Rd 16,,LaCrosse,WI,54601,United States,(608) 781-6440,43.87152,-91.192264,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1808,24399 Michigan,,Dearborn,MI,48124,United States,(313) 274-5310,42.298901,-83.275299,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2078,15300 Toledo Rd.,,Southgate,MI,48195,United States,(734) 283-6513,42.195999,-83.214798,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1736,201 East Auburn,,Rochester Hills,MI,48307,United States,(248) 299-4540,42.636282,-83.1274,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2138,740 John R Road,,Troy,MI,48083,United States,(248) 616-0696,42.54119,-83.10719,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1957,30 Prestige Place,,Miamisburg,OH,45342,United States,(937) 439-2364,39.634701,-84.228699,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 9am - 11pm,,0
Chuck E. Cheese's,2142,4450 Walker Road- Unit A,,Windsor,ON,N8W3T5,Canada,(519) 969-1014,42.254902,-82.9646,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2184,2345 Valley Loop Rd.,,Springfield,OH,45504,United States,(937) 324-4155,39.949902,-83.847504,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am - 10pm,,0
Chuck E. Cheese's,1747,13745 Lakeside Circle,,Sterling Heights,MI,48313,United States,(586) 532-8989,42.623299,-82.991302,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1900,31920 Gratiot,,Roseville,MI,48066,United States,(586) 293-0808,42.5317,-82.913902,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2039,5911 University Ave #100,,Cedar Falls,IA,50613,United States,(319) 277-2933,42.5131,-92.428497,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1963,8801 Colerain,,Cincinnati,OH,45251,United States,(513) 385-1438,39.230202,-84.589996,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am - 10pm,,0
Chuck E. Cheese's,2099,1429 E. Kemper Rd.,,Sharonville,OH,45246,United States,(513) 772-2720,39.285599,-84.447899,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am - 10pm,,0
Chuck E. Cheese's,1752,7635 Mall Road,,Florence,KY,41042,United States,(859) 525-8822,38.999179,-84.653491,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 9am - 11pm,,0
Chuck E. Cheese's,2177,10850 Lincoln Trail,,Fairview Heights,IL,62208,United States,(618) 397-3434,38.5928,-89.989799,Mon-Thur 10am-9pm ;  Fri 10am-10pm ; Sat 10am-10pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,1746,4394 Eastgate Square Dr. 900,,Cincinnati,OH,45245,United States,(513) 752-8188,39.093937,-84.269607,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am - 10pm,,0
Chuck E. Cheese's,2191,2669 Veterans Memorial Parkway,,St. Charles,MO,63303,United States,(636) 946-3444,38.778999,-90.515701,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2097,2711 Martin Rd,,Dublin,OH,43016,United States,(614) 791-9480,40.0942,-83.088501,Mon-Thur 10am-9pm ;  Fri 10am-10pm ;  Sat 9am - 11pm ;  Sun 11am-9pm,,0
Chuck E. Cheese's,1796,1100 E. State Hwy. 131,,Clarksville,IN,47129,United States,(812) 218-0808,38.317779,-85.755651,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1720,559 N. Green River Rd.,,Evansville,IN,47715,United States,(812) 473-0004,37.981701,-87.492599,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2104,601 Richland Mall,,Mansfield,OH,44906,United States,(419) 529-3420,40.772499,-82.593903,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1959,3631 Soldano Blvd.,,Columbus,OH,43228,United States,(614) 351-8884,39.9552,-83.097298,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am - 10pm,,0
Chuck E. Cheese's,2162,720 South County Centerway,,St. Louis,MO,63129,United States,(314) 487-0101,38.506901,-90.333702,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2190,15913 Manchester Rd.,,Ellisville,MO,63011,United States,(636) 391-2391,38.592701,-90.5867,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,1751,2030 S. Hurstbourne Pkwy,,Louisville,KY,40220,United States,(502) 493-9919,38.2174,-85.587799,Sun-Fri 11am-9pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2136,1250 16th Street SW,,Rochester,MN,55902,United States,(507) 529-5055,44.00097,-92.48085,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2098,4284 Macsway,,Columbus,OH,43232,United States,(614) 863-6482,39.923698,-82.881699,Sun-Fri 11am-9pm ;  Sat 10am -9pm,,0
Chuck E. Cheese's,1961,26104 Great Northern Shopping Ctr.,,North Olmsted,OH,44070,United States,(440) 734-9929,41.417702,-81.912399,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 9am-10pm,,0
Chuck E. Cheese's,1745,7601 W. Ridgewood RD.,,Parma,OH,44129,United States,(440) 888-5700,41.384399,-81.737099,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,2197,1431 22nd St.,,West Des Moines,IA,50266,United States,(515) 223-9430,41.594515,-93.735667,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
Chuck E. Cheese's,1955,2779 West Market Street,,Akron,OH,44333,United States,(330) 869-8211,41.125702,-81.604698,Sun-Thur 11am-9pm ;  Fri 11am-10pm ;  Sat 10am-10pm,,0
