store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
D'Agostino at 35th Street,1798,528 Third Ave,,New York,NY,10016,United States,646-677-3153,40.7466233,-73.9777376,7:00 am - 10:00 pm,,0
D'Agostino at 25th Street,1359,341 Third Ave,,New York,NY,10010,United States,(212) 686-0619,40.740271,-73.981755,7:00 am - 11:00 pm,,0
D'Agostino at 54th Street,1358,815 Tenth Ave,,New York,NY,10019,United States,(646) 215-7781,40.767588,-73.990066,7:00 am - 11:00 pm,,0
D'Agostino at 80th & York,1357,1507 York Ave,,New York,NY,10021,United States,(212) 734-6317,40.771999,-73.950219,7:00 am - 10:00 pm,,0
D'Agostino at 91st Street,1361,633 Columbus Ave,,New York,NY,10024,United States,(212) 362-2692,40.789288,-73.969671,7:00 am - 10:00 pm,,0
D'Agostino at Greenwich Village,1362,790 Greenwich Street,,New York,NY,10014,United States,(212) 691-9198,40.737251,-74.006725,7:00 am - 10:00 pm,,0
D'Agostino at 53rd Street,1364,966 First Ave,,New York,NY,10022,United States,(212) 319-4872,40.7558,-73.964287,7:00 am - 10:00 pm,,0
D'Agostino at 76th Street,1360,1074 Lexington Ave,,New York,NY,10021,United States,(212) 988-8813,40.773023,-73.960931,7:00 am - 10:00 pm,,0
D'Agostino at 83rd Street,1356,1233 Lexington Ave,,New York,NY,10028,United States,(212) 570-6803,40.777932,-73.956707,7:00 am - 10:00 pm,,0
D'Agostino at 38th Street,1363,578 Third Ave,,New York,NY,10016,United States,(212) 972-4892,40.748469,-73.976446,7:00 am - 11:00 pm,,0
