store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
ARBOR PARK,,2500 East 40th Street,,Cleveland,,44104,United States,(216) 658-4061,,,Sunday - Saturday:8am - 8pm; ,,0
CEDAR HILL,,12438 Cedar Road,,Cleveland Heights,,44106,United States,(216) 229-2620,,,Sunday:7am - 9pm; Monday - Saturday:7am - 11pm; ,,0
DAVE'S MERCADO,,3565 Ridge Road,,Cleveland,,44102,United States,(216) 961-2000,,,Sunday - Saturday:7:00am - 9:00pm; ,,0
EUCLID BEACH,,15900 Lakeshore Blvd.,,Cleveland,,44110,United States,(216) 486-6458,,,Sunday - Saturday:7am - 9pm; ,,0
HARVARD & LEE,,16820 Harvard Avenue,,Cleveland,,44128,United States,(216) 283-9400,,,Sunday:7am - 9pm; Monday - Saturday:7am - 10pm; ,,0
MIDDLEBURY MARKET,,871 East Exchange Street,,Akron,,44306,United States,(330) 253-8957,,,Sunday:7am - 9pm; Monday - Saturday:7am - 10pm; ,,0
OHIO CITY,,2700 Carroll Avenue,,Cleveland,,44113,United States,(216) 274-2940,,,Sunday - Saturday:7am - 9pm; ,,0
PAYNE AVENUE,,3301 Payne Avenue,,Cleveland,,44114,United States,(216) 361-5130,,,Sunday - Saturday:7am - 9pm; ,,0
SEVERANCE,,3628 Mayfield Road,,Cleveland Heights,,44118,United States,(216) 291-2300,,,Sunday:7am - 9pm; Monday - Saturday:7am - 11pm; ,,0
SHAKER SQUARE,,13130 Shaker Square,,Cleveland,,44120,United States,(216) 658-4180,,,Sunday - Thursday:7am - 9pm; Friday - Saturday:7am - 10pm; ,,0
SHORE CENTER,,22501 Shore Center Drive,,Euclid,,44123,United States,(216) 289-0506,,,Sunday:7am - 9pm; Monday - Saturday:7am - 11pm; ,,0
SLAVIC VILLAGE,,7422 Harvard Avenue,,Cleveland,,44105,United States,(216) 441-0034,,,Sunday - Saturday:7am - 9pm; ,,0
TURNEYTOWN,,4948 Turney Road,,Garfield Heights,,44125,United States,(216) 641-0398,,,Sunday:7am - 9pm; Monday - Saturday:7am - 10pm; ,,0
WILSON MILLS,,5100 Wilson Mills Road,,Richmond Heights,,44143-3006,United States,(440) 460-0900,,,Sunday:7am - 9pm; Monday - Saturday:7am - 10pm; ,,0
