store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Brad M. Freedman, DDS & Associates",,4604-D Pinecrest Office Park Dr ,,Alexandria ,VA,22312,United States,(703) 940-1886,,,,,0
Dental Associates of Northern Virginia in Alexandria,,1500 Belle View Boulevard ,,Alexandria ,VA,22307,United States,(703) 596-0872,,,,,0
Dental Associates of Northern Virginia in Burke,,6035 Burke Centre Pkwy Suite # 200 ,,Burke ,VA,22015,United States,(703) 935-2879,,,,,0
Dental Associates of Northern Virginia in Fair Oaks,,12011 Lee Jackson Memorial Hwy Suite 105 ,,Fairfax ,VA,22033,United States,(703) 596-0875,,,,,0
Dental Associates of Northern Virginia in Skyline,,5113 Leesburg Pike Skyline Building 4 Suite 811 ,,Falls Church ,VA,22041,United States,(703) 935-2878,,,,,0
Dental Associates of Northern Virginia in Tysons Corner,,8100 Boone Blvd. Suite 100 ,,Vienna ,VA,22182,United States,(703) 935-2825,,,,,0
Dental One Associates of Chantilly,,25055 Riding Plaza Drive Suite 270 ,,Chantilly ,VA,20152,United States,(703) 722-8443,,,,,0
Dental One Associates of Fairfax,,9942 Main Street ,,Fairfax ,VA,22031,United States,(703) 664-1990,,,,,0
Dental One Associates of Fredericksburg,,201 Park Hill Drive ,,Fredericksburg ,VA,22401,United States,(540) 765-4655,,,,,0
Dental One Associates of Manassas,,7800 Sudley Road Suite 7810 ,,Manassas ,VA,20109,United States,(571) 535-2365,,,,,0
Dental One Associates of Woodbridge,,14520 Smoketown Road ,,Woodbridge ,VA,22192,United States,(703) 910-5020,,,,,0
Herrmann & Desio Family Dentistry,,510 N. Washington St Suite 301 ,,Falls Church ,VA,22046,United States,(703) 988-6938,,,,,0
Elite Dental Center,,1025 N Fillmore St Suite C ,,Arlington ,VA,22201,United States,(703) 988-6965,,,,,0
Hoffman Dental Group (Fairfax),,9661-C Main Street ,,Fairfax ,VA,22031,United States,,,,,,0
Hoffman Dental Group (Greenspring),,7440 Spring Village Drive ,,Springfield ,VA,22150,United States,,,,,,0
Hoffman Dental Group (Springfield),,6340 Brandon Avenue ,,Springfield ,VA,22150,United States,,,,,,0
Konikoff Dental Associates Battlefield Boulevard,,684 N. Battlefield Blvd Suite A ,,Chesapeake ,VA,23320,United States,(757) 548-0957,,,,,0
Konikoff Dental Associates Cedar Road,,1419 Cedar Rd. Suite 100 ,,Chesapeake ,VA,23322,United States,(757) 410-5878,,,,,0
Konikoff Dental Associates General Booth,,2301 General Booth Blvd. Suite A ,,Virginia Beach ,VA,23456,United States,(757) 427-5100,,,,,0
Konikoff Dental Associates Harbour View,,5849 Harbour View Blvd Suite 100 ,,Suffolk ,VA,23435,United States,(757) 606-1450,,,,,0
Konikoff Dental Associates Lynnhaven,,2100 Lynnhaven Pkwy Suite 100 ,,Virginia Beach ,VA,23456,United States,(757) 416-1400,,,,,0
Konikoff Dental Associates Shore Drive,,2829 Shore Drive Suite 100 ,,Virginia Beach ,VA,23451,United States,(757) 333-6866,,,,,0
Konikoff Dental Associates Volvo Parkway,,1533 Volvo Parkway Suite 100 ,,Chesapeake ,VA,23320,United States,(757) 410-9960,,,,,0
Konikoff Kids,,2100 Lynnhaven Pkwy Suite 200 ,,Virginia Beach ,VA,23456,United States,(757) 416-1400,,,,,0
Northern Virginia Oral & Maxillofacial Surgery Associates in Annandale,,7611 Little River Tpk Suite 101E ,,Annandale ,VA,22003,United States,(703) 634-4195,,,,,0
Northern Virginia Oral & Maxillofacial Surgery Associates in Manassas,,10600 Crestwood Drive ,,Manassas ,VA,20109,United States,(703) 634-4230,,,,,0
Northern Virginia Oral & Maxillofacial Surgery Associates in Woodbridge,,2020-A Opitz Blvd ,,Woodbridge ,VA,22191,United States,(703) 634-4238,,,,,0
Polifko & Dvorak,,2010 Opitz Boulevard # D ,,Woodbridge ,VA,22191,United States,(703) 595-2887,,,,,0
Rye Smiles for Life,,10614 Warwick Avenue ,,Fairfax ,VA,22030,United States,(703) 565-2503,,,,,0
Smiles at Fairfax Corner,,4210 Fairfax Corner Ave W Ste 220 ,,Fairfax ,VA,22030,United States,(703) 997-0928,,,,,0
Virginia Dental Center Cosmetic & Family Dentistry,,1025 N. Fillmore Street Suite A ,,Arlington ,VA,22201,United States,(877) 696-9119,,,,,0
Dolson Avenue Dental,,75 Dolson Avenue ,,Middletown ,NY,10940,United States,,,,,,0
Family Dental Group of Brewster,,1620 Route 22 ,,Brewster ,NY,10509,United States,(845) 764-9263,,,,,0
Family Dental Group of Fishkill,,738 Route 9 Suite 22 ,,Fishkill ,NY,12524,United States,(845) 764-9315,,,,,0
Family Dental Group of Jefferson Valley,,2985 Navajo Road ,,Yorktown Heights ,NY,10598,United States,(914) 357-8916,,,,,0
Family Dental Group of New York City,,121 E 60 St Suite 6C ,,New York ,NY,10022,United States,(212) 758-2215,,,,,0
Family Dental Group of Newburgh,,250 Broadway ,,Newburgh ,NY,12550,United States,(845) 764-9361,,,,,0
Kids Family Dental,,1591 Route 22 Building 2 ,,Brewster ,NY,10509,United States,(845) 764-9572,,,,,0
Manhattan Dental Arts,,1995 Broadway Suite 200 ,,New York ,NY,10023,United States,(646) 354-7621,,,,,0
Ramapo Dental Care,,29 N Airmont Rd Suite 2 ,,Suffern ,NY,10901,United States,(845) 512-1219,,,,,0
"Richard L. Marcus, D.D.S. & Associates",,23 Southdown Road ,,Huntington ,NY,11743,United States,(631) 247-0976,,,,,0
"Richard L. Rausch, DDS",,1 Rockefeller Plaza Suite 2201 ,,New York ,NY,10020,United States,(646) 863-8184,,,,,0
Baystate Dental of Belchertown,,131 North Main Street ,,Belchertown ,MA,01007,United States,(413) 323-7654,,,,,0
Baystate Dental of Chicopee,,516 Montgomery St ,,Chicopee ,MA,01020,United States,(413) 534-5144,,,,,0
Baystate Dental of East Longmeadow,,294 N.Main Street ,,East Longmeadow ,MA,01028,United States,(413) 525-9500,,,,,0
Saw Mill Dental,,970 North Broadway Suite 306 ,,Yonkers ,NY,10701,United States,(914) 357-8917,,,,,0
Dentists' Office of The Hudson Valley,,1733 Ulster Avenue ,,Lake Katrine ,NY,12449,United States,(845) 512-1230,,,,,0
