store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
DentalWorks - Greensboro,, 3724 Battleground Ave,,Greensboro,NC,27410-2366,United States,336-282-4658,,,Mon 8:00AM - 5:00PM; Tue 8:00AM - 6:00PM; Wed 8:00AM - 6:00PM; Thu 8:00AM - 6:00PM; Fri 8:00AM - 1:00PM; ,,0
DentalWorks - Charlotte,, 3211 Eastway Dr,,Charlotte,NC,28205-5670,United States,704-563-7351,,,Mon 8:00AM - 5:00PM; Tue 8:00AM - 5:00PM; Wed 8:00AM - 5:00PM; Thu 8:00AM - 5:00PM; Fri 8:00AM - 1:00PM; ,,0
DentalWorks Noblesville,, 17535 Terry Lee Crossing,,Noblesville,Indiana,46060,United States,317-773-3740,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 7:00PM; Wed 9:00AM - 7:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 5:00PM; Sat 9:00AM - 3:00PM; ,,0
DentalWorks - Belden Village,, 4100 Belden Village,,Canton,OH,44718-2502,United States,330-494-7126,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 5:00PM; Wed 9:00AM - 7:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 5:00PM; Sat 9:00AM - 1:00PM; ,,0
DentalWorks - Willoughby,, 36173 Euclid Ave.,,Willoughby,OH,44094-4410,United States,440-946-0640,,,Mon 9:00AM - 7:00PM; Wed 9:00AM - 7:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 5:00PM; Sat 9:00AM - 3:00PM; ,,0
DentalWorks - Beachwood,, 27540 Chagrin Blvd.,,Orange,OH,44122-4424,United States,216-378-2282,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 5:00PM; Wed 9:00AM - 6:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 4:00PM; Sat 9:00AM - 3:00PM; ,,0
DentalWorks - Powell,, 4091 W. Powell,,Powell,OH,43065-7372,United States,614-659-0019,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 5:00PM; Wed 8:00AM - 4:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 1:00PM; Sat 10:00AM - 2:00PM; ,,0
DentalWorks - Reynoldsburg,, 2965 Taylor Rd. Ext.,,Reynoldsburg,OH,43068-9483,United States,614-861-8145,,,Mon 9:00AM - 7:00PM; Tue 8:00AM - 5:00PM; Wed 9:00AM - 6:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 4:00PM; Sat 9:00AM - 2:00PM; ,,0
DentalWorks - Macedonia,, 8210 Macedonia Commons,,Macedonia,OH,44056-1860,United States,330-467-3513,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 5:00PM; Wed 9:00AM - 5:00PM; Thu 12:00PM - 8:00PM; Fri 8:00AM - 5:00PM; Sat 9:00AM - 3:00PM; ,,0
DentalWorks - Gastonia Franklin Square,, 2924 E Franklin Blvd,,Gastonia,NC,28056-7202,United States,704-867-2029,,,Mon 8:00AM - 5:00PM; Tue 8:00AM - 5:00PM; Wed 8:00AM - 5:00PM; Thu 8:00AM - 5:00PM; Fri 8:00AM - 1:00PM; ,,0
DentalWorks - Avon,, 36050 -T Detroit Road,,Avon,OH,44011,United States,440-934-0174,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 7:00PM; Wed 9:00AM - 5:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 5:00PM; Sat 9:00AM - 2:00PM; ,,0
DentalWorks - Parma,, 1054 West Pleasant Valley Rd.,,Parma,OH,44134,United States,844-226-6506,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 7:00PM; Wed 9:00AM - 7:00PM; Thu 9:00AM - 7:00PM; Fri 9:00AM - 4:00PM; Sat 9:00AM - 3:00PM; ,,0
DentalWorks - Durham,, 3600 N Duke Street,,Durham,NC,27704-1769,United States,919-471-3323,,,Mon 8:00AM - 5:00PM; Tue 8:00AM - 5:00PM; Wed 8:00AM - 5:00PM; Thu 8:00AM - 5:00PM; Fri 8:00AM - 1:00PM; ,,0
DentalWorks - Matthews,, 2335 Matthews Twp Parkway,,Matthews,NC,28105-2360,United States,704-846-0184,,,Mon 8:00AM - 5:00PM; Tue 8:00AM - 5:00PM; Wed 8:00AM - 5:00PM; Thu 8:00AM - 5:00PM; Fri 8:00AM - 1:00PM; ,,0
DentalWorks - Cary Crossroads,, 226 Crossroads Blvd,,Cary,NC,27518-6893,United States,919-851-9070,,,Mon 7:00AM - 5:00PM; Tue 7:00AM - 5:00PM; Wed 7:00AM - 5:00PM; Thu 7:00AM - 5:00PM; Fri 7:00AM - 1:00PM; ,,0
DentalWorks - Carmel Village,, 7510 Pineville Matthews Rd,,Charlotte,NC,28226-3906,United States,704-544-0916,,,Mon 8:00AM - 5:00PM; Tue 8:00AM - 5:00PM; Wed 8:00AM - 5:00PM; Thu 8:00AM - 5:00PM; Fri 8:00AM - 1:00PM; ,,0
DentalWorks - Arlington Heights,, 708 E. Rand Rd.,,Arlington Heights,IL,60004,United States,877-246-8791,,,Mon 9:00AM - 7:00PM; Tue 9:00AM - 7:00PM; Thu 9:00AM - 7:00PM; ,,0
DentalWorks - Dublin,, 6158 Sawmill Rd,,Dublin,OH,43017,United States,614-761-7750,,,Mon 10:00AM - 8:00PM; Tue 10:00AM - 8:00PM; Wed 10:00AM - 8:00PM; Thu 11:00AM - 7:00PM; Fri 10:00AM - 5:00PM; Sat 10:00AM - 3:00PM; ,,0
Imperial Oaks Dental Care,, 2319 Rayford Rd.,,Spring,TX,77386-1708,United States,832-585-0691,,,Mon 9:00AM - 6:00PM; Tue 9:00AM - 6:00PM; Wed 7:00AM - 4:00PM; Thu 7:00AM - 4:00PM; Fri 7:00AM - 4:00PM; ,,0
