store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Dr. Dental: Dentist in Billerica, MA",,480 Boston Rd. Unit 114 ,,Billerica ,MA,01821,United States,978-330-3400 ,,,Monday 10am - 7:00pm; Tuesday 10am - 7:00pm; Wednesday 10am - 7:00pm; Thursday 10am - 7:00pm; Friday 8am - 5:00pm; Saturday 9am - 3:00pm; ,,0
"Dr. Dental: Dentist in Stratford, CT",,200 East Main St. ,,Stratford ,CT,06614,United States,203-378-8500,,,Monday 10am - 7pm; Tuesday 10am - 7pm; Wednesday 10am - 7pm; Thursday 10am - 7pm; Friday 10am - 7pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in West Hartford, CT",,18 Kane Street Unit B ,,West Hartford ,CT,06119,United States,860-231-7000,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Vernon, CT",,35 Talcottville Rd ,,Vernon ,CT,06066,United States,860-896-9000,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Bristol, CT",,1192 Farmington Ave. ,,Bristol ,CT,06010,United States,860-585-9000,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Norwalk, CT",,360 Connecticut Ave. ,,Norwalk ,CT,06854,United States,203-831-0080,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Hamden, CT",,2100 Dixwell Ave ,,Hamden ,CT,06514,United States,203-288-3000,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Enfield, CT",,54 Hazard Ave ,,Enfield ,CT,06082,United States,860-745-8800,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Waterbury, CT",,155 Thomaston Ave. ,,Waterbury ,CT,06702,United States,203-575-9944,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Stamford, CT",,1990 W. Main St. ,,Stamford ,CT,06902,United States,203-327-1100,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Danbury, CT",,72 Newtown Road ,,Danbury ,CT,06810,United States,203-778-6700,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 8am - 3pm; ,,0
"Dr. Dental: Dentist in New Haven, CT (Amity Road)",,122 Amity Road ,,New Haven ,CT,06515,United States,203-389-9600,,,Monday 10am - 7pm; Tuesday 10am - 7pm; Wednesday 10am - 7pm; Thursday 10am - 7pm; Friday 10am - 7pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Derby, CT",,49 Pershing Dr. ,,Derby ,CT,06418,United States,203-732-4300,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Bridgeport, CT",,594 Pequonnock St. ,,Bridgeport ,CT,06604,United States,203-336-4444,,,Monday 10am - 7pm; Tuesday 10am - 7pm; Wednesday 10am - 7pm; Thursday 10am - 7pm; Friday 10am - 7pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in New Haven, CT (Church St.)",,89 Church St. ,,New Haven ,CT,06510,United States,203-850-7900,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3:00pm; ,,0
"Dr. Dental: Dentist in Hackensack, NJ",,500 South River Street ,,Hackensack ,NJ,07601,United States,201-641-5240,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Edison, NJ",,561 Route 1 ,,South Edison ,NJ,08817,United States,732-248-3368,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
"Dr. Dental: Dentist in Clifton, NJ",,41 Ackerman Ave ,,Clifton ,NJ,07011,United States,973-531-4444,,,Monday 8am - 7:30pm; Tuesday 8am - 7:30pm; Wednesday 8am - 7:30pm; Thursday 8am - 7:30pm; Friday 8am - 7:30pm; Saturday 9am - 3pm; ,,0
