store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Fitness For 10 - Las Vegas, Nevada",,8180 Blue Diamond Rd,,Las Vegas,NV,89178,United States,725-605-2400,,,*Temporary Staffed Hours*; Monday-Thursday: 10am - 9pm; Friday: 10am - 7pm; Saturday-Sunday: 10am - 6pm,,0
"Fitness For 10 - Las Vegas, Nevada",,3645 S Rainbow Blvd (Formerly Edge Fitness),,Las Vegas,Nevada,89103,United States,725-605-2444,,,*Temporary Staffed Hours*; Monday-Thursday: 5am - 10pm; Friday: 5am - 8pm; Saturday-Sunday: 10am - 6pm,,0
"Fitness For 10 - Sparks, Nevada",,1575 E Lincoln Way,,Sparks,Nevada,89434,United States,(775) 352-8663,,,AVAILABLE TO MEMBERS 24/7!; Regular Staffed Hours:; Monday-Wednesday: 5am-9pm; Thursday: 5am-8pm; Friday: 5am-7pm; Saturday-Sunday: 10am-4pm,,0
"Fitness For 10 - Fernley, Nevada",,130 Shadow Lane #2,,Fernley,Nevada,89408,United States,PH: 775.980.6910,,,AVAILABLE TO VIP/VIP+ MEMBERS 24/7!; Regular Staffed Hours:; Monday-Friday: 7am-8pm; Saturday: 8am-6pm; Sunday: Not Staffed,,0
"Fitness For 10 - Pahrump, Nevada",,2271 E Commercial Drive,,Pahrump,Nevada,89048,United States,(775) 751-6683,,,Monday - Thursday: 5am - 10pm; Friday: 5am - 8pm; Saturday - Sunday: 7am - 7pm,,0
"Fitness For 10 - Henderson, Nevada ",,771 E Horizon Dr,,Henderson,NV,89015,United States,725-605-2424,,,*Current Staffed Hours*; Monday-Thursday: 10am - 7pm; Friday: 10am - 6pm; Saturday: 10am - 4pm; Sunday: Not Staffed,,0
"Fitness For 10 - Reno, Nevada",,"100 N Sierra St, #300",,Reno,Nevada,89501,United States,(775) 409-4170,,,Monday - Thursday: 5am - 10pm; Friday: 5am - 8pm; Saturday: 7am - 7pm; Sunday: 8am - 4pm,,0
"Fitness For 10 - Fallon, Nevada",,1925 W. Williams Ave,,Fallon,Nevada,89406,United States,(775) 867-3310,,,Staffed Hours; Monday - Friday: 7am - 8pm; Saturday: 9am - 3pm; Sunday: Not staffed; Available to VIP/VIP+ Members: 24/7!; Available to Basic Members: 5am - 9pm,,0
"Fitness For 10 - Farmington, Utah",,1335 North Highway 89,,Farmington,UT,84025,United States,(801) 447-8300,,,Monday - Thursday: 5am - 10pm; Friday: 5am - 8pm; Saturday: 6am - 6pm; Sunday: 8am - 2pm,,0
"Fitness For 10 - Downtown Prescott, AZ",,301 Whipple St,,Prescott,AZ,86301,United States,(928) 277-0305,,,Monday - Thursday: 10am - 7pm; Friday: 10am - 4pm; Saturday - Sunday: Not Staffed; 24/7 Access - ALWAYS OPEN!,,0
"Fitness For 10 - Kingman, AZ",,"3990 Stockton Hill Rd, Suite J",,Kingman,AZ,86409,United States,(928) 377-3615,,,Monday - Thursday: 9am - 9pm; Friday: 9am - 7pm; Saturday: 8am - 1pm; Sunday: Not Staffed,,0
"Fitness For 10 - Carson City, Nevada",,829 Fairview Drive,,Carson City,Nevada,89701,United States,(775) 885-1871,,,AVAILABLE TO MEMBERS 24/7!; Regular Staffed Hours:; Monday-Wednesday: 5am-9pm; Thursday: 5am-8pm; Friday: 5am-7pm; Saturday-Sunday: 10am-4pm,,0
"Fitness For 10 - Prescott Valley, AZ",,6650 E. 2nd Street,,Prescott Valley,AZ,86314,United States,(928) 772-7359,,,Monday - Thursday: 10am - 9pm; Friday: 10am - 7pm; Saturday - Sunday: Not Staffed; 24/7 Access - ALWAYS OPEN!,,0
"Fitness For 10 - Brandon, Florida",,1903 West Lumsden Road,,Brandon,FL,33511,United States,(813) 654-6568,,,Monday - Thursday: 5:00AM - 10:00PM; Friday: 5:00AM - 9:00PM; Saturday - Sunday: 8:00AM - 7:00PM; 24/7 Access with Premier Membership,,0
"Fitness For 10 - Regina, Saskatchewan",,1240 Hamilton Street,,Regina,Saskatchawen,,United States,Canada S7H 0V6,,,Monday - Friday: 5:30AM - 10:00PM; Saturday: 8:00AM - 8:00PM; Sunday: 9:00AM - 5:00PM,,0
"Fitness For 10 - Saskatoon, SK, Canada",,2414 8th St East Saskatoon,,Saskatchewan,Canada,S7H 0V6,United States,(306) 652-1010,,,Monday - Thursday: 5:30AM - 11:00PM; Friday: 5:30AM - 10:00PM; Saturday: 8:00AM - 8:00PM; Sunday: 9:00AM - 5:00PM,,0
"Fitness For 10 - Prescott, AZ",,3600 Ranch Drive,,Prescott,AZ,86303,United States,(928) 445-8866,,,Monday - Thursday: 5am - 9pm; Friday: 5am - 7pm; Saturday - Sunday: 7am - 7pm,,0
