store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
FoodMaxx,401,6300 White Lane,,Bakersfield,CA,93309,United States,(661) 832-0929,35.31934346,-119.0728386,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,402,4128 Chester Ave,,Bakersfield,CA,93301,United States,(661) 325-7314,35.39760324,-119.0169801,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,403,3241 W. Shaw Ave.,,Fresno,CA,93711,United States,(559) 224-0994,36.80667437,-119.8502047,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,405,1962 N. Main Street,,Salinas,CA,93906,United States,(831) 442-3111,36.71956549,-121.654331,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,406,27300 Hesperian Blvd.,,Hayward,CA,94545,United States,(510) 293-1911,37.63232918,-122.0963216,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,409,39441 Fremont Blvd.,,Fremont,CA,94538,United States,(510) 651-1920,37.54407827,-121.9826047,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,410,2020 W. Briggsmore Avenue,,Modesto,CA,95350,United States,(209) 530-9677,37.6695905,-121.0292293,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,407,1845 Countryside Lane,,Turlock,CA,95380,United States,(209) 632-2022,37.50948923,-120.8773801,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,411,13220 San Pablo Avenue,,San Pablo,CA,94805,United States,(510) 232-1150,37.95242959,-122.3318421,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
FoodMaxx,413,6465 Niles Street,,Bakersfield,CA,93301,United States,(661) 363-7754,35.37474284,-118.933663,Monday 12:00 am - 12:00 am; Tuesdays 12:00 am - 12:00 am; Wednesday 12:00 am - 12:00 am; Thursday 12:00 am - 12:00 am; Friday 12:00 am - 12:00 am; Saturday 12:00 am - 12:00 am; Sunday 12:00 am - 12:00 am,,
