store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Denver Int'l Airport (DIA),1586,Concourse B (East End) GATE 89 8400 Pena Blvd ,,Denver ,CO,80249,United States,303-342-6648,,,monday 6am to 10pm; tuesday 6am to 10pm; wednesday 6am to 10pm; thursday 6am to 10pm; friday 6am to 10pm; saturday 6am to 10pm; sunday 6am to 10pm; ,,0
Applewood,1582,3294E Youngfield St. ,,Wheat Ridge ,CO,80033,United States,720-274-7451,,,monday 9:00 AM - 8:00 PM; tuesday 9:00 AM - 8:00 PM; wednesday 9:00 AM - 8:00 PM; thursday 9:00 AM - 8:00 PM; friday 9:00 AM - 8:00 PM; saturday 9:00 AM - 6:00 PM; sunday 10am - 3:30pm; ,,0
Carbondale,1584,1091 Highway 133 ,,Carbondale ,CO,81623,United States,307-201-1210,,,monday 7:00 AM - 4:00 PM; tuesday 7:00 AM - 4:00 PM; wednesday 7:00 AM - 4:00 PM; thursday 7:00 AM - 4:00 PM; friday 7:00 AM - 4:00 PM; saturday 8:00 AM - 4:00 PM; sunday 8:00 AM - 4:00 PM; ,,0
17th and Lawrence,1574,1225 17th St ,,Denver ,CO,80202,United States,720-214-4728,,,monday 7:00 AM - 3:00 PM; tuesday 7:00 AM - 3:00 PM; wednesday 7:00 AM - 3:00 PM; thursday 7:00 AM - 3:00 PM; friday 7:00 AM - 3:00 PM; saturday CLOSED; sunday CLOSED; ,,0
Colfax & Madison,1585,3500 E. Colfax Ave. ,,Denver ,CO,80206,United States,303-355-6494,,,monday 8:00 AM - 8:00 PM; tuesday 8:00 AM - 8:00 PM; wednesday 8:00 AM - 8:00 PM; thursday 8:00 AM - 8:00 PM; friday 8:00 AM - 8:00 PM; saturday 8:00 AM - 8:00 PM; sunday 8:00 AM - 8:00 PM; ,,0
Brighton,2150,2239 Prairie Center Parkway Unit A ,,Brighton ,CO,80601,United States,(303) 655-9510,,,monday 7:00 AM - 8:00 PM; tuesday 7:00 AM - 8:00 PM; wednesday 7:00 AM - 8:00 PM; thursday 7:00 AM - 8:00 PM; friday 7:00 AM - 8:00 PM; saturday 7:00 AM - 8:00 PM; sunday 10:00 AM - 6:00 PM; ,,0
Broomfield,1583,1170 U.S. Hwy 287 Suite D 100A ,,Broomfield ,CO,80020,United States,303-469-1001,,,monday 7:30 AM - 8:00 PM; tuesday 7:30 AM - 8:00 PM; wednesday 7:30 AM - 8:00 PM; thursday 7:30 AM - 8:00 PM; friday 7:30 AM - 8:00 PM; saturday 8:00 AM - 5:00 PM; sunday 9:00 AM - 5:00 PM; ,,0
Baltimore,1594,3 N Eutaw Street ,,Baltimore ,MD,21201,United States,410-727-1237,,,monday Closed; tuesday 9:00 AM - 4:00 PM; wednesday 9:00 AM - 4:00 PM; thursday 9:00 AM - 4:00 PM; friday 9:00 AM - 4:00 PM; saturday 9:00 AM - 4:00 PM; sunday 9:00 AM - 4:00 PM; ,,0
Auburn,1593,624 Turner St. ,,Auburn ,ME,04210,United States,207-784-3434,,,monday 7:00 AM - 9:00 PM; tuesday 7:00 AM - 9:00 PM; wednesday 7:00 AM - 9:00 PM; thursday 7:00 AM - 9:00 PM; friday 7:00 AM - 9:00 PM; saturday 7:00 AM - 9:00 PM; sunday 10:00 AM - 8:00 PM; ,,0
Bakersfield,1569,9612 Flushing Quail Rd ,,Bakersfield ,CA,93312,United States,661-387-6500,,,monday 8:00 AM - 8:00 PM; tuesday 8:00 AM - 8:00 PM; wednesday 8:00 AM - 8:00 PM; thursday 8:00 AM - 8:00 PM; friday 8:00 AM - 8:00 PM; saturday 8:00 AM - 8:00 PM; sunday CLOSED; ,,0
