store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Benny's Store,,473 Putnam Pike,,Greenville,RI,02828,United States,401-949-9820,41.870808,-71.532227,Mon - Sat: 8:30am-9:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,66 Branch Avenue,,Providence,RI,02904,United States,401-861-5995,41.843521,-71.409187,Mon - Sat: 8:00am-9:00pm; Sun: 9:00am-7:00pm;,,0
Benny's Store,,1100 North Main Street,,Providence,RI,02904,United States,401-831-9430,41.850525,-71.403137,Mon - Fri: 7:30am-6:00pm; Sat:  7:00am-5:00pm; Sun: Closed;,,0
Benny's Store,,148 Atwood Avenue,,Cranston,RI,02920,United States,401-946-4949,41.779713,-71.471893,Mon - Sat: 8:30am-9:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,819 Park Avenue,,Cranston,RI,02910,United States,401-941-9833,41.779030,-71.434502,Mon - Fri: 9:00am-7:00pm; Sat: 9:00am-6:00pm; Sun: 10:00am-5:00pm;,,0
Benny's Store,,17 Central Avenue,,Seekonk,MA,02771,United States,508-761-4710,41.888790,-71.339600,Mon - Sat: 8:30am-8:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,2715 Pawtucket Avenue,,East Providence,RI,02914,United States,401-434-9465,41.801540,-71.362564,Mon - Sat: 8:30am-8:00pm; Sun: 9:00am-5:00pm;,,0
Benny's Store,,96 Taunton Ave.,,Seekonk,MA,02771,United States,508-336-7973,41.824696,-71.343315,Mon - Sat: 8:30am-8:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,1109 Warwick Avenue,,Warwick,RI,02888,United States,401-461-6555,41.746239,-71.407005,Mon - Sat: 8:30am-8:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,110 East Washington Street,,North Attleboro,MA,02760,United States,508-695-9868,41.969791,-71.335075,Mon - Sat: 8:30am-9:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,2574 West Shore Road,,Warwick,RI,02889,United States,401-737-9547,41.703915,-71.415977,Mon - Sat: 8:30am-8:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,495 Tiogue Avenue,,Coventry,RI,02816,United States,401-821-9729,41.686218,-71.550125,Mon - Sat: 8:30am-9:00pm; Sun: 9:00am-6:00pm;,,0
Benny's Store,,5600 Post Road,,East Greenwich,RI,02818,United States,401-884-9844,41.641254,-71.467323,Mon - Sat: 8:30am-8:00pm; Sun: 9:00am-6:00pm;,,0
