store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Arrowhead Towne Center,,7700-1073 W Arrowhead Towne Ctr.,,Glendale,AZ,85308,United States,623-979-8805,,,Monday-Saturday 10-9; Sunday 11-6.,,0
Hunt Club,,6557 Grand Ave.,,Gurnee,IL,60031,United States,847-855-2735,,,Monday-Friday 10-9; Saturday 10-7; Sunday 11-6,,0
Joliet Commons,,2645 Plainfield Rd.,,Joliet,IL,60435,United States,815-439-9277,,,Monday-Friday 10-9; Saturday 10-7; Sunday 12-6,,0
Market Place,,2000 N. Neil Street,,Champaign,IL,61820,United States,217-355-1811,,,Monday-Saturday 10-9; Sunday 11-6,,0
Oak Brook Promenade,,3031 E Butterfield Road,,Oakbrook,IL,60523,United States,630-928-1628,,,Monday-Friday 10-9; Saturday 10-7; Sunday 11-6,,0
OUTLET - Fashion Outlets of Chicago,,5220 Rose Street,,Rosemont,IL,60018,United States,847-678-7814,,,Monday-Saturday 10-9; Sunday 10-7,,0
Orland Square,,424 Orland Square Drive,,Orland Park,IL,60462,United States,708-349-1083,,,Monday-Saturday 10-9; Sunday 11-6,,0
Northwoods Mall,,2200 West War Memorial Drive,,Peoria,IL,61613,United States,309-688-0439,,,Monday-Saturday 10-9; Sunday 11-6.,,0
Harlem Irving,,4109 N. Harlem,,Norridge,IL,60706,United States,708-457-8552,,,Monday-Friday 10-9; Saturday 10-7; Sunday 11-6,,0
Fox Valley Mall,,1408 Fox Valley Center,,Aurora,IL,60504,United States,630-820-8508,,,Monday- Saturday 10-9; Sunday 11-6,,0
Boise Towne Square,,350 N Milwaukee,,Boise,ID,83704,United States,208-658-6485,,,Monday-Saturday 10-9; Sunday 11-7,,0
Town Center,,400 Ernest Barrett Pkwy,,Kennesaw,GA,30144,United States,770-423-9475,,,Monday-Saturday 10-9; Sunday 12-6,,0
Crystal Lake,,6340 NW Highway,,Crystal Lake,IL,60014,United States,815-459-0855,,,Monday-Friday 10-9; Saturday 10-7; Sunday 11-6,,0
Southlake Mall,,1241 Southlake Mall,,Morrow,GA,30260,United States,770-961-7844,,,Monday-Saturday 10-9; Sunday 12-6,,0
Perimeter Mall,,4400 Ashford Dunwoody Rd.,,Atlanta,GA,30346,United States,770-804-9553,,,Monday-Saturday 10-9; Sunday 12-6,,0
Ogelthorpe Mall,,7804 Abercorn Ex.,,Savannah,GA,31406,United States,912-353-8136,,,Monday-Saturday 10-9; Sunday 12-6,,0
Valley View Mall,,3800 State Rd 16,,LaCrosse,WI,54601,United States,608-781-5252,,,Monday-Saturday 10-9; Sunday11-6,,0
Oakwood Mall,,4800 Golf Road,,Eau Claire,WI,54701,United States,715-833-2322,,,Monday-Saturday 10-9; Sunday 11-6,,0
Tacoma Mall,,4502 South Steele Street,,Tacoma,WA,98409,United States,253-474-7775,,,Monday-Saturday 10-9; Sunday 11-7,,0
Alderwood,,3000 184th Street SW,,Lynnwood,WA,98037,United States,425-774-6956,,,Monday-Friday 10-9; Saturday 10-9:30; Sunday 11-7,,0
Southcenter,,601 Southcenter Mall,,Seattle,WA,98188,United States,206-444-0840,,,Monday-Saturday 10-9; Sunday 11-7,,0
Spotsylvania Mall,,550 Spotsylvania mall,,Fredericksburg,VA,22407,United States,540-786-8242,,,Monday-Saturday 10-9:30; Sunday 11-6,,0
Tysons Corner Center,,7931L Tysons Corner Ctr.,,McLean,VA,22102,United States,703-848-9008,,,Monday-Saturday 10-9:30; Sunday 11-7,,0
Patrick Henry Mall,,12300 Jefferson Avenue,,Newport News,VA,23602,United States,757-882-8905,,,Monday-Saturday 10-9; Sunday 12-6,,0
OUTLET-Potomac Mills Mall,,2700 Potomac Mills Circle,,Woodbridge,VA,22192,United States,703-490-5738,,,Monday-Saturday 10-9; Sunday 11-6,,0
MacArthur Center,,300 Monticello Avenue,,Norfolk,VA,23510,United States,757-627-5840,,,Monday-Saturday 10-9; Sunday 12-6,,0
Lynnhaven Mall,,701 Lynnhaven Parkway,,Virginia Beach,VA,23452,United States,757-340-1600,,,Monday-Saturday 10-9; Sunday 12-6,,0
Fashion Centre @ Pentagon,,1100 S. Hayes Street,,Arlington,VA,22202,United States,703-415-2440,,,Monday-Saturday 10-9:30; Sunday 11-6,,0
Fair Oaks,,11918 Lee Jackson Memorial Highway,,Fairfax,VA,22033,United States,571-432-0244,,,Monday-Saturday 10-9; Sunday 11-6,,0
Colonial Heights,,690 Southpark Blvd.,,Colonial Heights,VA,23834,United States,804-520-0471,,,Monday-Saturday 10-9; Sunday 12:30-5:30,,0
Woodlands Mall,,1201 Lake Woodlands Mall,,The Woodlands,TX,77380,United States,281-681-1679,,,Monday-Saturday 10-9; Sunday 12-6,,0
Willowbrook Mall-TX,,1598 Willowbrook Mall,,Houston,TX,77070,United States,281-890-6561,,,Monday-Saturday 10-9; Sunday 12-6.,,0
Town East Mall,,1230 Town East Mall,,Mesquite,TX,75150,United States,972-270-9192,,,Monday-Saturday 10-9; Sunday 12-6,,0
The Shops at La Cantera,,15900 La Cantera Pkwy.,,San Antonio,TX,78256,United States,210-641-1515,,,Monday-Saturday 10-9; Sunday 12-6,,0
The Parks at Arlington,,3811 S. Cooper,,Arlington,TX,76015,United States,817-468-3636,,,Monday-Saturday 10-9; Sunday 12-6,,0
Stonebriar Centre,,2601 Preston Road,,Frisco,TX,75034,United States,972-731-0407,,,Monday-Saturday 10-9; Sunday 12-6,,0
South Plains Mall,,"6002 Slide Rd., Ste G24",,Lubbock,TX,79414,United States,806-785-7500,,,Monday-Saturday 10-9; Sunday 12-6,,0
Ridgmar Mall,,2274 Green Oaks Rd.,,Fort Worth,TX,76116,United States,817-738-0263,,,Monday-Saturday 10-9; Sunday 12-6,,0
OUTLET - San Marcos Premium Outlets,,3939 IH-35 South,,San Marcos,TX,78666,United States,(512) 393-2902,,,Monday-Saturday 10-9; Sunday 10-7,,0
OUTLET - Grapevine Mills,,3000 Grapevine Mills Pkwy,,Grapevine,Texas,76051,United States,469-293-6006,,,Monday-Saturday 10-9; Sunday 11-7,,0
North Star,,7400 San Pedro,,San Antonio,TX,78216,United States,210-525-8611,,,Monday-Saturday 10-9; Sunday 12-6,,0
North East Mall,,1101 Melbourne Rd.,,Hurst,TX,76053,United States,817-284-5311,,,Monday-Saturday 10-9; Sunday 12-6,,0
Memorial City,,303 Memorial City Way,,Houston,TX,77024,United States,713-467-4872,,,Monday-Saturday 10-9; Sunday 12-6,,0
Lakeline Mall,,11200 Lakeline Mall Drive,,Cedar Park,TX,78613,United States,512-257-0235,,,Monday-Saturday 10-9; Sunday 12-6,,0
LaPlaza,,2200 South 10th Street,,McAllen,TX,78503,United States,956-972-1851,,,Monday-Saturday 10-9; Sunday 11-7,,0
Irving Mall,,3702 Irving Mall,,Irving,TX,75062,United States,972-570-4811,,,Monday-Saturday 10-9; Sunday 12-6,,0
Ingram Park,,6301 NW Loop 410,,San Antonio,TX,78238,United States,210-682-9201,,,Monday-Saturday 10-9; Sunday 12-6,,0
Hulen Mall,,4800 S. Hulen,,Fort Worth,TX,76132,United States,817-370-9071,,,Monday-Saturday 10-9; Sunday 12-6,,0
First Colony,,16535 Southwest Fwy,,Sugarland,TX,77479,United States,281-980-5544,,,Monday-Saturday 10-9; Sunday 12-6,,0
Deerbrook Mall,,20131 Highway 59,,Humble,TX,77338,United States,281-446-8134,,,Monday-Saturday 10-9; Sunday 12-6,,0
Cielo Vista Mall,,8401 Gateway Blvd West,,El Paso,TX,79925,United States,915-772-2527,,,Monday-Saturday 10-9; Sunday 12-6,,0
Broadway Square,,4601 S. Broadway,,Tyler,TX,75703,United States,903-509-1029,,,Monday-Saturday 10-9; Sunday 12-6,,0
Baybrook Mall,,1020 Baybrook Mall,,Friendswood,TX,77546,United States,281-280-8663,,,Monday-Saturday 10-9; Sunday 11-7,,0
West Town,,7600 Kingston Pike,,Knoxville,TN,37919,United States,865-470-4858,,,Monday-Saturday 10-9; Sunday 12:30-6,,0
Barton Creek Square,,2901 Cap. of TX Hwy,,Austin,TX,78746,United States,512-327-6921,,,Monday-Saturday 10-9; Sunday 12-6,,0
Empire Mall,,4001 W. 41st,,Sioux Falls,SD,57106,United States,605-361-9771,,,Monday-Saturday 10-9; Sunday 11-7,,0
Haywood Mall,,700 Haywood Road,,Greenville,SC,29607,United States,864-234-7577,,,Monday-Saturday 10-9; Sunday 12:30-6,,0
Westgate Mall,,205 W. Blackstock Rd.,,Spartanburg,SC,29301,United States,864-587-6040,,,Monday-Saturday 10-9; Sunday 12-6,,0
Westmoreland Mall,,5256 Route 30 East,,Greensburg,PA,15601,United States,724-836-6615,,,Monday-Saturday 10-9:30; Sunday 11-5,,0
The Plaza at King of Prussia,,160 North Gulph Road,,King of Prussia,PA,19406,United States,610-265-8330,,,,,0
South Hills Village,,301 South Hills Village,,Pittsburgh,PA,15241,United States,412-835-9471,,,Monday-Saturday 10-9; Sunday 11-6,,0
Montgomery Mall-PA,,280 Montgomery Mall,,North Wales,PA,19454,United States,215-361-3457,,,Monday-Saturday 10-9; Sunday 11-6,,0
Oxford Valley,,2338 E. Lincoln Hwy.,,Langhorne,PA,19047,United States,215-741-6193,,,Monday-Saturday 10-9; Sunday 11-5,,0
Lehigh Valley Mall,,274 Lehigh Valley Mall,,Whitehall,PA,18052,United States,610-264-3543,,,Monday-Saturday 10-9; Sunday 11-6,,0
Brandywine,,1038 E. Lancaster Ave.,,Downingtown,PA,19335,United States,610-518-0664,,,Monday-Saturday 10-9; Sunday 11-5,,0
OUTLET - Woodburn Outlets,,1001 Arney Rd,,Woodburn,OR,97071,United States,503-981-1417,,,Monday-Saturday 10-7; Sunday 10-8,,0
Washington Square,,9618 SW Washington Sq. Rd.,,Portland,OR,97223,United States,503-670-7885,,,Monday-Saturday 10-9; Sunday 10-7,,0
Woodland Hills,,7021 S Memorial Dr.,,Tulsa,OK,74133,United States,918-254-1552,,,Monday-Saturday 10-9; Sunday 12-7,,0
Tulsa Promenade,,4107 S. Yale,,Tulsa,OK,74135,United States,918-665-6648,,,Monday-Saturday 10-9; Sunday 12-6,,0
Quail Springs,,2501 W. Memorial Rd.,,Oklahoma City,OK,73134,United States,405-752-9693,,,Monday-Saturday 10-9; Sunday 12-6,,0
Penn Square,,1901 NW Expressway,,Oklahoma City,OK,73118,United States,405-843-6020,,,Monday-Saturday 10-9; Sunday 12-6,,0
Tuttle Crossing,,5043 Tuttle Crossing Blvd.,,Dublin,OH,43016,United States,614-760-2590,,,Monday-Saturday 10-9; Sunday 12-6,,0
Fairfield Crossing,,"3286 Pentagon Park Blvd., Ste. G",,Beavercreek,OH,45431,United States,937-320-0036,,,Monday-Saturday 10-9; Sunday 12-6,,0
Dayton South,,2290 Miamisburg Centerville Rd.,,Dayton,OH,45459,United States,937-291-0186,,,Monday-Saturday 10-9; Sunday 12-6,,0
Belden Village,,4466 Everhard Road NW,,Canton,OH,44718,United States,330-497-7165,,,Monday-Saturday 10-9; Sunday 12-5,,0
West Acres,,3902 13th Ave S,,Fargo,ND,58103,United States,701-282-6341,,,Monday-Saturday 10-9; Sunday 12-6,,0
Columbia Mall-ND,,2800 S. Columbia Rd.,,Grand Forks,ND,58201,United States,701-746-7321,,,Monday-Saturday 10-9; Sunday 12-6,,0
Jacksonville Mall,,375 Jacksonville Mall,,Jacksonville,NC,28546,United States,910-353-2322,,,Monday-Saturday 10-9; Sunday 12-6,,0
Hanes Mall,,3320 Silas Creek Pkwy,,Winston-Salem,NC,27103,United States,336.659.9778,,,Monday-Saturday 10-9; Sunday 12:30-6,,0
Four Seasons Town Centre,,139 Four Seasons Town Centre,,Greensboro,NC,27407,United States,336-297-1977,,,Monday-Saturday 10-9; Sunday 12:30-6,,0
Cross Creek Mall,,419 Cross Creek Mall,,Fayetteville,NC,28303,United States,910-487-0070,,,10:00-9:00 Monday - Saturday; 12:00-6:00 Sunday,,0
Carolina Place,,"11025 Carolina Place Parkway, Space B-7",,Pineville,NC,28134,United States,704-544-1144,,,Monday-Saturday 10-9; Sunday 12-6,,0
Concord Mills,,8111 Concord Mills Blvd,,Concord Mills,NC,28027,United States,704-979-1809,,,Monday-Saturday 10-9; Sunday 12-7,,0
Asheville Mall,,3 South Tunnel Road,,Asheville,NC,28805,United States,828-296-1888,,,Monday-Saturday 10-9; Sunday 12-6,,0
