store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Acura Of Concord,,1340 Concord Avenue,,Concord,CA,94520,United States,,,,,,0
Acura of Pleasanton,,4355 Rosewood Drive,,Pleasanton,CA,94588,United States,,,,,,0
Acura of Riverside,,8101 Auto Drive,,Riverside,CA,92504,United States,,,,,,0
Hendrick Acura,,6824 E Independence Blvd,,Charlotte,NC,28227,United States,,,,,,0
Hendrick Acura Overland Park,,7727 Frontage Road,,Overland Park,KS,66204,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Performance Acura,,1814 Durham-Chapel Hill Boulevard,,Chapel Hill,NC,27514,United States,,,,,,0
Hendrick Alfa Romeo of Cary,,91 MacKenan Dr,,Cary,NC,27511,United States,,,,,,0
Hendrick Alfa Romeo of Fayetteville,,539 N McPherson Church Rd,,Fayetteville,NC,28303,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick of Concord,,7610 Hendrick Auto Plaza NW,,Concord,NC,28027,United States,,,,,,0
Rick Hendrick Alfa Romeo of North Charleston,,8355 Rivers Ave,,North Charleston,SC,29406,United States,,,,,,0
Audi Northlake,,10831 Northlake Auto Plaza Blvd,,Charlotte,NC,28269,United States,,,,,,0
Audi South Austin,,4738 IH-35 South,,Austin,TX,78745,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
BMW of Kansas City South,,1200 W. 104th St,,Kansas City,MO,64114,United States,,,,,,0
BMW of Murrieta,,26825 Auto Mall Pkwy,,Murrieta,CA,92562,United States,,,,,,0
East Bay BMW,,4350 Rosewood Drive,,Pleasanton,CA,94588,United States,,,,,,0
Hendrick Automotive Group,,6000 Monroe Road,,Charlotte,NC,28212,United States,,,,,,0
Hendrick BMW,,6950 E Independence Blvd,,Charlotte,NC,28227,United States,,,,,,0
Hendrick BMW Northlake,,10720 Northlake Auto Plaza Blvd,,Charlotte,NC,28269,United States,,,,,,0
Hendrick BMW of South Austin,,6000 Monroe Rd,,CHARLOTTE,NC,28212,United States,,,,,,0
