store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Westfield Topanga,,6600 Topanga Canyon Boulevard ,,Canoga Park ,CA,91303,United States,818.719.0281,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
South Coast Plaza,,3333 Bristol Street ,,Costa Mesa ,CA,92626,United States,714.557.1647,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-10PM; SATURDAY 10AM-8PM; SUNDAY 11AM-6:30PM,,0
Beverly Center,,8500 Beverly Boulevard ,,Los Angeles ,CA,90048,United States,310.358.9378,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-8PM; SUNDAY 11AM-6PM,,0
Fashion Valley,,7007 Friars Road ,,San Diego ,CA,92108,United States,619.296.4076,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
Valley Fair,,2855 Stevens Creek Boulevard ,,Santa Clara ,CA,95050,United States,408.244.0139,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 12/31 10AM-7PM; FRIDAY 1/1 10AM-7PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
Aventura Mall,,19501 Biscayne Boulevard ,,Aventura ,FL,33180,United States,305.935.7424,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 10AM-9:30PM; FRIDAY 10AM-9:30PM; SATURDAY 10AM-9:30PM; SUNDAY 12PM-8PM,,0
Town Center at Boca Raton,,6000 West Glades Road ,,Boca Raton ,FL,33431,United States,561.393.6408,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 12PM-6PM,,0
Dadeland Mall,,7535 N. Kendall Drive ,,Miami ,FL,33156,United States,305.667.3789,,,MONDAY 10AM-9:30PM; TUESDAY 10AM-9:30PM; WEDNESDAY 10AM-9:30PM; THURSDAY 10AM-9:30PM; FRIDAY 10AM-9:30PM; SATURDAY 10AM-9:30PM; SUNDAY 12PM-7PM,,0
The Mall at Millenia,,4200 Conroy Road ,,Orlando ,FL,32839,United States,407.903.1262,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-7PM,,0
The Gardens,,3101 PGA Boulevard ,,Palm Beach Gardens ,FL,33410,United States,561.625.4317,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 12PM-6PM,,0
International Plaza,,2223 N. West Shore Boulevard ,,Tampa ,FL,33607,United States,813.348.0671,,,MONDAY 10AM-9PM; TUESDAY 10AM-9PM; WEDNESDAY 10AM-9PM; THURSDAY 10AM-9PM; FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-6PM,,0
