store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Canaletto Ristorante Veneto Las Vegas,,The Venetian Hotel & Casino 3377 Las Vegas Boulevard South Suite 2440 ,,Las Vegas ,NV,89109,United States,702.733.0070,,,Sunday - Thursday 11:00am-11:00pm; Friday - Saturday 11:00am-Midnight,,0
Las Vegas,,New York-New York Hotel & Casino 3790 Las Vegas Boulevard South Suite 13 ,,Las Vegas ,NV,89109,United States,702.650.6500,,,Sunday - Thursday 7:30-11:00pm; Friday - Saturday 7:30-Midnight; Monday - Sunday 6:00am-6:00pm,,0
WOODLAND HILLS,,6320 Topanga Canyon Blvd. ,,Woodland Hills ,CA,91367,United States,818.297.1700,,,Monday-Thursday 11:30am-10:00pm; Friday 11:30am-10:00pm; Saturday 10:00am-11:00pm; Sunday 10:00am-10:00pm,,0
Walnut Creek,,1430 Mt. Diablo Boulevard ,,Walnut Creek ,CA,94596,United States,925.296.0100,,,Monday - Thursday 11:30am-10:00pm; Friday 11:30am-11:00pm; Saturday 11:00am-11:00pm; Sunday 10:00am-10:00pm,,0
DENVER TECH CENTER,,8000 East Belleview Avenue Ste. G-10 ,,Greenwood Village ,CO,80111,United States,303.221.8400,,,Monday - Friday 11:00am-10:00pm; Saturday Noon-10:00pm; Sunday 4:00pm-9:00pm,,0
San Jose,,(at The Westin San Jose) 302 South Market Street ,,San Jose ,CA,95113,United States,408.271.3366,,,Monday - Friday 6:30-10:30am & 11:30am-11:00pm; Saturday - Sunday 8:00am-11:00pm,,0
Seattle,,Pacific Place 600 Pine Street Suite 132 ,,Seattle ,WA,98101,United States,206.264.0994,,,Sunday - Thursday 11:30am-10:00pm; Friday - Saturday 11:30am-10:00pm; Sunday - Thursday 11:30am-9:00pm; Friday - Saturday 11:30am-10:00pm; Monday - Thursday 8:00am-6:00pm; Friday - Saturday 8:00am-7:00pm; Sunday 9:00am-6:00pm,,0
San Francisco,,Levi's Plaza 1265 Battery Street ,,San Francisco ,CA,94111,United States,415.986.0100,,,Monday - Friday 6:30am-10:00pm; Saturday - Sunday 9:00am-10:00pm; Monday - Friday 9:00am-3:00pm,,0
Sacramento,,Wells Fargo Center 400 Capitol Mall ,,Sacramento ,CA,95814,United States,916.446.4100,,,Monday - Friday 11:00am-10:00pm; Saturday 5:00pm-10:00pm; Sunday 4:00pm-9:00pm; Monday - Friday 7:00am-4:00pm,,0
Canaletto Ristorante Veneto Newport Beach,,Fashion Island 545 Newport Center Drive ,,Newport Beach ,CA,92660,United States,949.640.0900,,,Sunday - Thursday 11:30am-10:00pm; Friday - Saturday 11:30am-11:00pm,,0
