store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
THE MALL AT GREEN HILLS,8435,"2126 Abbott Martine Road, Suite 252",,NASHVILLE,TN,37215,United States,+1 615 292 2992,36.107504,-86.814796,Mon-Sat 10:00 - 21:00 ;  Sun 12:00 - 18:00 ,,0
BEVERLY CENTER,8433,"8500 Beverly Boulevard, Suite 772",,LOS ANGELES,CA,90048,United States,+1 310 855 9538,34.076026,-118.377213,Mon-Fri 10am-9pm ;  Sat 10am-8pm ;  Sun 11:00 - 18:00,,0
BUCKHEAD ATLANTA,8414,"Shops at Buckhead, 120 Buckhead Ave NE",,ATLANTA,GA,30305,United States,+1 (404) 475 2800,33.838231,-84.380888,Mon-Sat 10:00 - 19:00 ;  Sun 12:00 - 18:00 ,,0
THE MALL AT SHORT HILLS,8411,1200 Morris Turnpike,,SHORT HILLS,NJ,07078,United States,+1 973 564 8181,40.74013,-74.364863,Mon-Fri 10:00 - 21:00 ;  Sat 10:00 - 19:00 ;  Sun 11:00 - 18:00 ,,0
WESTFIELD TOPANGA,8427,"6600 Topanga Canyon Boulevard, Suite 47",,CANOGA PARK,CA,91303,United States,+1 818 340 7221,34.19043,-118.603766,Mon-Sat 10:00 - 20:00 ;  Sun 11:00 - 18:00 ,,0
SCOTTSDALE FASHION SQUARE,8425,"7014 East Camelback Road, Suite 1144",,SCOTTSDALE,AZ,85251,United States,+1 480 947 2067,33.502509,-111.929023,Mon-Fri 10:00 - 21:00 ;  Sun 11:00 - 18:00 ,,0
COPLEY PLACE,8417,"100 Huntington Avenue, Suite D021",,BOSTON,MA,02116,United States,+1 617 927 9570,42.347729,-71.078625,Mon-Sat 10:00 -20:00 ;  Sun 12:00 - 18:00 ,,0
THE SHOPS AT THE BRAVERN,8429,"11111 NE 8th Street, Suite 135",,BELLEVUE,WA,98004,United States,+1 425 646 1111,47.616648,-122.192643,Mon-Sat 10:00 - 20:00 ;  Sun 12:00 - 18:00 ,,0
THE FORUM SHOPS AT CAESAR'S PALACE,8416,"3500 Las Vegas Blvd. South, Suite H03B",,LAS VEGAS,NV,89109,United States,+1 702 691 2097,36.118601,-115.176157,Sun-Thur 10:00 - 23:00 ;  Fri-Sat 10:00 - 00:00 ,,0
FASHION VALLEY MALL,8426,"7007 Friars Road, Suite 390A",,SAN DIEGO,CA,92108,United States,+1 619 295 0303,32.767411,-117.165649,Mon - Fri 10:00 - 21:00 ;  Sun 11:00 - 19:00 ,,0
THE COLLECTION AT CHEVY CHASE,8415,"5481 Wisconsin Avenue, Suite D1",,CHEVY CHASE,MD,20815,United States,+1 240 223 1102,38.96354,-77.086851,Mon-Fri 10:00 - 19:00 ;  Sat 10:00 - 18:00 ;  Sun 12:00 - 18:00 ,,0
VILLAGE OF MERRICK PARK,8406,"360 San Lorenzo Avenue, Suite 1510",,CORAL GABLES,FL,33146,United States,+1 305 443 6124,25.721321,-80.271159,Mon-Sat 10:00 - 21:00 ;  Sun 12:00 - 18:00,,0
ALA MOANA SHOPPING CENTER,8418,"1450 Ala Moana Boulevard, Suite 2072",,HONOLULU,HAWAII,96814,United States,+1 808 946 5660,21.290463,-157.84373,Mon-Sat 9:30 - 21:00 ;  Sun 10:00 - 19:00,,0
THE MALL AT MILLENIA,8407,"4200 Conroy Road, Suite K288",,ORLANDO,FL,32839,United States,+1 407 352 6310,28.485565,-81.43155,Mon-Sat 10:00 -21:00 ;  Sun 11:00 - 19:00 ,,0
WAIKIKI - ROYAL HAWAIIAN CENTER,8437,HI 96815,,HONOLULU,HAWAII, 96815,United States,+1 (808) 922 4563,21.278045,-157.827944,Mon - Sun 10:00 - 22:30,,0
PALM BEACH,8413,244 Worth Avenue,,PALM BEACH,FL,33480,United States,+1 561 655 3635,26.700694,-80.038284,"May-June: Mon - Sat 10:00 - 18:00 , Sun CLOSED ; July -Nov: Mon - Sat 10:00 - 17:30 ; Sun CLOSED ",,0
GEARY STREET,8434,164 Geary Street,,SAN FRANCISCO,CA,94108,United States,+1 415 391 3300,37.787799,-122.406094,Mon-Sat 10:00 - 18:00 ;  Sun 12:00 - 18:00 ,,0
King of Prussia Mall,8440,350 Mall Blvd. Ste. C253,,King of Prussia,Pennsylvania,19406,United States,+1 610-557-0530,40.088129,-75.388111,Mon-Sat: 10am-9pm Sun: 11am-6pm,,0
BEVERLY HILLS,8402,240 North Rodeo Drive,,BEVERLY HILLS,CA,90210,United States,+1 310 860 9045,34.067503,-118.400948,Mon - Sat 10:00 - 18:00 ;  Sun 12:00 - 17:00 ,,0
