store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
The Ramona Family Feed and Pet Store,560,947 Main Street ,,Ramona ,CA,92065,United States,760-788-7785,,,M-F 8:00AM-6:30PM; Saturday 8:00AM-5:30PM; Sunday 9:00AM-5:00PM,,0
The Escondido West Family Pet Store,561,334 W. El Norte Pkwy ,,Escondido ,CA,92026,United States,(760) 489-8678,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
A Huntington Beach Family Pet Store,565,18681 Main St. # 102 ,,Huntington Beach ,CA,92648,United States,(714) 842-1841,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
A Rancho Bernardo Family Pet Store,562,11965-A Bernardo Plaza Dr ,,San Diego ,CA,92128,United States,(858) 487-3624,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Fallbrook Family Pet Store,602,1101-B S. Main Ave ,,Fallbrook ,CA,92028,United States,(760) 731-8360,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Carlsbad Family Pet Store,563,2616 El Camino Real ,,Carlsbad ,CA,92008,United States,(760) 434-2223,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Murrieta Family Feed and Pet Store,564,41711 Ivy St ,,Murrieta ,CA,92562,United States,(951) 461-6993,,,M-F 8:00AM-6:30PM; Saturday 8:00AM-6:00PM; Sunday 9:00AM-5:00PM,,0
The Escondido East Family Pet Store,600,1535 E. Valley Pkwy ,,Escondido ,CA,92027,United States,(760) 740-2426,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Grossmont Family Pet Store,604,5485 Grossmont Center Drive ,,La Mesa ,CA,91942,United States,(619) 463-2012,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Rancho San Diego Family Pet Store,609,2895-A Jamacha Rd ,,El Cajon ,CA,92019,United States,(619) 670-7041,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Solana Beach Family Pet Store,610,677 San Rodolfo Dr. ,,Solana Beach ,CA,92075,United States,(858) 793-6883,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Chino Hills Family Pet Store,611,4200 Chino Hills Pkwy Suite 740 ,,Chino Hills ,CA,91709,United States,(909) 606-9567,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Riverside Family Feed and Pet Store,612,16851 Van Buren Blvd ,,Woodcrest ,CA,92504,United States,(951) 776-0581,,,M-F 8:30AM-7:00PM; Saturday 8:30AM-7:00PM; Sunday 9:00AM-5:00PM,,0
The Temecula Family Pet Store,613,31845 Temecula Parkway # A ,,Temecula ,CA,92592,United States,(951) 303-3381,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Chatsworth Family Pet Store,615,10360 Mason Ave ,,Chatsworth ,CA,91311,United States,(818) 718-9850,,,Mon-Fri 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM; Mon-Sat 9:00AM-6:00PM; Sunday 10:00AM-6:00PM,,0
The Moorpark (Feed) Family Feed Store,616,360 High Street ,,Moorpark ,CA,93021,United States,(805) 523-7766,,,M-F 8:00AM-6:00PM; Saturday 8:00AM-6:00PM; Sunday CLOSED,,0
The La Mesa Family Pet Store,605,6525 Bisby Lake Ave ,,San Diego ,CA,92119,United States,(619) 337-0825,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Rancho Penasquitos Family Pet Store,608,13179 Black Mountain Rd. ,,San Diego ,CA,92129,United States,(858) 484-3121,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Poway Family Pet Store,607,13414 Poway Rd ,,Poway ,CA,92064,United States,(858) 679-1900,,,M-F 9:00AM-8:00PM; Saturday 9:00AM-8:00PM; Sunday 10:00AM-6:00PM,,0
The Norco Family Feed and Pet Store,1241,1004 6th Street ,,Norco ,CA,92860,United States,(951) 371-4000,,,M-S 8:00AM-7:00PM; Sunday 9:00AM-6:00PM,,0
