store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Tampa - TOWN & COUNTRY,1,5660 West Waters Avenue,,Tampa,FL,33634,United States,8138065765,28.02511,-82.541289,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Riverview,2,13110 S US Highway 301,,Riverview,FL,33578,United States,8135335096,27.795983,-82.334095,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Brandon,3,841 Lithia Pinecrest Rd,,Brandon,FL,33511,United States,8139823500,27.925378,-82.271514,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Clearwater,4,2165 Gulf to Bay Blvd,,Clearwater,FL,33765,United States,7274313101,27.960264,-82.748336,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
St Petersburg,5,2701 Tyrone Blvd,,St Petersburg,FL,33710,United States,7273477223,27.796833,-82.733099,"8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun

",,0
Tampa - NEW TAMPA,6,17325 Dona Michelle Dr,,Tampa,FL,33647,United States,8135580882,28.124641,-82.370047,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
LARGO,7,1190 Missouri Avenue North,,LARGO,FL,33770,United States,7272181050,27.927343,-82.787183,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
New Port Richey,8,5444 Little Rd,,New Port Richey,FL,34655,United States,7277530017,28.238522,-82.672056,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Plant City,9,2103 James L Redman Pkwy,,Plant City,FL,33563,United States,8137562483,27.992517,-82.122037,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Bradenton,10,6008 Lakewood Ranch Blvd,,Bradenton,FL,34211,United States,9412380193,27.43463,-82.42887,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Lakeland,11,5120 Dave Robbins Way,,Lakeland,FL,33812,United States,8639370700,27.971938,-81.883493,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
Gainesville,12,3545 W University Ave,,Gainesville,FL,32607,United States,3522449842,29.651841,-82.376159,8:00AM to 6:00PM Mon - Fri; 7:30AM to 5:00PM Sat; Closed on Sun,,0
