store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"Danville, Illinois",,3215 North Vermilion,,Danville,IL,61832,Canada,217-446-1237,40.1757045,-87.6295962,Su 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Vincennes, Indiana",,1626 Willow,,Vincennes,IN,47591,Canada,812-882-2818,38.6598666,-87.5311894,Su 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Greenfield, Indiana",,1945 N State St,,Greenfield,IN,46140,Canada,317-468-1000,39.811392,-85.768912,Su 11:00-22:00 ; Mo 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Anderson, Indiana",,6370 Scatterfield Rd,,Anderson,IN,46013,Canada,765-649-8000,40.0516641,-85.6521271,Su 11:00-22:00 ; Mo 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Edinburgh, Indiana",,3720 Market Place Dr,,Edinburgh,IN,46124,Canada,812-526-6600,39.3122319,-85.9643417,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Newton, Iowa",,1400 W 18th Street South,,Newton,IA,50208,Canada,641-792-4582,41.6868433,-93.0763305,Su 11:00-22:00 ; Mo 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Des Moines, Iowa",,5030 NE 14th St,,Des Moines,IA,50313,Canada,515-528-2010,41.6525702,-93.6011652,Su 11:00-22:00 ; Mo 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Lawrence, Kansas-CLOSED",,1015 Iowa,,Lawrence,KS,66044,Canada,785-749-3005,38.9651759,-95.2609099,,,0
"Branson, Missouri",,3225 W Highway 76,,Branson,MO,65616,Canada,417-334-2766,36.6379425,-93.2795705,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Miami, Oklahoma",,840 N. Main,,Miami,OK,74354,Canada,918-542-8808,36.8850176,-94.877102,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Emporia, Kansas",,3010 Eagle Crest Drive,,Emporia,KS,66801,Canada,620-343-7481,38.4211146,-96.2194189,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Bartlesville, Oklahoma",,3825 SE Adams,,Bartlesville,OK,74006,Canada,918-333-2666,36.7438282,-95.9331738,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Newton, Kansas",,1109 E 1st,,Newton,KS,67114,Canada,316-283-7233,38.042404,-97.3270752,Su 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"McPherson, Kansas",,2211 East Kansas,,McPherson,KS,67460,Canada,620-241-1422,38.3720183,-97.6253624,Su 07:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 07:00-22:00 ; ,,0
"Winfield, Kansas",,3727 Quail Ridge Rd,,Winfield,KS,67156,Canada,620-221-0069,37.2113613,-96.994339,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Poteau, Oklahoma",,201 Hillview Parkway,,Poteau,OK,74953,Canada,918-649-0350,35.0974701,-94.6308558,Su 11:00-20:00 ; Mo 16:00-21:00 ; Tu 16:00-21:00 ; We 16:00-21:00 ; Th 16:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"El Reno, Oklahoma",,1609 SW 27th,,El Reno,OK,73036,Canada,405-422-1100,35.5062248,-97.9736919,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Dodge City, Kansas",,700 W Wyatt Earp Blvd,,Dodge City,KS,67801,Canada,620-408-9551,37.7536055,-100.0230771,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Colby, Kansas",,1855 South Range,,Colby,KS,67701,Canada,785-462-7178,39.3621661,-101.0550087,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Clinton, Oklahoma",,2020 Lexington,,Clinton,OK,73601,Canada,580-323-3333,35.501138243929084,-98.98503068255616,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"New Braunfels, Texas",,1153 Oasis,,New Braunfels,TX,78130,Canada,830-620-1234,29.7017754,-98.0972402,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:30 ; Sa 11:00-22:30 ; ,,0
"Victoria, Texas",,6409 N Navarro Road,,Victoria,TX,77904,Canada,361-576-0333,28.8550578,-96.997706,Su 11:00-21:00 ; Mo 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
"Corpus Christi, Texas",,6542 S Staples,,Corpus Christi,TX,78413,Canada,361-980-9191,27.683422,-97.3843842,Su 11:00-21:00 ; Mo 11:00-21:00 ; Tu 11:00-21:00 ; We 11:00-21:00 ; Th 11:00-21:00 ; Fr 11:00-22:00 ; Sa 11:00-22:00 ; ,,0
"Laredo, Texas",,2445 San Isidro Parkway,,Laredo,TX,78045,Canada,956-729-1790,27.6030791,-99.4763377,Su 11:00-22:00 ; Mo 11:00-22:00 ; Tu 11:00-22:00 ; We 11:00-22:00 ; Th 11:00-22:00 ; Fr 11:00-23:00 ; Sa 11:00-23:00 ; ,,0
