store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Aisle1,,2681 Blanding Avenue ,,Alameda ,CA,94501,United States, 510-814-8800 ,,,5am - 10pm,,0
Aisle1,,5345 Hazel Avenue ,,Fair Oaks ,CA,95628,United States, 916-967-7541 ,,,5am - 11pm,,0
Aisle1,,25045 Blue Ravine Rd. ,,Folsom ,CA,95630,United States, 916-351-1151 ,,,5am - 11pm,,0
Aisle1,,10450 Twin Cities Road ,,Galt ,CA,95632,United States, (209) 745-4705 ,,,5am - 11pm,,0
Aisle1,,43 Lincoln Blvd. ,,Lincoln ,CA,95648,United States, (916) 408-5775 ,,,5am - 11pm,,0
Aisle1,,3020 Floyd Avenue Suite 189 ,,Modesto ,CA,95355,United States, (209) 551-2050 ,,,5am - 11pm,,0
Aisle1,,1690 Robb Drive ,,Reno ,NV,89523,United States, 775-746-6400 ,,,5am - 11pm,,0
Aisle1,,2325 Sunset Blvd. ,,Rocklin ,CA,95765,United States, 916-632-2970 ,,,,,0
Aisle1,,3250 Arena Blvd ,,Sacramento ,CA,95834,United States, 916-419-8844 ,,,5am - 10pm,,0
Aisle1,,1020 Emerald Bay Rd. ,,South Lake Tahoe ,CA,96150,United States, 530-542-1017 ,,,,,0
Aisle1,,2433 Wingfield Hills Road ,,Sparks ,NV,89436,United States, 775-626-8300 ,,,5am - 11pm,,0
Aisle1,,4219 East Morada Lane ,,Stockton ,CA,95212,United States, 209-956-9300 ,,,5am - 11pm,,0
Aisle1,,1813 East Gibson Road ,,Woodland ,CA,95776,United States, (530) 668-4422 ,,,5am - 11pm,,0
Bel Air,,7901 Walerga Rd. ,,Antelope ,CA,95843,United States, 916-725-0333 ,,,6 am - 11 pm,,0
Bel Air,,2222 Grass Valley Hwy. ,,Auburn ,CA,95603,United States, 530-889-8626 ,,,6 am - 11 pm,,0
Bel Air,,3510 Palmer Dr. ,,Cameron Park ,CA,95682,United States, 530-676-0512 ,,,6 am - 11 pm,,0
Bel Air,,4005 Manzanita Ave. ,,Carmichael ,CA,95608,United States, 916-483-2691 ,,,6 am - 11 pm,,0
Bel Air,,8425 Elk Grove Florin ,,Elk Grove ,CA,95624,United States, 916-681-5775 ,,,6 am - 11 pm,,0
Bel Air,,9435 Elk Grove Blvd ,,Elk Grove ,CA,95624,United States, 916-714-6996 ,,,6 am - 11 pm,,0
Bel Air,,5100 Laguna Blvd. ,,Elk Grove ,CA,95758,United States, 916-684-7000 ,,,6 am - 11 pm,,0
Bel Air,,2760 East Bidwell ,,Folsom ,CA,95630,United States, 916-983-8844 ,,,6 am - 11 pm,,0
Bel Air,,2155 Golden Centre Lane ,,Gold River ,CA,95670,United States, 916-858-0494 ,,,6 am - 11 pm,,0
Bel Air,,2341 Sunset Blvd. ,,Rocklin ,CA,95765,United States, 916-632-0180 ,,,6 am - 11 pm,,0
Bel Air,,4008 Foothills Blvd. ,,Roseville ,CA,95747,United States, 916-783-1173 ,,,6 am - 11 pm,,0
Bel Air,,1039 Sunrise Ave. ,,Roseville ,CA,95661,United States, 916-786-6101 ,,,6 am - 11 pm,,0
Bel Air,,7465 Rush River Dr. ,,Sacramento ,CA,95831,United States, 916-399-9091 ,,,6 am - 11 pm,,0
Bel Air,,4320 Arden Way ,,Sacramento ,CA,95864,United States, 916-972-0555 ,,,6 am - 11 pm,,0
Bel Air,,3250 Arena Blvd ,,Sacramento ,CA,95834,United States, 916-419-8844 ,,,6 am - 11 p.m,,0
Bel Air,,1301 Florin Rd. ,,Sacramento ,CA,95831,United States, 916-421-6766 ,,,6 am - 11 pm,,0
Bel Air,,6231 Fruitridge Rd. ,,Sacramento ,CA,95820,United States, 916-739-8647 ,,,6 am - 11 pm,,0
Bel Air,,1540 W. El Camino Ave. ,,Sacramento ,CA,95833,United States, 916-920-2493 ,,,6 am - 11 pm,,0
Bel Air,,1885 East Gibson Road ,,Woodland ,CA,95776,United States, 530-668-4422 ,,,6 am - 11 pm,,0
Bel Air,,1286 Stabler Lane ,,Yuba City ,CA,95993,United States, 530-755-3991 ,,,6 am - 11 pm,,0
Food Source,,26905 Mission Blvd. ,,Hayward ,CA,94544,United States, 510-728-0240 ,,,6 am - 11 pm,,0
Food Source,,1375 Buchanan Rd. ,,Pittsburg ,CA,94565,United States, 925-432-1900 ,,,7 am - 10 pm,,0
Food Source,,4047 So. Virginia St. ,,Reno ,NV,89502,United States, 775-825-2151 ,,,7am - 11pm,,0
Food Source,,430 Elkhorn Blvd. ,,Rio Linda ,CA,95673,United States, 916 991-1435 ,,,6 am - Midnight,,0
Food Source,,4401 Broadway ,,Sacramento ,CA,95817,United States, 916-451-2446 ,,,6 am - 11 pm,,0
Food Source,,3547 Bradshaw Road ,,Sacramento ,CA,95827,United States, 916-854-4524 ,,,6 am - Midnight,,0
Food Source,,6366 Mack Road ,,Sacramento ,CA,95823,United States, 916-392-0693 ,,,6 am - Midnight,,0
Food Source,,2323 West Hammer Lane ,,Stockton ,CA,95209,United States, 209-955-1475 ,,,6 am - 10 pm,,0
Nob Hill Foods,,2531 Blanding Avenue ,,Alameda ,CA,94501,United States, 510-814-8800 ,,,600 am to 1100 pm,,0
Nob Hill Foods,,1602 W. Campbell Ave. ,,Campbell ,CA,95008,United States, 408-379-6650 ,,,6-11 Mon-Sat    6-10 Sun,,0
Nob Hill Foods,,809 Bay Avenue ,,Capitola ,CA,95010,United States, 831-476-5600 ,,,6-11 Mon-Sat    6-10 Sun,,0
Nob Hill Foods,,777 First Street ,,Gilroy ,CA,95020,United States, 408-847-4857 ,,,6 am - 11 pm,,0
Nob Hill Foods,,1700 Airline Hwy. ,,Hollister ,CA,95023,United States, 831-637-7447 ,,,6 am - 11 pm,,0
Nob Hill Foods,,919 East Stanley ,,Livermore ,CA,94550,United States, 925-443-9500 ,,,6 am - 11 pm,,0
Nob Hill Foods,,15710 Los Gatos Blvd. ,,Los Gatos ,CA,95030,United States, 408-356-0421 ,,,6-11 Mon-Sat    6-10 Sun,,0
Nob Hill Foods,,520 Center Avenue ,,Martinez ,CA,94553,United States, 925-370-9400 ,,,6 am  to 11 pm,,0
Nob Hill Foods,,900 Lighthouse Ave. ,,Monterey ,CA,93940,United States, 831-375-8220 ,,,6-11 Mon-Sat    6-10 Sun,,0
Nob Hill Foods,,451 Vineyard Town Center ,,Morgan Hill ,CA,95037,United States, 408-779-8485 ,,,6-11 Mon-Sat    6-10 Sun,,0
Nob Hill Foods,,1250 Grant Road ,,Mountain View ,CA,94040,United States, 650-390-9222 ,,,600 a.m - 1100 p.m.,,0
Nob Hill Foods,,611 Trancas Street ,,Napa ,CA,94558,United States, 707-224-8583 ,,,6 am - 11 pm,,0
Nob Hill Foods,,1945 N Street ,,Newman ,CA,95360,United States, 209-862-1002 ,,,6 am - 10 pm,,0
Nob Hill Foods,,270 Redwood Shores Pkwy. ,,Redwood City ,CA,94065,United States, 650-654-2106 ,,,6 am - 11 pm,,0
Nob Hill Foods,,1320 S. Main Street ,,Salinas ,CA,93901,United States, 831-758-8481 ,,,6am-12am Mon-Sat  6-11 Sun,,0
Nob Hill Foods,,6061 Snell Avenue ,,San Jose ,CA,95123,United States, 408-225-0546 ,,,6-11 Mon-Sat  6 -10 Sun,,0
Nob Hill Foods,,130 Market Place ,,San Ramon ,CA,94583,United States, 925-866-1022 ,,,6 am - 10 pm,,0
Nob Hill Foods,,222 Mt. Hermon Road ,,Scotts Valley ,CA,95066,United States, 831-438-1611 ,,,6-11 Mon-Sat    6-10 Sun,,0
Nob Hill Foods,,2270 Oak Grove Road ,,Walnut Creek ,CA,94598,United States, 925-256-7188 ,,,6 am - 10 pm,,0
Nob Hill Foods,,1912 Main Street ,,Watsonville ,CA,95076,United States, 831-728-9555 ,,,6-11 Mon-Sat    6-10 Sun,,0
