store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
RediClinic Wilmington,248,1718 Marsh Road ,,Wilmington ,DE,19810,United States,302.478.7200,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Sulphur Spring,223,1400 Sulphur Spring Road ,,Baltimore ,MD,21227,United States,410.737.9221,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic York Road,223,6300 York Road ,,Baltimore ,MD,21212,United States,410.323.0838,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Riverdale Park,204,6130 Baltimore Avenue ,,Riverdale ,MD,20737,United States,301.699.5004,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Reisterstown,202,11917-19 Reisterstown Rd ,,Reisterstown ,MD,21136,United States,410.833.0183,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Severna Park,208,25 Jones Station Road ,,West Severna Park ,MD,21146,United States,410.647.0451,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Pikesville,197,101 Reisterstown Road ,,Pikesville ,MD,21208,United States,410.486.8600,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Ellicott City,162,8601 Baltimore National Pike ,,Ellicott City ,MD,21043,United States,410.480.1377,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Largo,179,9810 Apollo Drive ,,Largo ,MD,20774,United States,301.322.9027,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Englar,163,250 Englar Road Ste 22 ,,Westminster ,MD,21157,United States,410.876.1513,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Silver Spring 2,213,8701 Georgia Ave ,,Ste Silver Spring ,MD,20910,United States,301.562.7390,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Silver Spring,213,13870 Georgia Avenue ,,Silver Spring ,MD,20906,United States,301.871.6400,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Spring Lake,246,,,,,,United States,,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Sterling,219,20800 Great Falls Plaza ,,Sterling ,VA,20165,United States,703.421.4020,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Bulverde,152,20725 Hwy 46 ,,West Spring Branch ,TX,78070,United States,830.980.4000,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Arlington,135,17226 Smokey Point ,,Arlington ,WA,98223,United States,360.657.4410,,,Tomorrow 8:00AM - 8:00PM; Saturday 9:00AM - 6:00PM; Sunday 9:00AM - 6:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Woodinville,250,14035 NE ,,Woodinville-Duvall Woodinville ,WA,98072,United States,425.485.6468,,,Tomorrow 8:00AM-4:00PM; Saturday Closed; Sunday Closed; Monday 8:00AM-4:00PM; Tuesday 8:00AM-4:00PM; Wednesday 8:00AM-4:00PM; ,,0
RediClinic Trevose,252,1860 Brownsville Road ,,Trevose ,PA,19053,United States,215.322.4107,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic West Chester 2,243,1307 Phoenixville Pike ,,West Chester ,PA,19380,United States,484.356.9330,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic West Chester 1,243,1535 West Chester Pike ,,West Chester ,PA,19382,United States,610.692.2730,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Owings Mills,195,9300 Lakeside Boulevard ,,Owings Mills ,MD,21117,United States,410.363.8066,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Wayne,240,237 East Lancaster Ave ,,Wayne ,PA,19087,United States,610.293.1496,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Warminster,237,599 York Road ,,Warminster ,PA,18974,United States,215.674.0122,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Newtown Square,190,3599 West Chester Pike ,,Newtown Square ,PA,19073,United States,610.353.0294,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Media,182,510 East Baltimore Pike ,,Media ,PA,19063,United States,610.566.3218,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
RediClinic Norristown,191,762 East Johnson Highway ,,Norristown ,PA,19401,United States,610.272.5401,,,Tomorrow 8:00AM - 8:00PM; Saturday 8:00AM - 5:00PM; Sunday 8:00AM - 5:00PM; Monday 8:00AM - 8:00PM; Tuesday 8:00AM - 8:00PM; Wednesday 8:00AM - 8:00PM; ,,0
