store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Yorktown Center,10006,222 Yorktown Center Suite 218,,Lombard ,IL,60148,United States,(630) 627-6467,41.8402600000,-88.0070000000,M-F: 10AM - 9PM; SAT: 10AM - 9PM; SUN: 11AM - 6PM; ,,0
Westfield Old Orchard,10003,4999 Old Orchard Center Suite A18,,Skokie ,IL,60077,United States,(847) 329-7200,42.0583300000,-87.7492000000,M-F: 10AM - 9PM; SAT: 10AM - 9PM; SUN: 11AM - 6PM; ,,0
Water Tower Place,10026,835 N. Michigan Ave.,,Chicago ,IL,60611,United States,(312) 944-4300,41.8979900000,-87.6232000000,,,0
Fox Valley Mall,10014,1104 Fox Valley Center,,Aurora ,IL,60504,United States,(630) 851-5313,41.7584000000,-88.2124000000,,,0
Meridian Mall,20110,1982 W. Grand River Ave. Suite 238,,Okemos ,MI,48864,United States,(517) 657-6200,42.7251400000,-84.4195000000,,,0
Harlem Irving Plaza,10037,4190 North Harlem Ave.,,Norridge ,IL,60706,United States,(708) 453-3900,41.9633600000,-87.8273000000,M-F: 10AM - 9PM; SAT: 10AM - 9PM; SUN: 11AM - 6PM; ,,0
Oakbrook Center,10005,448 Oakbrook Center Mall,,Oak Brook ,IL,60523,United States,(630) 571-7400,41.8497900000,-87.9521000000,M-F: 10AM - 9PM; SAT: 10AM - 9PM; SUN: 11AM - 6PM; ,,0
North Riverside Park Mall OUTLET,10015,7501 West Cermak Suite 102,,North Riverside ,IL,60546,United States,(708) 442-6300,41.8469600000,-87.8108000000,,,0
Chicago Ridge Mall,10002,390 Chicago Ridge Mall Suite G5,,Chicago Ridge ,IL,60415,United States,(708) 423-6667,41.7156100000,-87.7825000000,M-F: 10AM - 9PM; SAT: 10AM - 8PM; SUN: 11AM - 6PM; ,,0
The Crossroads,20063,6650 South Westnedge Ave.,,Portage ,MI,49024,United States,(269) 324-2500,42.2202800000,-85.5943000000,,,0
Burnsville Center,25065,1178 Burnsville Center Suite 1086,,Burnsville ,MN,55306,United States,(651) 286-0100,44.7439100000,-93.2887000000,,,0
Mall of America,25086,146 West Market,,Bloomington ,MN,55425,United States,(952) 814-9400,44.8548100000,-93.2434000000,,,0
River Hills Mall,25082,1850 Adams St. Suite 110,,Mankato ,MN,56001,United States,(507) 344-0400,44.1729900000,-93.9539000000,,,0
Louis Joliet Mall,10099,3340 Mall Loop Drive 1352,,Joilet ,IL,60431,United States,(815) 267-8200,41.5761900000,-88.1652000000,,,0
Lakeview Square,20021,5775 Beckley Rd.,,Battle Creek ,MI,49015,United States,(269) 979-9700,42.2631400000,-85.1841000000,,,0
Orland Square Mall,10017,208 Orland Square Dr,,Orland Park ,IL,60462,United States,(708) 349-3100,41.6196900000,-87.8478000000,MON - FRI 10AM - 9PM; SATURDAY 10AM - 9PM; SUNDAY 11AM - 6PM; ,,0
River Oaks Center,10016,96 River Oaks Center Suite B15,,Calumet City ,IL,60409,United States,(708) 862-7500,41.5979100000,-87.5550000000,,,0
Northwoods Mall,10073,2200 West War Memorial Dr.,,Peoria ,IL,61613,United States,(309) 685-2500,40.7408300000,-89.6277000000,,,0
Apache Mall,25064,245 Apache Mall,,Rochester ,MN,55902,United States,(507) 252-5800,44.0044200000,-92.4794000000,,,0
Oakwood Mall,40058,4800 Golf Road,,Eau Claire ,WI,54701,United States,(715) 831-9800,44.7748100000,-91.4418000000,M-F: 10AM - 9PM; SAT: 10AM - 9PM; SUN: 11AM - 6PM; ,,0
Wausau Center,40070,C-302 Wausau Center Suite B216,,Wausau ,WI,54403,United States,(715) 845-6000,44.9580700000,-89.6279000000,MONDAY-FRIDAY 10AM-9PM; SATURDAY 10AM-9PM; SUNDAY 11AM-6PM; ,,0
Bay Park Square,40081,219 Bay Park Square,,Ashwaubenon ,WI,54304,United States,(920) 490-8900,44.4840500000,-88.0654000000,,,0
Valley View Mall,40072,3800 State Road 16,,La Crosse ,WI,54601,United States,(608) 781-9300,43.8679900000,-91.1971000000,,,0
Bay Park Square,40048,169 Bay Park Square,,Ashwaubenon ,WI,54304,United States,(920) 490-0100,44.4839800000,-88.0655000000,,,0
Mayfair Mall,40061,2500 North Mayfair Rd. Suite M226,,Wauwatosa ,WI,53226,United States,(414) 607-9700,43.0638100000,-88.0447000000,,,0
Regency Mall,40042,5686 Durand Ave. Suite 208,,Racine ,WI,53406,United States,(262) 598-0500,42.6995300000,-87.8482000000,,,0
East Towne Mall,40045,164 East Towne Mall Suite 614,,Madison ,WI,53704,United States,(608) 246-0300,43.1251300000,-89.3051000000,,,0
Brookfield Square,40043,95 N. Moorland Rd. Suite C11,,Brookfield ,WI,53005,United States,(262) 827-8900,43.0325100000,-88.1095000000,,,0
The Lakes Mall,20106,5600 Harvey Street Suite 2040,,Muskegon ,MI,49444,United States,(231) 767-6100,43.1503900000,-86.2022000000,,,0
Southridge Mall,40034,5300 South 76th St.,,Greendale ,WI,53129,United States,(414) 423-0465,42.9482000000,-88.0046000000,,,0
Fox River Mall,40035,4301 West Wisconsin Ave.,,Appleton ,WI,54913,United States,(920) 738-0908,44.2695400000,-88.4705000000,,,0
Walden Galleria,60150,One Walden Galleria D224,,Buffalo ,NY,14225,United States,(716) 706-2900 ,42.9126026000,-78.7633966000,,,0
West Towne Mall,40044,201 West Towne Mall Suite A1a,,Madison ,WI,53719,United States,(608) 833-1600,43.0572800000,-89.5059000000,,,0
CherryVale Mall,10020,7200 Harrison Avenue Suite 53,,Rockford ,IL,61112,United States,(815) 332-3400,42.2461700000,-88.9758000000,,,0
Hawthorn Mall,10009,617 Hawthorn Center,,Vernon Hills ,IL,60061,United States,(847) 367-1417,42.2428000000,-87.9498000000,M-F: 10AM - 9PM; SAT: 10AM - 9PM; SUN: 11AM - 6PM; ,,0
Spring Hill Mall,10022,1026 Spring Hill Mall,,West Dundee ,IL,60118,United States,(847) 428-5900,42.1027200000,-88.2950000000,,,0
Janesville Mall,40041,2500 Milton Ave. Suite 110,,Janesville ,WI,53545,United States,(608) 531-7500,42.7117100000,-88.9990000000,,,0
Woodfield Mall,10025,5 Woodfield Mall Suite E135,,Schaumburg ,IL,60173,United States,(847) 619-2900,42.0455100000,-88.0372000000,M-F: 8AM - 12AM; SAT: 7AM - 6PM; SUN: 11AM - 6PM; ,,0
