store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
 Costa Mesa - South Coast Collection (SOCO),,3309 Hyland Avenue # A ,,Costa Mesa ,CA,92626,United States,714.549.5995,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Culver City,,8707 Washington Boulevard ,,Culver City ,CA,90232,United States,310.736.9100,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 11 a.m. to 7 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 San Diego,,4545 La Jolla Village Drive ,,San Diego ,CA,92122,United States,,,, ;  ;  ; ,,0
 San Francisco,,685 Seventh Street ,,San Francisco ,CA,94103,United States,415.252.9280,,,Monday - Friday 10 a.m. to 7 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Denver,,222 Detroit Street ,,Denver ,CO,80206,United States,303.322.6462,,,Monday - Friday 10 a.m. to 6 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Atlanta,,1170 Howell Mill Road NW ,,Atlanta ,GA,30318,United States,404.682.5900,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 12 p.m. to 5 p.m.; ,,0
 Chicago - Downtown,,55 East Ohio Street ,,Chicago ,IL,60611,United States,312.222.0970,,,Monday - Friday 10 a.m. to 8 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Oak Brook,,2525 West 22nd Street ,,Oak Brook ,IL,60523,United States,630.571.7801,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Skokie,,10071 Skokie Boulevard ,,Skokie ,IL,60077,United States,847.673.2655,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Boston,,375 Newbury Street ,,Boston ,MA,02115,United States,617.351.0020,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 11 a.m. to 7 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Edina,,7010 France Avenue South ,,Edina ,MN,55435,United States,952.927.8835,,,Monday - Friday 10 a.m. to 8 p.m.; Saturday 10 a.m. to 6 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Golden Valley - Weekend Outlet,,4600 Olson Memorial Highway ,,Golden Valley ,MN,55422,United States,,,,Monday - Friday Closed; Saturday 10 a.m. to 4 p.m.; Sunday 12 p.m. to 4 p.m.; ,,0
 New York City - Chelsea,,236 West 18th Street ,,New York ,NY,10011,United States,212.204.7384,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 11 a.m. to 7 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 New York City - SoHo Leather Gallery,,105 Wooster Street ,,New York ,NY,10012,United States,212.204.7384,,,Thursday - Monday 12 p.m. to 5 p.m.; Tuesday - Wednesday closed; ,,0
 Portland,,380 Northwest 13th Avenue ,,Portland ,OR,97209,United States,503.200.6900,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 11 a.m. to 7 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
 Seattle,,2675 NE University Village St. ,,Seattle ,WA,98105,United States,206.336.4676,,,Monday - Friday 10 a.m. to 9 p.m.; Saturday 10 a.m. to 7 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
" Washington, D.C.",,1840 14th Street NW ,,Washington ,D.C.,20009,United States,202.729.8300,,,Monday - Friday 11 a.m. to 7 p.m.; Saturday 11 a.m. to 7 p.m.; Sunday 11 a.m. to 6 p.m.; ,,0
