store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
GARDEN CITY,1212359306,1540 LAREU STREET,SCHULMAN CROSSING,GARDEN CITY,KS,67846,United States,620-805-3442,37.978809372345,-100.83428059965,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
GRAND ISLAND,279993670,"2250 N WEBB ROAD, SUITE 200",NORTHWEST COMMONS,GRAND ISLAND,NE,68803,United States,308-392-3226,40.943745,-98.381574,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
BRIGHTON,1571527465,2269 PRAIRIE CENTER PARKWAY,PRAIRIE CENTER,BRIGHTON,CO,80601,United States,720-685-1701,39.9552,-104.782,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
SOUTH AURORA,1571527377,"15400 EAST BRIARWOOD CIRCLE, UNIT A",CORNERSTAR,AURORA,CO,80016,United States,303-617-7930,39.5929,-104.809,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
AURORA,1571527464,1200 S. IRONTON STREET,Gardens on Havana,AURORA,CO,80012,United States,303-755-0410,39.6944,-104.863,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
LOVELAND,1571527301,5875 SKY POND DRIVE,PROMENADE SHOPS AT CENTERRA,LOVELAND,CO,80537,United States,970-461-9762,40.4157,-104.991,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
LITTLETON,1571527427,8435 PARK MEADOWS CENTER DRIVE,PARK MEADOWS MALL,LITTLETON,CO,80124,United States,720-479-0600,39.5634,-104.876,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
LARKRIDGE,1571527298,16521 WASHINGTON STREET,LARKRIDGE SHOPPING CENTER,THORNTON,CO,80023,United States,303-280-6153,39.9959,-104.982,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
LONGMONT,1571527344,210 KEN PRATT BLVD,HARVEST JUNCTION,LONGMONT,CO,80501,United States,303-682-5740,40.1538,-105.097,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
LAKEWOOD,1571527442,7313 WEST ALASKA DRIVE,BELMAR CENTER,LAKEWOOD,CO,80226,United States,303-600-2600,39.7097,-105.078,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
BROOMFIELD,1571527417,31 WEST FLATIRON CROSSING DRIVE,FLATIRON CROSSING,BROOMFIELD,CO,80021,United States,720-887-0900,39.9339,-105.133,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
COLORADO SPRINGS,1571527423,3133 CINEMA POINT,FIRST AND MAIN TOWER CENTER,COLORADO SPRINGS,CO,80922,United States,719-638-3400,38.8793,-104.717,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
LITTLETON,1571527333,8501 WEST BOWLES AVENUE,SOUTHWEST PLAZA,LITTLETON,CO,80123,United States,720-981-0618,39.6131,-105.095,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
COLORADO SPRINGS,1571527350,1710 BRIAR GATE BLVD,CHAPEL HILLS MALL,COLORADO SPRINGS,CO,80920,United States,719-264-1810,38.9468,-104.796,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
DENVER WEST (LAKEWOOD),956726202,14500 W COLFAX AVENUE,COLORADO MILLS MALL,LAKEWOOD,CO,80401,United States,,39.730224,-105.161213,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
PUEBLO,956726171,5945 N ELIZABETH STREET,PUEBLO CROSSING,PUEBLO,CO,81008,United States,719 696 3096,38.33413,-104.62359,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
SALINA,1929529435,2450 9TH STREET,MIDSTATE PLAZA,SALINA,KS,67401,United States,785-827-3540,38.797507,-97.615742,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
MANHATTAN,1571527558,401 3RD PLACE,MANHATTAN MARKETPLACE,MANHATTAN,KS,66502,United States,785-539-7800,39.1851,-96.5605,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
WICHITA,1571527196,4600 W. KELLOGG DRIVE,TOWNE WEST CENTER,WICHITA,KS,67209,United States,316-942-0910,37.678,-97.4014,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
WICHITA,1571527198,2057 N. ROCK ROAD,TALL GRASS CENTER,WICHITA,KS,67206,United States,316-682-6811,37.7211,-97.2468,MON 09:00 - 21:30; TUE 09:00 - 21:30; WED 09:00 - 21:30; THU 09:00 - 21:30; FRI 09:00 - 21:30; SAT 09:00 - 21:30; SUN 10:00 - 19:00,,0
