store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Samuels Jewelers - Rimrock Mall,731,300 S 24th St W Ste D6,,Billings,MT,59102,United States,(406) 656-7224,45.7663944000,-108.5800058000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Northtowne Mall,454,1500 North Clinton Ste 15,,Defiance,OH,43512,United States,(419) 784-4110,41.3028837000,-84.3635728000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -5pm,,0
Rogers Jewelers - Towne Mall,607,3461 Towne Blvd Ste 432,,Franklin,OH,45005,United States,(513) 423-9268,39.4964491000,-84.3315301000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Rogers Jewelers - Richmond Square Mall,609,3801 National Rd E Ste 743,,Richmond,IN,47374,United States,(765) 962-0559,39.8298741000,-84.8451296000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Rogers Jewelers - Empire Mall,629,780 W Empire Mall,,Sioux Falls,SD,57106,United States,(605) 361-9700,43.5108625000,-96.7760454000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Eastridge Mall,772,601 SE Wyoming Blvd Unit 183,,Casper,WY,82609,United States,(307) 266-6583,42.8460575000,-106.2656422000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  11am -7pm,,0
Rogers Jewelers - Northgate Mall,604,9717 Colerain Ave,,Cincinnati,OH,45251,United States,(513) 741-3344,39.2444137000,-84.5986769000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Rogers Jewelers - Dayton Mall,652,2700 Miamisburg Centerville Rd Ste 920,,Dayton,OH,45459,United States,(937) 438-1068,39.6339777000,-84.2205722000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Central Mall,536,3100 Highway 365 Suite 146,,Port Arthur,TX,77642,United States,(409) 724-1706,29.9481237000,-93.9894991000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Prien Lake Mall ,530,496 W. Prien Lake Rd.,,Lake Charles,LA,70601,United States,(337) 487-8909,30.2293526000,-93.2131232000,Mon:  10am -9pm; Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12PM -6pm,,0
Samuels Jewelers - Broadway Square,557,4601 S Broadway Ave B23,,Tyler,TX,75703,United States,(903) 939-0232,32.2992813000,-95.3028928000,Fri:  10am -9pm; Sat:  10am -9pm; Sun:  11am -6pm,,0
Samuels Jewelers - Longview Mall,75552,3500 Mccann Rd Ste L8,,Longview,TX,75605,United States,(903) 758-4955,32.5390775000,-94.7518281000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Stonebriar,558,2601 Preston Road,,Frisco,TX,75034,United States,(469) 362-5344/56,33.0994285000,-96.8080663000,,,0
Samuels Jewelers - Towne East,508,2063 Town East Mall,,Mesquite,TX,75150,United States,(972) 613-4570/80,32.8086283000,-96.6253508000,,,0
Samuels Jewelers - Westfield Shoppingtown,157,72840 Highway  111 Ste 413,,Palm Desert,CA,92260,United States,(760) 346-8030,33.7237333000,-116.3950907000,Tue:  10am -8pm; Wed:  10am -8pm; Thu:  10am -8pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  11am -7pm,,0
Samuels Jewelers - Parkdale Mall,533,6155 Eastex Freeway Space 132,,Beaumont,TX,77706,United States,(409) 234-4820,30.1256994000,-94.1616040000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Killeen Mall,529,2100 S W S  Young Dr Ste1072,,Killeen,TX,76543,United States,(254) 699-6404,31.0934120000,-97.7176059000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Baybrook Mall,535,1376 Baybrook Mall,,Friendswood,TX,77546,United States,(281) 486-5588,29.5441984000,-95.1504428000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Post Oak Mall,528,1500 Harvey Rd Ste 6002,,College Station,TX,77840,United States,(979) 764-0424,30.6241831000,-96.3033950000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -6pm,,0
Samuels Jewelers - Woodland Hills Mall,581,7021 S Memorial Ste 274,,Tulsa,OK,74133,United States,(918) 250-8501,36.0632284000,-95.8818735000,Tue:  10am -9pm; Wed:  10am -9pm; Thu:  10am -9pm; Fri:  10am -9pm; Sat:  10am -9pm; Sun:  12pm -7pm,,0
