store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Shops At Skyview Center,2205503,4024 College Point Blvd ,,Flushing ,NY,11354,United States,(718) 353-2034,40.757115,-73.835576,Mo-Sa 10:00-21:30; Su 10:00-20:00,,0
Jersey Gardens,2204353,651 Kapkowski Rd. ,,Elizabeth ,NJ,07201,United States,(908) 353-8603,40.6600434,-74.171557,Mo-Sa 10:00-21:00; Su 11:00-19:00,,0
Bay Terrace,2205739,212-09 26th Ave. ,,Bayside ,NY,11360,United States,(718) 229-2679,40.7786931,-73.7776147,Mo-Sa 10:00-21:00; Su 11:00-19:00,,0
Hylan,2204827,430 New Dorp Lane ,,Staten Island ,NY,10306,United States,(718) 979-2650,40.5689784,-74.1090882,Mo-Sa 09:00-21:00; Su 10:00-19:00,,0
Staten Island,2205065,2655 Richmond Ave ,,Staten Island ,NY,10314,United States,(718) 698-6207,40.5818776,-74.1652624,Mo-Sa 10:00-21:00; Su 11:00-18:00,,0
Green Acres,2205493,2034 Green Acres Mall Valley Stream ,,,NY,11581,United States,(516) 825-0670,40.661142,-73.720494,Mo-Sa 10:00-21:30; Su 11:00-19:00,,0
Lake Success,2205763,1480 Union Turnpike ,,New Hyde Park ,NY,11040,United States,(516) 328-0851,40.753384,-73.693057,Mo-Sa 10:00-21:00; Su 11:00-18:00,,0
Cross County,2204675,7040 Xavier Dr. ,,Yonkers ,NY,10704,United States,(914) 378-0978,40.927133,-73.852635,Mo-Sa 10:00-21:30; Su 11:00-19:00,,0
Garden State,2204385,1 Garden State Plaza ,,Paramus ,NJ,07652,United States,(201) 226-9856,40.918562,-74.12786,Mo-Sa 10:00-21:30,,0
Paramus Park,2204419,700 Paramus Park ,,Paramus ,NJ,07652,United States,(201) 576-0894,40.9568947,-74.0693002,Mo-Sa 10:00-21:30,,0
South Shore Plaza,2205327,2955 Veterans Road ,,West Staten Island ,NY,10309,United States,(718) 984-3913,40.5273286,-74.2326243,Mo-Sa 10:00-21:00; Su 11:00-18:00,,0
