store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
SNS St Louis 1796 - Arnold,1796,1253 Water Tower Pl,,Arnold,MO,63010,United States,(636) 282-0591,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1850 - Dardenne Prairie,1850,7909 Hwy N,,Dardenne Prairie,MO,63368,United States,(636) 561-8450,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1793 - Ellisville,1793,15446 Manchester Rd,,Ellisville,MO,63011,United States,(636) 227-0830,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1828 - New Fenton,1828,45 Gravios Bluffs Plaza Dr,,Fenton,MO,63026,United States,(636) 343-5488,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1812 - Central City,1812,10805 Old Halls Ferry Rd,,Ferguson,MO,63136,United States,(314) 867-3024,,,"6 am - 11 pm, 7 days a week",,0
SNS St Louis 1819 - Ferguson,1819,49 N Florissant Rd,,Ferguson,MO,63135,United States,,,,"Ferguson, MO 63135",,0
SNS St Louis 1802 - Festus,1802,1275 N Truman Blvd,,Festus,MO,63028,United States,(636) 937-4686,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1820 - Flower Valley,1820,175 Flower Valley Shopping Center,,Florissant,MO,63033,United States,(314) 837-8052,,,"24 Hours, 7 days a week",,0
SNS St Louis 1810 - Mayfair Plaza,1810,196 Mayfair Plaza,,Florissant,MO,63033,United States,(314) 438-8383,,,"6 am - Midnight, 7 days a week",,0
SNS St Louis 1848 - Charbonier,1848,2183 Charbonier Rd,,Florissant,MO,63031,United States,(314) 839-1327,,,"6 am - 1 am, 7 days a week",,0
SNS St Louis 1830 - High Ridge,1830,1023 Crossroads Place,,High Ridge,MO,63049,United States,(636) 677-5380,,,"24 Hours, 7 days a week",,0
SNS St Louis 1816 - Kirkwood,1816,10461 Manchester Rd,,Kirkwood,MO,63122,United States,(314) 984-0422,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1803 - Lemay,1803,1032 Lemay Ferry Rd,,Lemay,MO,63125,United States,(314) 544-4963,,,"6 am - Midnight, 7 days a week",,0
SNS St Louis 1823 - Maplewood,1823,7355 Manchester Rd,,Maplewood,MO,63143,United States,(314) 645-8495,,,"6 am - Midnight, 7 days a week",,0
SNS St Louis 1846 - St Cyr,1846,9521 Lewis & Clark Blvd,,Moline Acres,MO,63136,United States,(314) 869-2897,,,"6 am - 11 pm, 7 days a week",,0
SNS St Louis 1826 - OFallon South,1826,3740 Monticello Plaza Dr,,O Fallon,MO,63368,United States,(636) 300-0629,,,"24 Hours, 7 days a week",,0
SNS St Louis 1835 - Highway K,1835,1421 Mexico Loop Road East,,O Fallon,MO,63366,United States,(636) 240-1262,,,"24 Hours, 7 days a week",,0
SNS St Louis 1843 - Shrewsbury,1843,7057 Chippewa St.,,Shrewsbury,MO,63119,United States,(314) 645-1371,,,"24 Hours, 7 days a week",,0
SNS St Louis 1827 - St Ann,1827,10634 St Charles Rock Rd,,St Ann,MO,63074,United States,(314) 426-4180,,,"24 Hours, 7 days a week",,0
SNS St Louis 1834 - Harvester,1834,60 Harvester Sqr.,,St Charles,MO,63303,United States,(636) 441-3300,,,"24 Hours, 7 days a week",,0
SNS St Louis 1829 - St John,1829,9070 St. Charles Rock Rd,,St John,MO,63114,United States,(314) 733-0607,,,"24 Hours, 7 days a week",,0
SNS St Louis 1795 - South County,1795,5780 S Lindbergh,,St Louis,MO,63123,United States,,,,"24 Hours, 7 days a week",,0
SNS St Louis 1842 - Chippewa,1842,4660 Chippewa St,,St Louis,MO,63116,United States,(314) 752-2156,,,"6 am - Midnight, 7 days a week",,0
SNS St Louis 1844 - Gravois,1844,3865 Gravois Ave,,St Louis,MO,63116,United States,(314) 771-0218,,,"6 am - Midnight, 7 days a week",,0
SNS St Louis 1836 - Crestwood,1836,301 Watson Rd,,St Louis,MO,63126,United States,,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1788 - St Peters,1788,100 Jungerman Rd,,St Peters,MO,63376,United States,(636) 441-9600,,,"24 Hours, 7 days a week",,0
SNS St Louis 1852 - Twin Oaks,1852,1144 Meramec Station Road,,Twin Oaks,MO,63021,United States,,,,"5 am - 1 am, 7 days a week",,0
SNS St Louis 1781 - Alton,1781,1721 Homer Adams Parkway,,Alton,IL,62002,United States,,,,"6 am - Midnight, 7 days a week",,0
SNS St Louis 1772 - Belleville,1772,4201 N Belt W,,Belleville,IL,62226,United States,(618) 277-0423,,,"24 Hours, 7 days a week",,0
SNS St Louis 1773 - Carlyle Road,1773,800 Carlyle Ave,,Belleville,IL,62221,United States,(618) 277-0419,,,"24 Hours, 7 days a week",,0
SNS St Louis 1854 - Bethalto,1854,68 North Bellwood Drive,,Bethalto,IL,62010,United States,(618) 377-2151,,,Mon - Fri: 9 am - 9 pmSat: 9 am - 7 pmSun: 10 am - 6 pm,,0
