store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
"San Francisco, CA",,300 West Portal Avenue (near 14th Ave.),,San Francisco,CA,94127-1412,United States,415-753-8511,,,"Monday - Saturday 9:30 am to 6:00 pm; Sunday 11:00 am to 5:00 pm; 
            
        ",,0
"San Francisco, CA",,140 Battery Street,,San Francisco,CA,94111,United States,415-421-2020,,,"Monday - Friday 9:00 am - 6:00 pm; 
          Saturday and Sunday closed  
        ",,0
"Sacramento, CA",,2563 Fair Oaks Blvd.,,Sacramento,CA,95825,United States,916-480-9985,,,"Monday - Friday 9:30 am to 6:00 pm; Saturday 9:30 am to 4:00 pm; 
          Sunday closed  
        ",,0
"Sacramento, CA",,1010-b Florin Road,,Sacramento,CA,95831,United States,916-393-2020,,,,,0
"San Francisco, CA",,"1833 Fillmore Street, Suite 100",,San Francisco,CA,94115,United States,415-922-0660,,,"Monday - Saturday 10:00 am to 6:30 pm; 
          Sunday closed  
        ",,0
"San Francisco, CA",,176 Sutter Street (Near Kearny St.),,San Francisco,CA,94104-9991,United States,415-495-2020,,,"Monday - Friday 9:30 am to 6:00 pm; Saturday 10:00 am to 5:00 pm; Sunday Closed; 
          Sunday closed  
        ",,0
"Roseville, CA",,1095 Roseville Square,,Roseville,CA,95678,United States,916-782-9985,,,"Monday - Saturday 9:30 am to 6:00 pm; 
          Sunday closed  
        ",,0
"Redding, CA",,555 East Cypress Ave.,,Redding,CA,96002,United States,530-722-9992,,,"Tuesday - Friday 9:30 am to 6:00 pm; Saturday 9:00 am to 5:00 pm; 
          Sunday, Monday closed  
        ",,0
"Salinas, CA",,The Star Market Shopping Center - 1241 South Main Street,,Salinas,CA,93901,United States,831-424-1242,,,"Monday 10:00 am to 5:30 pm; Tuesday 9:30 am to 6:00 pm; Wednesday 9:30 am to 5:30 pm; Thursday 9:30 am to 6:00 pm; Friday 9:30 am to 5:30 pm; Saturday 9:30 am to 5:00 pm; 
          Sunday closed  
        ",,0
"Redwood City, CA",,1005 El Camino Real Sequoia Shopping Center,,Redwood City,CA,94063,United States,650-474-2020,,,"Monday - Friday 10:00 am to 7:00 pm; Saturday 10:00 am to 6:30 pm; 
          Sunday closed  
        ",,0
"Pittsburg, CA",,"Century Plaza, Next to Target",,Pittsburg,CA,94565,United States,925-706-4400,,,"Monday - Saturday 10:00 am to 6:00 pm; 
          Sunday closed  
        ",,0
"Palo Alto, CA",,479 University Ave.,,Palo Alto,CA,94301,United States,650-297-2217,,,"Monday 10:00 am to 7:00 pm; Tuesday 11:00 am to 7:00 pm; Wednesday 10:00 am to 7:00 pm; Thursday 11:00 am to 7:00 pm; Friday 10:00 am to 7:00 pm; Saturday 10:00 am to 6:00 pm; 
          Sunday closed  
        ",,0
"Newark, CA",,1138 New Park Mall,,Newark,CA,94560,United States,510-790-1001,,,"Monday - Saturday 10:00 am to 9:00 pm; Sunday 11:00 am to 7:00 pm; 
            
        ",,0
"Oakland, CA",,4171 Piedmont Ave.,,Oakland,CA,94611,United States,510-655-5622,,,"Monday - Friday 10:00 am to 5:45 pm; Saturday 10:00 am to 5:00 pm; 
          Sunday closed  
        ",,0
"Oakland, CA",,829 Broadway,,Oakland,CA,94607,United States,510-465-5876,,,"Monday - Saturday 10:00 am to 6:00 pm; 
          Sunday closed  
        ",,0
"Novato, CA",,208 Vintage Way Suite K21,,Novato,CA,94945,United States,415-897-3377,,,"Monday - Friday 9:30 am to 7:00 pm; Saturday 10:00 am to 5:00 pm; 
          Sunday closed  
        ",,0
"Walnut Creek, CA",,1599 Botelho Drive; Woodcreek Center,,Walnut Creek,CA,94596-5102,United States,925-945-8300,,,"Monday - Friday 10:00 am to 7:00 pm; Saturday 10:00 am to 6:00 pm; 
          Sunday closed  
        ",,0
