store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
The Athlete's Foot,,364 Al Waab Street,Hyatt Plaza,Doha,Al Rayyan,,Qatar,9744165133,25.25681,51.43743,,,0
The Athlete's Foot,,129 Riccarton Road,Westfield Shopping Centre,Riccarton,NI,8041,New Zealand,6433431629,-43.53114,172.5985,,,0
The Athlete's Foot,,WCTC Shopping Center,Main Street,Koror,PW,96940,Palau,16804881484,7.3423,134.4779,,,0
The Athlete's Foot,,55 Main North Road,Northlands Shopping Centre,Christchurch,SI,8051,New Zealand,6433540328,-43.49237,172.6101,,,0
The Athlete's Foot,,Centro Comercial Mega Plaza,Avenida Alfredo Mendiola 3698,Lima ,,15311,Peru,51998314788,-11.99394,-77.06153,,,0
The Athlete's Foot,,286 Mount Wellington Highway,Sylvia Park Shopping Centre,Mount Wellington,NI,1060,New Zealand,6495736185,-36.91422,174.8412,,,0
The Athlete's Foot,,Centro Comercial Plaza Norte,Avenida Alfredo Mendiola 1400,Lima ,,15311,Peru,51987508061,-12.00643,-77.05981,,,0
The Athlete's Foot,,80 St Lukes Road,Westfield Shopping Centre,St Lukes,NI,1025,New Zealand,6498460044,-36.88281,174.7336,,,0
The Athlete's Foot,,Mall Aventura Plaza,Avenida Carretera Central 111,Lima ,,15008,Peru,51998374307,-12.0564,-76.97033,,,0
The Athlete's Foot,,84 The Square,The Plaza Shopping Centre,Palmerston North,NI,4410,New Zealand,6463555553,-40.35726,175.6147,,,0
The Athlete's Foot,,267 George Street,The Meridan Mall,Dunedin,SI,9016,New Zealand,6434772673,-45.87011,170.5055,,,0
The Athlete's Foot,,Akbati Mall,Sanayi Mahallesi 1655,Istanbul,,34535,Turkey,902128091587,41.05609,28.66769,,,0
The Athlete's Foot,,219 Don McKinnon Drive,Westfield Shopping Centre,Albany,NI,632,New Zealand,6494471626,-36.72816,174.7079,,,0
The Athlete's Foot,,Dubai Mall,Financial Center Road,Dubai,Dubai,,United Arab Emirates,97143398674,25.1975,55.2792,,,0
The Athlete's Foot,,Westfield Shopping Centre Queensgate,Cnr. Queen Drive and Bunny Street,Lower Hutt,NI,6011,New Zealand,6445862548,-41.20989,174.907,,,0
The Athlete's Foot,,Dubai Festival City Mall,Dubai Festival City,Dubai,Dubai,,United Arab Emirates,97142325973,25.22218,55.35284,,,0
The Athlete's Foot,,588 Chapel Road,Botany Town Centre,East Tamaki,NI,2016,New Zealand,6492711593,-36.93317,174.9151,,,0
The Athlete's Foot,,Dubai Outlet Mall,Al Ain Road,Dubai,Dubai,,United Arab Emirates,97144255919,25.07244,55.4007,,,0
The Athlete's Foot,,501 Victoria Street,Centre Place Shopping Centre,Hamilton,NI,3204,New Zealand,6479744522,-37.7858124,175.280212,,,0
The Athlete's Foot,,1016 Shoppes at Midway Drive,,Knightdale,North Carolina,27545,United States,19192668020,35.79801,-78.50673,,,0
The Athlete's Foot,,Joeten Susupe Shopping Center,Insatto Street,Susupe,MP,96950,Northern Mariana Islands,16702346445 / 2291,15.15685,145.7038,,,0
The Athlete's Foot,,4215 University Drive,Parkway Plaza,Durham,North Carolina,27707,United States,19194039668,35.96311,-78.958,,,0
The Athlete's Foot,,Joeten Hafa Adai Shopping Center,Beach Road,Garapan,MP,96950,Northern Mariana Islands,16702341236,15.21056,145.7169,,,0
The Athlete's Foot,,6451 Plantation Center Drive,Plantation Point Shopping Center,Raleigh,North Carolina,27616,United States,19198503200,35.87372,-78.58093,,,0
The Athlete's Foot,,Alexandrium Shopping Center,Poolsterstraat 162,Rotterdam,,3067 LX,The Netherlands,31107670006,51.95028,4.55349,,,0
The Athlete's Foot,,6910 Fayetteville Road,The Streets at Southpoint,Durham,North Carolina,27713,United States,19193616572,35.90447,-78.9416,,,0
The Athlete's Foot,,Breedstraat 14,,Purmerend,,1441 CC,The Netherlands,31299435499,52.50938,4.94721,,,0
The Athlete's Foot,,3240 NC Highway 87 S,,Sanford,North Carolina,27332,United States,19197743366,35.44504,-79.13102,,,0
The Athlete's Foot,,Heuvel 25B,,Oss,,5341 CV,The Netherlands,31412767278,51.76942,5.52563,,,0
The Athlete's Foot,,3029 Doctor Martin Luther King Junior Boulevard,Rivertowne Square,New Bern ,North Carolina,28560,United States,12526377770,35.10151,-77.0858,,,0
The Athlete's Foot,,Limbrichterstraat 63,,Sittard,,6131 EB,The Netherlands,31464200402,50.99837,5.86739,,,0
The Athlete's Foot,,1447 Garner Station Boulevard,Garner Station,Raleigh,North Carolina,27603,United States,19196620806,35.72284,-78.65498,,,0
The Athlete's Foot,,Nieuwe Passage 41,,Schiedam,,3111 EG,The Netherlands,31102460093,51.91529,4.40026,,,0
The Athlete's Foot,,1231 Silas Creek Parkway,Parkway Plaza Shopping Center,Winston-Salem ,North Carolina,27127,United States,13367228220,36.06746,-80.25532,,,0
The Athlete's Foot,,Oude Binnenweg 38,,Rotterdam,,3012 JE,The Netherlands,31107200972,51.91755,4.4752,,,0
The Athlete's Foot,,1030 Freeland Drive,Salisbury Shopping Center,Salisbury,North Carolina,28144,United States,17046380608,35.65767,-80.46359,,,0
The Athlete's Foot,,Dorpsstraat 42-44,,Nunspeet,,8071 BZ,The Netherlands,31341253507,52.37625,5.78316,,,0
The Athlete's Foot,,265 Premier Boulevard,Premier Landing Shopping Center,Roanoke Rapids,North Carolina,27870,United States,12525351874,36.42703,-77.63433,,,0
The Athlete's Foot,,Wolfstraat 4,,Maastricht,,6211 GN,The Netherlands,31433500470,50.84889,5.69251,,,0
The Athlete's Foot,,1355 Scotland Crossing Drive,Scotland Crossing Shopping Center,Laurinburg,North Carolina,28352,United States,19102769009,34.75594,-79.48379,,,0
The Athlete's Foot,,Haarlemmerstraat 40,,Leiden,,2312 GB,The Netherlands,31715661310,52.16137,4.48711,,,0
The Athlete's Foot,,3210 Wilkinson Boulevard,Wilkinson Crossings,Charlotte,North Carolina,28208,United States,17043939113,35.22469,-80.89341,,,0
The Athlete's Foot,,Plein 1944-17,,Nijmegen,,6511 JC,The Netherlands,31243606099,51.84556,5.86242,,,0
The Athlete's Foot,,Markt 22,,Nieuwegein,,3431 LB,The Netherlands,31307210802,52.02873,5.08217,,,0
The Athlete's Foot,,14341 Warwick Boulevard,Denbigh Village,Newport News,Virginia,23601,United States,17578770326,37.12853,-76.53302,,,0
The Athlete's Foot,,Lange Delft 109,,Middelburg,,4331 am,The Netherlands,31118650755,51.49903,3.61559,,,0
The Athlete's Foot,,4020 Victory Boulevard,Victory Crossing Shopping Center,Portsmouth,Virginia,23701,United States,17574886808,36.81008,-76.35599,,,0
The Athlete's Foot,,Oosterdijk 46,,Sneek,,8601 BV,The Netherlands,31515431594,53.03344,5.66427,,,0
The Athlete's Foot,,934 N Main Street,Suffolk Plaza,Suffolk,Virginia,23434,United States,17575393396,36.7439,-76.58168,,,0
The Athlete's Foot,,Winkelcentrum Roselaar,Roselaar 49,Roosendaal,,4701 BA,The Netherlands,31165745615,51.53087,4.45439,,,0
The Athlete's Foot,,330 N Cooper Drive,Henderson Square Shopping Center,Henderson,North Carolina,27536,United States,12524620870,36.33301,-78.44445,,,0
The Athlete's Foot,,Marktplein 36-38,,Hoofddorp,,2132 DB,The Netherlands,31232014070,52.30358,4.69429,,,0
The Athlete's Foot,,7525 Tidewater Drive,Southern Shopping Center,Norfolk,Virginia,23505,United States,17575838340,36.91551,-76.25632,,,0
The Athlete's Foot,,Diezerstraat 56 ,,Zwolle,,8011 RH,The Netherlands,31384230245,52.51253,6.09555,,,0
The Athlete's Foot,,35 Main Street ,,Kalispell,Montana,59901,United States,14062578989,48.19807,-114.3132,,,0
The Athlete's Foot,,Winkelcentrum Zuidplein,Zuiderterras 124,Rotterdam,,3083 BZ,The Netherlands,31107640806,51.88676,4.49033,,,0
The Athlete's Foot,,230 18th Street,Atlantic Station,Atlanta,Georgia,30363,United States,14048727111,33.79202,-84.39601,,,0
