store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
The Protein Bar,,925 17th Street NW,,Washington,DC,20006,United States,(202) 827-4126,38.901604,-77.038497,MON-THUR 7am-7pm ; FRI 7am-4pm ; SAT ; SUN CLOSED,,0
The Protein Bar,,398 7th Street NW,,Washington,DC,20004,United States,(202) 621-9574,38.894792,-77.021925,MON-FRI 7am-8pm ; SAT ; SUN 10am-4pm,,0
The Protein Bar,,120 S Riverside Plaza,,Chicago,IL,60606,United States,(312) 382-7300,41.879707,-87.639059,MON-THUR 7am-7pm ; FRI 7am-4pm ; SAT ; SUN CLOSED,,0
The Protein Bar,,151 N Michigan Ave,,Chicago,IL,60601,United States,(312) 374-1459,41.885084,-87.624046,MON-FRI 7am-8pm ; SAT ; SUN 9am-6pm,,0
The Protein Bar,,33 S Wabash Avenue,,Chicago,IL,60603,United States,(312) 631-3690,41.881091,-87.625792,MON-FRI 7am-7pm ; SAT 11am-5pm ; SUN CLOSED,,0
The Protein Bar,,235 S Franklin Street,,Chicago,IL,60606,United States,(312) 346-7300,41.879069,-87.634878,MON-THUR 7am-7pm ; FRI 7am-4pm ; SAT ; SUN CLOSED,,0
The Protein Bar,,1953 N Clybourn Avenue,,Chicago,IL,60614,United States,(773) 472-1500,41.916960,-87.657305,MON-FRI 7:30am-9pm ; SAT 8am-8pm ; SUN 9am-6pm,,0
The Protein Bar,,352 N Clark Street,,Chicago,IL,60654,United States,(312) 527-0450,41.888946,-87.631249,MON-FRI 7am-8pm ; SAT ; SUN 9am-6pm,,0
The Protein Bar,,"222 Merchandise Mart Plaza, 2nd Floor",,Chicago,IL,60654,United States,(312) 265-1185,41.888519,-87.635480,MON-THUR 7am-7pm ; FRI 7am-4pm ; SAT ; SUN CLOSED,,0
The Protein Bar,,251 E Huron Street,,Chicago,IL,60611,United States,(312) 397-9000,41.894640,-87.621128,MON-FRI 6am-8pm ; SAT 9am-7pm ; SUN 9am-6pm,,0
The Protein Bar,,10 W Lake Street,,Chicago,IL,60601,United States,(312) 629-3609,41.885987,-87.629158,MON-FRI 7am-8pm ; SAT ; SUN 9am-6pm,,0
The Protein Bar,,221 W Washington Street,,Chicago,IL,60606,United States,(312) 265-0532,41.883041,-87.634578,MON-THUR 7am-7pm ; FRI 7am-4pm ; SAT ; SUN CLOSED,,0
The Protein Bar,,10 S Clinton Street,,Chicago,IL,60661,United States,(312) 612-5445,41.881436,-87.641631,MON-FRI 7am-8:30pm ; SAT 10am-5pm ; SUN CLOSED,,0
The Protein Bar,,2040 York Road,,Oak Brook,IL,60523,United States,(630) 990-7350,41.849912,-87.929474,MON-FRI 8am-7pm ; SAT ; SUN 8am-3pm,,0
The Protein Bar,,896 N Meacham Road,,Schaumburg,IL,60173,United States,(847) 517-1111,42.045561,-88.045418,MON-FRI 8am-8pm ; SAT ; SUN 8am-6pm,,0
The Protein Bar,,1855 29th Street,,Boulder,CO,80301,United States,(303) 440-1028,40.019337,-105.256527,MON-FRI 8am-8pm ; SAT ; SUN 9am-6pm,,0
The Protein Bar,,1600 Glenarm Place,,Denver,CO,80202,United States,(303) 573-0204,39.743943,-104.989726,MON-FRI 7am-8pm ; SAT ; SUN 10am-4pm,,0
The Protein Bar,,1755 16th Street,,Denver,CO,80202,United States,(303) 893-0898,39.752226,-105.001195,MON-FRI 7am-8pm ; SAT 10am-4pm ; SUN CLOSED,,0
The Protein Bar,,1001 17th Street Denver,,Denver,CO,80202,United States,720.407.6965,39.748950,-104.993762,MON-FRI 7am-5pm ; SAT ; SUN CLOSED,,0
The Protein Bar,,37 South LaSalle,,Chicago,IL,60603,United States,(312) 801-9309,41.881134,-87.632136,MON-FRI 7am-7pm ; SAT ; SUN CLOSED,,0
