store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
WA - University Village,,2650 University Village ,,Seattle ,WA,98105,United States,206.525.3565 ,,,sunday - thursday 11am - 12am; friday - saturday 11am - 2am; happy hour; monday - friday 3pm-6pm & 9pm-close,,0
WA - Lacey,,8100 Freedom Lane NE Suite C ,,Lacey ,WA,98516,United States,360.923.5900 ,,,"sun - thu 11am - 11pm, fri - sat 11am - 12am",,0
WA - Puyallup South Hill,,103 35th Avenue SE ,,Puyallup ,WA,98374,United States,253.841.3317 ,,,"sun - thu 11am - 12am, fri - sat 11am - 1am; happy hour; monday - friday 3pm-6pm & 9pm-close",,0
WA - Lakewood,,10019 59th Avenue ,,Lakewood ,WA,98496,United States,253.584.3191 ,,,"monday - sunday  11am - close; happy hour; monday - friday 3pm-6pm and 9pm-close; half off sunday madness, 9pm - close",,0
WA - Tacoma,,3001 Ruston Way ,,Tacoma ,WA,98402,United States,253.756.7886 ,,,monday - sunday 11am - close; happy hour; monday - friday 3pm-6pm and 9pm-close,,0
WA - Puyallup Sunrise Village,,10403 156th Street E # 101 ,,Puyallup ,WA,98374,United States,253.445.1005 ,,,sunday - thursday 11am - 11pm  friday - saturday 11am - 12am; happy hour; monday - friday 3pm-6pm & 9pm-close,,0
WA - Marysville,,10520 Quil Ceda Blvd. ,,Tulalip ,Washington,98271,United States,(360) 653-7721,,,sunday - thursday  11am - 12am; friday & saturday  11am - 2am,,0
WA - Northgate,,401 NE Northgate Way Suite 1102 ,,Seattle ,WA,98125,United States,206.364.8000 ,,,sunday - thursday 11am - 12am; friday & saturday 11am - 2am; happy hour;  monday - friday 3pm-6pm & 10pm-close,,0
WA - Kent,,512 Ramsay Way Suite 4-103 ,,Kent ,WA,98032,United States,253.520.3881 ,,,sunday - thursday  11am - 12am; friday & saturday  11am - 2am; happy hour; monday - friday 3pm-6pm & 10pm-close,,0
WA - Issaquah,,965 N.E. Park Drive ,,Issaquah ,Washington,98029,United States,(425) 313 - 0415,,,"sunday - thursday, 11am - 12am; friday & saturday, 11am - 2am",,0
WA - Federal Way,,31920 Gateway Center Blvd South Federal Way ,,Washington ,,98003,United States,206-878-6694,,,"sun - thu 11am - 12am (last call), fri & sat 11am - 1:15am (last call)",,0
OR - Wilsonville,,29800 Southwest Boones Ferry Road ,,Wilsonville ,OR,97070,United States,503.570.0200,,,"monday, 11am - 11pm; tuesday - saturday, 11am - midnight; sunday 11am - 11pm",,0
OR - Salem,,515 12th Street SE ,,Salem ,OR,97301,United States,503.363.1904 ,,,"monday - wednesday, 11am - 11pm; thursday - saturday, 11am - midnight; sunday 11am - midnight; happy hour; everyday 3pm-6pm and 9pm - 12am",,0
OR - Medford,,165 Rossanley Drive ,,Medford ,OR,97501,United States,,,,"sunday - thursday, 11am - 11pm; friday & saturday, 11am - midnight",,0
OR - Clackamas,,9073 SE Sunnyside Rd. ,,Happy Valley ,OR,97015,United States,(503) 659 - 1282 ,,,"monday - saturday, 11am - midnight; sunday, 11am - 11pm",,0
OH - Dublin,,6632 Longshore Street ,,Dublin,Ohio,43017,United States,,,,,,1
OH - Columbus,,906 N High Street ,,Columbus ,OH,43201,United States,,,,sunday - wednesday 11am - 12am; thursday - saturday 11am - 1am,,0
IN - Indianapolis,,140 South Illinois Street ,,Indianapolis ,IN,46225,United States,317.955.9900 ,,,monday - sunday  11am - close; happy hour; monday - friday from 2pm-5pm,,0
IN - Fishers,,12750 Parkside Drive ,,Fishers ,IN,46038,United States,317.596.0079 ,,,monday - sunday  11am - close; happy hour; monday - friday from 2pm-5pm,,0
IL - Wheeling,,700 N Milwaukee Avenue ,,Wheeling ,IL,60090,United States,847.520.1222 ,,,monday - sunday  11am - close,,0
IL - Schaumburg,,1901 McConnor Parkway ,,Schaumburg ,IL,60173,United States,847.517.8791 ,,,sunday and monday  11am - midnight;  tuesday - thursday  11am - 12:00am;  friday and saturday  11am - 1:00am,,0
IL - Rosemont,,9520 Higgins Road ,,Rosemont ,IL,60018,United States,847.692.4426 ,,,monday - sunday  11am - close,,0
ID - Meridian,,3272 East Pine ,,Meridian ,ID,83642,United States,208.888.0314 ,,,"sunday - thursday, 11am - 11pm, friday & saturday 11am - midnight",,0
ID - Boise,,709 East Park Boulevard ,,Boise ,ID,83712,United States,208 - 345 - 2929 ,,,monday - sunday  11am - close; happy hour; monday - friday 3pm-6pm & everyday 9pm-close,,0
