store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Downtown Toyota,42185,677 Queen St E,,Toronto,ON,M4M 1G6,Canada,{u'$': u'4164655471'},43.658390,-79.351038,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Gareau Toyota,53168,"1080, 3E AVE. E",,Val d'Or,QC,J9P 0J6,Canada,{u'$': u'8198259000'},48.099650,-77.747154,Monday 9:00am - 6:00pm; Thursday 9:00am - 9:00pm; Saturday 10:00am - 2:00pm; ,,0
Toyota Duval,53167,1175 rue Ampère,,Boucherville,QC,J4B 7M6,Canada,{u'$': u'4506552350'},45.574409,-73.444320,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Amos Toyota,53164,1151 Route 111 Est,,Amos,QC,J9T 1N2,Canada,{u'$': u'8197327000'},48.559850,-78.098203,Monday 8:00am - 5:00pm; Tuesday 8:00am - 12:00pm; ,,0
Gaspé Toyota,53162,400 boul. York S,,Gaspé,QC,G4X 2L6,Canada,{u'$': u'4183681575'},48.798581,-64.479831,Monday 8:00am - 5:00pm; Saturday 9:00am - 3:00pm; ,,0
Baywest Toyota,42189,Sunset Strip,,Owen Sound,ON,N4K 6K6,Canada,{u'$': u'5193712981'},44.557197,-80.974426,Monday 8:00am - 5:00pm; Tuesday 8:00am - 5:30pm; Friday 8:00am - 5:00pm; Saturday 9:00am - 4:00pm; ,,0
Park Avenue Toyota,53160,8855 Boul Taschereau,,Brossard,QC,J4Y 1A4,Canada,{u'$': u'8884502411'},45.440259,-73.471764,Monday 9:00am - 9:00pm; Saturday 10:00am - 4:00pm; ,,0
Alma Toyota,53161,630 Ave Dupont S,,Alma,QC,G8B 2V4,Canada,{u'$': u'4186680195'},48.540549,-71.646079,Monday 8:00am - 9:00pm; Friday 8:00am - 5:00pm; ,,0
Ste-Foy Toyota,53088,2777 boul. Versant Nord,,Québec,QC,G1V 1A4,Canada,{u'$': u'4186581340'},46.783799,-71.307747,Monday 9:00am - 9:00pm; ,,0
High River Toyota,14079,901-11th Ave SE,,High River,AB,T1V 1P2,Canada,{u'$': u'4036521365'},50.572281,-113.853418,Monday 8:30am - 8:00pm; Friday 8:30am - 5:00pm; ,,0
Charlesglen Toyota,14067,7687 110 Ave NW,,Calgary,AB,T3R 1R8,Canada,{u'$': u'4032410888'},51.153056,-114.192519,Monday 8:30am - 9:00pm; Friday 8:30am - 6:00pm; ,,0
Parkcity Toyota,14075,1400 Strachan Rd. SE,,Medicine Hat,AB,T1B 4V2,Canada,{u'$': u'4035266228'},50.002916,-110.663391,Monday 8:00am - 7:00pm; Friday 8:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Castlegar Toyota,01133,1530 Columbia Avenue,,Castlegar,BC,V1N 1H9,Canada,{u'$': u'2503657241'},49.304980,-117.658809,Monday 8:30am - 6:00pm; Saturday 8:30am - 5:30pm; ,,0
Sean Sargent Toyota,14071,10625 - 117th Ave,,Grande Prairie,AB,T8V 7N6,Canada,{u'$': u'7805323333'},55.185590,-118.814967,Monday 9:00am - 6:00pm; Saturday 9:00am - 5:00pm; ,,0
Canyon Creek Toyota,14073,370 Canyon Meadows Dr SE,,Calgary,AB,T2J 7C6,Canada,{u'$': u'4032786066'},50.931408,-114.066279,Monday 9:00am - 9:00pm; Friday 9:00am - 6:00pm; ,,0
Oakville Toyota,42376,2375 Wyecroft Road,,Oakville,ON,L6L 6L4,Canada,{u'$': u'9058428400'},43.412412,-79.732188,Monday 7:30am - 6:00pm; Tuesday 7:30am - 7:00pm; Wednesday 7:30am - 6:00pm; Thursday 7:30am - 7:00pm; Friday 7:30am - 6:00pm; Saturday 7:30am - 4:00pm; ,,0
Bel-Air Toyota,42168,440 McArthur Ave,,Ottawa,ON,K1K 1G6,Canada,{u'$': u'6137413270'},45.432186,-75.64569,Monday 7:30am - 6:00pm; Saturday 8:00am - 5:00pm; ,,0
Campbell Toyota,42169,296 Richmond St,,Chatham,ON,N7M 1P6,Canada,{u'$': u'5193524740'},42.395000,-82.191346,Monday 9:00am - 6:00pm; Saturday 9:00am - 3:00pm; ,,0
Heartland Toyota,01139,106 N. Broadway Avenue,,Williams Lake,BC,V2G 2X7,Canada,{u'$': u'2503924114'},52.132401,-122.129513,Monday 8:00am - 6:00pm; ,,0
Spinelli Toyota,53010,561 boul St-Joseph,,Lachine,QC,H8S 2K9,Canada,{u'$': u'5146347171'},45.432369,-73.668755,Monday 7:30am - 5:00pm; Friday 7:30am - 4:00pm; Saturday 8:00am - 3:00pm; ,,0
