store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
VIP Auburn Maine Store,,128 Center St.,,Auburn,ME,04210,United States,(207) 783-8561,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Augusta Maine Store,,61 Western Ave,,Augusta,ME,04330,United States,(207) 622-5841,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Belfast Maine Store,,35 Starrett Dr,,Belfast,ME,04915,United States,(207) 338-6160,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Brewer Maine Store,,500 Wilson St.,,Brewer,ME,04412,United States,(207) 989-1280,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Calais Maine Store,,102 North St.,,Calais,ME,04619,United States,(207) 454-0246,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Claremont NH Store,,323 Washington St,,Claremont,NH,03743,United States,(603) 543-3521,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Concord NH Store,,162 Manchester St.,,Concord,NH,03301,United States,(603) 224-4844,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Ellsworth Maine Store,,24 Downeast Highway,,Ellsworth,ME,04605,United States,(207) 667-1088,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Farmington Maine Store,,464 Wilton Rd.,,Farmington,ME,04938,United States,(207) 778-3470,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Farmingdale Maine Store,,597 Maine Ave,,Farmingdale,ME,04344,United States,(207) 582-2858,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Gorham NH Store,,418 Main St.,,Gorham,NH,03581,United States,(603) 466-5922,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Laconia NH Store,,1033 Union Ave,,Laconia,NH,03246,United States,(603) 528-4390,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Houlton Maine Store,,125 North St.,,Houlton,ME,04730,United States,(207) 532-2326,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Lewiston Maine Store - Lisbon Street,,520 Lisbon St.,,Lewiston,ME,04240,United States,(207) 784-0131,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Lewiston Maine Store - Sabattus Street,,485 Sabattus St.,,Lewiston,ME,04240,United States,(207) 784-5464,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Littleton NH Store,,862 Meadow St,,Littleton,NH,03561,United States,(603) 444-4497,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Londonderry NH Store,,3 Garden Lane,,Londonderry,NH,03053,United States,(603) 537-0064,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Madawaska Maine Store,,40 Maine St.,,Madawaska,ME,04756,United States,(207) 728-6847,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
VIP Manchester NH Store,,445 Hooksett Rd.,,Manchester,NH,03104,United States,(603) 629-9760,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM - 4:00 PM,,0
VIP Merrimack NH Store,,714 Milford Rd,,Merrimack,NH,03054,United States,(603) 883-8477,,,Monday-Friday 7:30 AM - 6:00 PM; Saturday 7:30 AM - 6:00 PM; Sunday 9:00 AM to 4:00 PM,,0
