store_name,store_number,address,address2,city,state,zip_code,country,phone_number,latitude,longitude,store_hours,other_fields,coming_soon
Visionworks,,"3560 Route 611, Ste 115",The Shoppes at Crossroads,Bartonsville,PA,18321,United States,(570)  421-2785,41.012,-75.291,,,0
Visionworks,,"3714 Easton Nazareth Hwy, Unit 4",Northhampton Crossings,Easton,PA,18045,United States,(610)  253-1626,40.716,-75.286,,,0
Visionworks Doctors of Optometry,,157 Route 10 E,Roxbury,Succasunna,NJ,07876,United States,(973)  927-7717,40.867,-74.639,,,0
Visionworks,,"793 Iyannough Rd, N101F",Cape Cod Mall,Hyannis,MA,02601,United States,(508)  771-6983,41.665,-70.288,,,0
Visionworks Doctors of Optometry,,"2100 Hamilton Place Blvd, #167",Hamilton Place Mall,Chattanooga,TN,37421,United States,(423)  892-7166,35.035,-85.158,,,0
Empire Visionworks,,"1930 South Rd, #105",Consumer Plaza,Poughkeepsie,NY,12601,United States,(845)  298-3200,41.621023,-73.91662,,,0
Empire Visionworks,,9 Boice's Lane,,Kingston,NY,12401,United States,(845)  336-3937,41.963,-73.99,,,0
Visionworks Doctors of Optometry,,"2007 S Highway 27, Ste A",Somerset Pad,Somerset,KY,42501,United States,(606)  678-9953,37.073895,-84.61782,,,0
Visionworks,,1114-C Emmet St,Barracks Road Shopping Center,Charlottesville,VA,22903,United States,(434)  293-3225,38.052,-78.5,,,0
Visionworks,,"1971 Hwy 287 N, Ste 105",Mansfield Town Center East,Mansfield,TX,76063,United States,(682)  518-7565,32.599,-97.148,,,0
Visionworks,,"130 NW John Jones Dr, Ste 216",South Towne Crossing,Burleson,TX,76028,United States,(817)  295-4785,32.542,-97.321,,,0
Visionworks,,"305 W FM 1382, Bldg 500, Ste 500",Uptown Village at Cedar Hill,Cedar Hill,TX,75104,United States,(972)  293-0373,32.602,-96.943,,,0
Visionworks,,"3811 S Cooper St, #1210",The Parks at Arlington,Arlington,TX,76015,United States,(817)  465-3934,32.679,-97.13,,,0
Visionworks,,"4800 S Hulen St, #146",Hulen Mall,Fort Worth,TX,76132,United States,(817)  292-3977,32.679,-97.398,,,0
Visionworks,,1550 Arbor Place Mall,Arbor Place,Douglasville,GA,30135,United States,(770)  852-1002,33.728,-84.746,,,0
Visionworks,,"17814 Spring Cypress Rd, Ste 105",Old Town Cypress Village,Cypress,TX,77429,United States,(281)  758-0030,29.971,-95.697,,,0
Visionworks,,"14002 FM 2920, Ste B",Tomball Town Center,Tomball,TX,77377,United States,(281)  255-3400,30.09,-95.633,,,0
Visionworks,,"6887 Hwy 6 N, Ste 700",Copperwood Village,Houston,TX,77084,United States,(281)  856-2198,29.877,-95.646,,,0
Visionworks,,231 S Fry Rd,Green Tree,Katy,TX,77450,United States,(281)  492-6400,29.782,-95.718,,,0
Visionworks,,7540 FM 1960 W,Commons at Willowbrook,Houston,TX,77070,United States,(281)  894-4300,29.965,-95.542,,,0
Visionworks,,1678 Willowbrook Mall,Willowbrook Mall,Houston,TX,77070,United States,(281)  894-6655,29.959,-95.539,,,0
Visionworks,,"6501 S Fry Rd, Ste 100",Grand Lakes Marketplace,Katy,TX,77494,United States,(281)  392-4040,29.713,-95.77,,,0
Visionworks,,"197 Westbank Expressway, Ste 1540",Oakwood Mall,Gretna,LA,70056,United States,(504)  376-1818,29.922,-90.04,,,0
